url,company_id,followers,employeeCount,employeeCountRange,employeeCountRangeMin,employeeCountRangeMax,error
https://www.linkedin.com/company/axino-solutions-gmbh/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/celleq-gmbh,65545113,52,2,2-10,2,10,
https://www.linkedin.com/company/13038229/,103201589,129,56,51-200,51,200,
https://www.linkedin.com/company/cropzone/,20521216,5962,33,51-200,51,200,
https://www.linkedin.com/company/dropslab-technologies,18201443,873,14,2-10,2,10,
https://www.linkedin.com/company/ducktrain/about/,12984660,1997,2,11-50,11,50,
https://www.linkedin.com/company/e-lloyd/,42102614,74,1,2-10,2,10,
https://www.linkedin.com/company-beta/17951326/,,,,,,,Failed after proxy rotation
https://www.linkedin.com/company/emteria/about/,18162962,1128,11,11-50,11,50,
https://www.linkedin.com/company/energycortex/?originalSubdomain=de,18581810,410,0,2-10,2,10,
https://www.linkedin.com/company/enlyze/,11822862,1911,21,11-50,11,50,
https://www.linkedin.com/company/enua-pharma/,67926826,1758,41,11-50,11,50,
https://www.linkedin.com/company/greenbimlabs/about/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/gridhound,18105708,375,6,2-10,2,10,
https://www.linkedin.com/company/gridx/,10599040,20848,196,51-200,51,200,
https://www.linkedin.com/company/innoloft,17912975,3368,40,11-50,11,50,
https://www.linkedin.com/company/is-it-fresh-gmbh/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/medicalmagnesium/?originalSubdomain=de,11376419,2182,13,11-50,11,50,
https://www.linkedin.com/company/moqo-mobility/,11685010,2216,22,11-50,11,50,
https://www.linkedin.com/company/mosaeek/,18791328,165,0,2-10,2,10,
https://www.linkedin.com/company/mysoons,28898186,5,2,2-10,2,10,
https://www.linkedin.com/company/nevisq/,10342647,1209,7,11-50,11,50,
https://www.linkedin.com/company/pangea-technology-germany/,12984334,574,9,11-50,11,50,
https://www.linkedin.com/company/peragraft/about/,34874421,357,3,2-10,2,10,
https://www.linkedin.com/company/pl-bioscience/about/,12650096,3379,25,11-50,11,50,
https://www.linkedin.com/company/saym/,18529217,151,20,2-10,2,10,
https://www.linkedin.com/company/sonah-gmbh/,17912925,1908,14,11-50,11,50,
https://www.linkedin.com/company/taxy-io/,18580792,4451,39,11-50,11,50,
https://www.linkedin.com/company/trinkkost-gmbh,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
