url,company_id,followers,employeeCount,employeeCountRange,employeeCountRangeMin,employeeCountRangeMax,error
https://www.linkedin.com/company/123makler,7937004,259,1,11-50,11,50,
https://www.linkedin.com/company/12k-research-ug-haftungsbeschränkt-,6578918,66,0,2-10,2,10,
https://www.linkedin.com/company/3gproxy/,18179248,231,9,11-50,11,50,
https://www.linkedin.com/company/5thindustry/about/,12582114,1859,6,11-50,11,50,
https://www.linkedin.com/company/7fields/,13046303,1917,11,11-50,11,50,
https://www.linkedin.com/company/14038913/,14038913,5064,42,11-50,11,50,
https://www.linkedin.com/company/aaron-gmbh/,6583263,3216,84,51-200,51,200,
https://www.linkedin.com/company/aazzur/about/,27012107,3221,21,11-50,11,50,
https://www.linkedin.com/company/abatonhealth/,10141296,9,0,2-10,2,10,
https://www.linkedin.com/company/11145082/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/myablefy/,6601019,19087,131,51-200,51,200,
https://www.linkedin.com/company/acatus-gmbh/,18038612,709,5,11-50,11,50,
https://www.linkedin.com/company/actiodaily,37010575,1852,18,11-50,11,50,
https://www.linkedin.com/company/adaptant-solutions-ag/,10165372,192,5,2-10,2,10,
https://www.linkedin.com/company/blockchainag,18288423,4762,13,11-50,11,50,
https://www.linkedin.com/company/aeyde-gmbh/,10193031,7689,47,11-50,11,50,
https://www.linkedin.com/company/affilimate/,28916955,673,6,2-10,2,10,
https://www.linkedin.com/company/afilio-gmbh,18539325,1219,38,51-200,51,200,
https://www.linkedin.com/company/agentsdotinc/,17888965,583,11,11-50,11,50,
https://www.linkedin.com/company/agranimo/,10318013,1592,10,2-10,2,10,
https://www.linkedin.com/company/agrivero-ai,73942727,331,4,2-10,2,10,
https://www.linkedin.com/company/ai4medicine/about/,12666278,632,2,2-10,2,10,
https://in.linkedin.com/company/aicura-medical,12601365,1143,14,11-50,11,50,
https://www.linkedin.com/company/aignostics/,14829209,6980,117,51-200,51,200,
https://www.linkedin.com/company/aipark-gmbh,11360442,2235,39,11-50,11,50,
https://www.linkedin.com/company/airfarm/,35615096,1094,7,11-50,11,50,
https://www.linkedin.com/company/10609446,10609446,3181,20,11-50,11,50,
https://www.linkedin.com/company/airstage,18247320,164,7,11-50,11,50,
https://www.linkedin.com/company/airteamaerialintelligence/,10652059,2380,50,11-50,11,50,
https://www.linkedin.com/company/airvting/,30200582,113,1,2-10,2,10,
https://www.linkedin.com/company/aisight/,12985568,6489,36,51-200,51,200,
https://www.linkedin.com/company/alcemy-tech,13974982,7384,68,51-200,51,200,
https://www.linkedin.com/company/algaeing/,71240338,3456,18,11-50,11,50,
https://www.linkedin.com/company/35640442/admin/,35640442,384,3,2-10,2,10,
https://www.linkedin.com/company/18245070,101785703,66,22,51-200,51,200,
https://www.linkedin.com/company/allvr,10471263,542,4,2-10,2,10,
https://www.linkedin.com/company/alphin,11118338,3100,44,51-200,51,200,
https://www.linkedin.com/company/18104096/,10080600,4787,9,2-10,2,10,
https://de.linkedin.com/company/amperecloud,15795321,2787,58,51-200,51,200,
https://www.linkedin.com/company/anyledger/,10134607,125,1,2-10,2,10,
https://www.linkedin.com/company/anytype,13989853,2399,272,11-50,11,50,
https://www.linkedin.com/company/apheris-ai,10549601,4945,34,11-50,11,50,
https://www.linkedin.com/company/apryl/,34610298,4716,9,11-50,11,50,
https://www.linkedin.com/company/aristander-ai/,14062348,93,3,2-10,2,10,
https://www.linkedin.com/company/artnight,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/17966629/,17966629,3341,30,11-50,11,50,
https://www.linkedin.com/company/askby-ai,18669713,114,1,2-10,2,10,
https://www.linkedin.com/company/assembly-net/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/assistr-digital-health-systems-gmbh/,18435605,1522,27,11-50,11,50,
https://www.linkedin.com/company/42783906/admin/,42783906,157,2,2-10,2,10,
https://www.linkedin.com/company/atomleap,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/aucta,20111696,563,5,11-50,11,50,
https://www.linkedin.com/company/augmania,10375064,703,1,11-50,11,50,
https://www.linkedin.com/company/augmented-robotics,14054936,2769,21,11-50,11,50,
https://www.linkedin.com/company/auto1-group,10037458,99760,3702,5001-10000,5001,10000,
https://www.linkedin.com/company/automobiles-it-solutions-o%C3%BC,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/automate-estate,37831667,447,0,2-10,2,10,
https://www.linkedin.com/company/autumn,10540125,39,5,2-10,2,10,
https://www.linkedin.com/company/ave-edam,35447295,687,6,2-10,2,10,
https://www.linkedin.com/company/tobeaware/,19050292,4468,3,11-50,11,50,
https://www.linkedin.com/company/b2bfg,14797176,715,2,51-200,51,200,
https://www.linkedin.com/company/babelforce/,3278211,4782,38,11-50,11,50,
https://www.linkedin.com/company/backhq,11845851,2417,90,11-50,11,50,
https://www.linkedin.com/company/bambusio/,33230224,533,5,2-10,2,10,
https://www.linkedin.com/company/bananabeauty/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/basking-workplace-analytics,27209165,2542,19,11-50,11,50,
https://www.linkedin.com/company/BayesEsports,13044587,4514,86,51-200,51,200,
https://www.linkedin.com/company/beadtech/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/gritspot,18363575,5170,238,51-200,51,200,
https://linkedin.com/company/beazy,11830481,1860,13,11-50,11,50,
https://www.linkedin.com/company/becanex/,35684196,1173,12,11-50,11,50,
https://www.linkedin.com/company/beelinguapp,15230328,1261,16,11-50,11,50,
https://www.linkedin.com/company/beets&roots-gmbh/about/,10888974,1788,68,51-200,51,200,
https://www.linkedin.com/company/belyntic/about/,18101356,1390,2,2-10,2,10,
https://www.linkedin.com/company/ben-fleet-services-gmbh,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/berlingreen,11739665,2555,12,11-50,11,50,
https://www.linkedin.com/company/berlin-space-consortium,76163795,282,4,11-50,11,50,
https://www.linkedin.com/company/berliner-berg,6640668,661,11,11-50,11,50,
https://www.linkedin.com/company/12664482/admin/,12664482,1266,0,11-50,11,50,
https://www.linkedin.com/company/betriebsarztservice-holding-gmbh,11855040,632,27,51-200,51,200,
https://www.linkedin.com/company/better-at-home-service-gmbh,13036870,799,9,11-50,11,50,
https://www.linkedin.com/company/betteries/,26179862,4797,13,11-50,11,50,
https://www.linkedin.com/company/bike-id,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/billie.io,17984901,16851,158,51-200,51,200,
https://www.linkedin.com/company/biotx-ai/,11267235,2211,14,2-10,2,10,
https://www.linkedin.com/company/bliq-ai/,11360442,2235,39,11-50,11,50,
https://www.linkedin.com/in/joachimlohkamp,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/blok-z/,33193998,1894,11,11-50,11,50,
https://www.linkedin.com/company/18321948,18321948,432,6,2-10,2,10,
https://www.linkedin.com/company/bonebrox/about/,11822401,275,4,11-50,11,50,
https://www.linkedin.com/company/bonify-germany,10242908,5073,57,51-200,51,200,
https://www.linkedin.com/company/bookitgreen.com,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/boost-by-vlm-health/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/bosqueplants/,35673920,583,8,11-50,11,50,
https://www.linkedin.com/company/box-to-box-app/,18553350,1217,5,2-10,2,10,
https://www.linkedin.com/company/brandhouse-berlin/,87166329,116,3,11-50,11,50,
https://www.linkedin.com/company/breakthrough-health/,18563505,415,2,2-10,2,10,
https://www.linkedin.com/company/brighter-ai/,18144227,5686,32,11-50,11,50,
https://www.linkedin.com/company/brytergmbh/,18669053,14283,72,201-500,201,500,
https://www.linkedin.com/company/buckle-&-seam,15252990,1317,7,2-10,2,10,
https://www.linkedin.com/company/buying-show-gmbh,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/buzzbird-gmbh,17933648,1699,15,51-200,51,200,
https://www.linkedin.com/company/cabinone/,10149597,1571,23,11-50,11,50,
https://de.linkedin.com/company/cadeia-co,37796099,1797,15,2-10,2,10,
https://www.linkedin.com/company/candis-gmbh,9474511,8927,129,51-200,51,200,
https://www.linkedin.com/company/canostix,14813696,130,2,2-10,2,10,
https://www.linkedin.com/company/careloopio/,14808936,2429,32,11-50,11,50,
https://www.linkedin.com/company/careship,7324290,1941,41,11-50,11,50,
https://www.linkedin.com/company/cargoone/,27212483,22690,135,51-200,51,200,
https://www.linkedin.com/company/caronsale,65447451,4663,165,201-500,201,500,
https://www.linkedin.com/company/10474432,10474432,2727,11,51-200,51,200,
https://www.linkedin.com/company/caspar-health/,18258136,6040,107,51-200,51,200,
https://www.linkedin.com/company/getcaya/,25178025,1896,40,11-50,11,50,
https://www.linkedin.com/company/ceden/,18117560,85,4,11-50,11,50,
https://www.linkedin.com/company/cellbricks-gmbh,18551684,5290,27,11-50,11,50,
https://www.linkedin.com/company/chainwisegroup,18530899,2383,33,11-50,11,50,
https://www.linkedin.com/company/charles/about/,18521677,12360,100,51-200,51,200,
