url,company_id,followers,employeeCount,employeeCountRange,employeeCountRangeMin,employeeCountRangeMax,error
https://www.linkedin.com/company/123fahrschule/,18188636,649,39,51-200,51,200,
https://www.linkedin.com/company/18471615/,18471615,9777,287,201-500,201,500,
https://www.linkedin.com/company/aedifion/,18334817,4223,73,51-200,51,200,
https://www.linkedin.com/company/aiconix-ai,18144710,1370,14,11-50,11,50,
https://www.linkedin.com/company/levelev-consulting-ug-haftungsbeschränkt-,41079850,643,8,2-10,2,10,
https://www.linkedin.com/company/15220881,15220881,1896,8,11-50,11,50,
https://www.linkedin.com/company/autlay/,18508120,279,9,11-50,11,50,
https://www.linkedin.com/company/b-fab-gmbh,11794217,968,9,2-10,2,10,
https://www.linkedin.com/company/balance-re/,35684373,440,10,11-50,11,50,
https://www.linkedin.com/company/bezahl-de-nx-technologies-gmbh,40902164,3700,151,51-200,51,200,
https://www.linkedin.com/company/bioecho-life-sciences-gmbh,17988193,2413,21,11-50,11,50,
https://www.linkedin.com/company/bongour,11033548,83,1,2-10,2,10,
https://www.linkedin.com/company/brnai,18160574,281,14,11-50,11,50,
https://www.linkedin.com/company/brajuu/about/,13022727,654,1,2-10,2,10,
https://www.linkedin.com/company/buynomics/,33178332,12036,74,51-200,51,200,
https://www.linkedin.com/company/candidate-select-gmbh/,17906979,3131,14,11-50,11,50,
https://www.linkedin.com/company/cannamedical/,18066735,6779,38,51-200,51,200,
https://linkedin.com/in/cdtdigital,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/chemondis/,11693696,14961,39,51-200,51,200,
https://de.linkedin.com/company/consultingheads,10598126,3854,22,11-50,11,50,
https://www.linkedin.com/company/linkedin-com-company-deepl,11520354,94188,1434,501-1000,501,1000,
https://www.linkedin.com/company/dropfriends/,34648915,632,6,2-10,2,10,
https://www.linkedin.com/company/eekual,72414321,229,10,11-50,11,50,
https://www.linkedin.com/company/einhundertenergie/,18507447,5357,77,51-200,51,200,
https://www.linkedin.com/company/enermeter-gmbh,18545284,22,2,2-10,2,10,
https://www.linkedin.com/company/entrafin,20529534,243,2,11-50,11,50,
https://www.linkedin.com/company/envelio/,17981784,8488,132,51-200,51,200,
https://www.linkedin.com/company/e%C2%B7pilot-gmbh/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/evy-solutions-gmbh/,11777799,1541,24,11-50,11,50,
https://www.linkedin.com/company/eyvaos/?viewAsMember=true,53386819,4276,22,11-50,11,50,
https://www.linkedin.com/company/fasciotens-gmbh,40743724,1961,27,11-50,11,50,
https://www.linkedin.com/company/19077321/,19077321,2092,16,11-50,11,50,
https://www.linkedin.com/company/firstwire-gmbh/,10940703,533,8,11-50,11,50,
https://www.linkedin.com/company/flowtify/?originalSubdomain=in,17891040,520,11,11-50,11,50,
https://www.linkedin.com/company/smart-foodforecast/,11829735,2150,26,11-50,11,50,
https://www.linkedin.com/company/5264962/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/gasidogmbhi.g.,16265461,51,0,2-10,2,10,
https://www.linkedin.com/company/geopard-agriculture,26202503,7900,10,11-50,11,50,
https://www.linkedin.com/company/howfm/,10543840,1453,29,11-50,11,50,
https://www.linkedin.com/company/impect-gmbh,49168554,2632,67,11-50,11,50,
https://www.linkedin.com/company/jumingo,17993718,1363,48,51-200,51,200,
https://www.linkedin.com/company/kerberos-compliance,11401569,1940,55,51-200,51,200,
https://www.linkedin.com/company/klarheit/?originalSubdomain=in,10904076,1066,24,2-10,2,10,
https://www.linkedin.com/company/kraftling/,13004378,1645,25,11-50,11,50,
https://www.linkedin.com/company/kypai,66241851,8912,70,51-200,51,200,
https://www.linkedin.com/company/legalbird,26224139,193,18,11-50,11,50,
https://www.linkedin.com/company/lumoview,12581676,1129,23,11-50,11,50,
https://www.linkedin.com/company/mailo/,28132012,1277,22,11-50,11,50,
https://www.linkedin.com/company/mecorad/,12662307,636,10,2-10,2,10,
https://www.linkedin.com/company/medlinkde/,65824872,202,4,2-10,2,10,
https://www.linkedin.com/company/serohtec/,18356517,67,0,2-10,2,10,
https://www.linkedin.com/company/metrugermany,18523933,3649,38,11-50,11,50,
https://www.linkedin.com/company/midnight-techno/?viewAsMember=true,102541783,58,2,11-50,11,50,
https://www.linkedin.com/company/mindzeit/,37212809,1845,3,2-10,2,10,
https://in.linkedin.com/company/m%C3%B6belfirst-gmbh,17998976,176,4,11-50,11,50,
https://www.linkedin.com/company/mane-biotech,14794621,2347,18,2-10,2,10,
https://www.linkedin.com/company/nomoo-icecream/,12575665,4826,17,11-50,11,50,
https://www.linkedin.com/company/odoscope/,1798264,1188,12,11-50,11,50,
https://www.linkedin.com/company/operaize/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/pinkbus/,20564497,330,6,2-10,2,10,
https://www.linkedin.com/company/plastic2beans/,28867865,1196,8,2-10,2,10,
https://www.linkedin.com/company/prommpt-collaborative-pm-saas/,18032653,20,1,11-50,11,50,
https://www.linkedin.com/company/radbonus,7932704,231,7,11-50,11,50,
https://www.linkedin.com/company/rausgegangen,13035394,2898,85,51-200,51,200,
https://www.linkedin.com/company/resment-ug,10876432,35,2,2-10,2,10,
https://www.linkedin.com/company/rimasys/about/,11252150,3339,43,51-200,51,200,
https://www.linkedin.com/company/rise-financial-technologies,10398116,889,23,11-50,11,50,
https://www.linkedin.com/company/rise-technologies-gmbh,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/roamlike/,11773086,1015,6,2-10,2,10,
https://www.linkedin.com/company/scedule,10843780,57,2,2-10,2,10,
https://www.linkedin.com/company/shareacamper,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/10462145/,10462145,483,11,11-50,11,50,
https://www.linkedin.com/company/snabbus/,14040985,328,0,11-50,11,50,
https://www.linkedin.com/company/sosafe-cyber-security/,18541944,19087,592,201-500,201,500,
https://www.linkedin.com/company/sourc-e-gmbh/,17900584,1110,23,11-50,11,50,
https://www.linkedin.com/company/techmass/about/,18152708,1550,1,2-10,2,10,
https://www.linkedin.com/company/9280892/admin/,9280892,401},5,2-10,2,10,
https://www.linkedin.com/company/tradingtwins/about/,27185984,464,28,11-50,11,50,
https://www.linkedin.com/company/join-unbind,66195686,244,0,11-50,11,50,
https://www.linkedin.com/company/vire-gmbh,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/vytal-global/?viewAsMember=true,15827641,12375,71,51-200,51,200,
https://www.linkedin.com/company/waschmal,42088768,158,12,11-50,11,50,
https://www.linkedin.com/company/luoro-gmbh/about/,9449591,526,2,11-50,11,50,
https://www.linkedin.com/company/world-of-vr,10349095,845,10,11-50,11,50,
https://www.linkedin.com/company/0-carbon/,66229166,1423,2,2-10,2,10,
