url,company_id,followers,employeeCount,employeeCountRange,employeeCountRangeMin,employeeCountRangeMax,error
https://www.linkedin.com/company/2trde/https://www.linkedin.com/company/2trde/,18228929,1556,24,11-50,11,50,
https://www.linkedin.com/company/36zero-vision/,78443389,1533,18,11-50,11,50,
https://in.linkedin.com/company/3bears,10891492,6797,29,11-50,11,50,
https://www.linkedin.com/company/3dtrust,3999424,544,5,2-10,2,10,
https://www.linkedin.com/company/4hundred,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/abaut-gmbh,28179654,1924,17,11-50,11,50,
https://www.linkedin.com/company/actyx,10114352,2111,6,11-50,11,50,
https://www.linkedin.com/company/agrando,10073932,2098,9,51-200,51,200,
https://www.linkedin.com/company/air-up,35649256,31595,303,201-500,201,500,
https://www.linkedin.com/company/airgreets,18277424,1444,77,11-50,11,50,
https://www.linkedin.com/company/alasco-gmbh,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/alfadocs,10155754,8614,76,51-200,51,200,
https://www.linkedin.com/company/alyne,5264658,2578,24,11-50,11,50,
https://www.linkedin.com/company/ampeersenergy/,14799499,4741,90,51-200,51,200,
https://www.linkedin.com/company/apostera/,93515537,0,0,N/A-N/A,N/A,N/A,
https://www.linkedin.com/company/arculus-gmbh/,10614020,9859,97,51-200,51,200,
https://www.linkedin.com/company/ariadne-gmbh/,14853328,7146,47,11-50,11,50,
https://www.linkedin.com/company/arthur-technologies/,15174687,5801,61,51-200,51,200,
https://www.linkedin.com/company/articly-app,69563787,859,8,2-10,2,10,
https://www.linkedin.com/company-beta/7950382/,,,,,,,Failed after proxy rotation
https://www.linkedin.com/company/atai-life-sciences,11743769,27842,83,51-200,51,200,
https://www.linkedin.com/company/banovo-gmbh/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/baosolutions/,18160865,2580,40,11-50,11,50,
https://www.linkedin.com/company/11823611/,11823611,2011,11,11-50,11,50,
https://www.linkedin.com/company/bernstein-technologies-gmbh/,15163202,597,3,2-10,2,10,
https://www.linkedin.com/company/bilendo-gmbh,10811991,803,26,11-50,11,50,
https://www.linkedin.com/company/bitreal-capital,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/blackmantacapitalpartners/,11748793,2806,19,2-10,2,10,
https://www.linkedin.com/company/bleenco/,18051535,1802,5,11-50,11,50,
https://www.linkedin.com/company/blickfeld-gmbh/,17968664,8761,54,51-200,51,200,
https://www.linkedin.com/company/bobbie-deutschland/,16259935,3311,50,51-200,51,200,
https://www.linkedin.com/company/box-id/,28153483,2050,21,11-50,11,50,
https://www.linkedin.com/company/brabbler-secure-message-and-data-exchange-aktiengesellschaft,10787082,1384,3,51-200,51,200,
https://www.linkedin.com/company/breath-therapeutics/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/build38,14511374,6516,60,51-200,51,200,
https://www.linkedin.com/company/cadami,5230407,292,8,2-10,2,10,
https://www.linkedin.com/company/capmo/,27021749,11374,85,51-200,51,200,
https://www.linkedin.com/company/catchys-gmbh/?originalSubdomain=in,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/celus,18377921,19536,118,51-200,51,200,
https://www.linkedin.com/company/ceregate,13002717,2119,19,2-10,2,10,
https://www.linkedin.com/company/charge-x,18529555,7550,50,51-200,51,200,
https://www.linkedin.com/company/charry-gmbh/,18133421,765,7,11-50,11,50,
https://www.linkedin.com/company/chatchamp/,18014531,2141,0,11-50,11,50,
https://www.linkedin.com/company/getciara,13034750,1890,5,11-50,11,50,
https://www.linkedin.com/company/classcamp,12669307,880,0,2-10,2,10,
https://www.linkedin.com/company/clever-kids-eu,28482224,10,8,2-10,2,10,
https://www.linkedin.com/company/11353263/,30898996,649,18,11-50,11,50,
https://www.linkedin.com/company/codesubmit,14813347,323,2,2-10,2,10,
https://www.linkedin.com/company/colorimetrix,9202987,198,1,2-10,2,10,
https://in.linkedin.com/company/commnex-gmbh,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/convaise,12597120,631,2,2-10,2,10,
https://www.linkedin.com/company/corrux/,18490273,2180,0,11-50,11,50,
https://www.linkedin.com/company/21consulting,18108392,822,3,2-10,2,10,
https://linkedin.com/company/cubemos-gmbh,12656499,3669,19,11-50,11,50,
https://www.linkedin.com/company/cyan-planet,15831592,1159,4,11-50,11,50,
https://www.linkedin.com/company/18452093/,18452093,22680,218,201-500,201,500,
https://www.linkedin.com/company/deep-one/,42884171,141,1,2-10,2,10,
https://www.linkedin.com/company/deepchealth/,18839462,11056,71,51-200,51,200,
https://www.linkedin.com/company/11756202,18109951,1185,30,11-50,11,50,
https://www.linkedin.com/company/demodesk,25165726,10178,22,51-200,51,200,
https://www.linkedin.com/company/easy-tutor-gmbh/,11816943,710,87,501-1000,501,1000,
https://www.linkedin.com/company/ebenbuild,13998501,1566,22,11-50,11,50,
https://www.linkedin.com/company/eisbach,13031047,2890,12,11-50,11,50,
https://www.linkedin.com/company/enmacc,10849353,7815,100,51-200,51,200,
https://www.linkedin.com/company/envoria/,43341650,3847,40,11-50,11,50,
https://www.linkedin.com/company/ephny,18130291,631,15,11-50,11,50,
https://www.linkedin.com/company/eve-io,18608036,407,15,11-50,11,50,
https://www.linkedin.com/company/everdrop,42296290,15495,98,51-200,51,200,
https://www.linkedin.com/company/everreal/,15232387,2075,18,11-50,11,50,
https://www.linkedin.com/company/everstox/,20565382,4263,76,51-200,51,200,
https://www.linkedin.com/company/eyelevelcarede/,71571491,755,8,11-50,11,50,
https://www.linkedin.com/company/eze-network,56439153,520,27,11-50,11,50,
https://www.linkedin.com/company/fairfleet/,10367596,4270,15,11-50,11,50,
https://www.linkedin.com/company/fernride/,28506075,10973,147,51-200,51,200,
https://www.linkedin.com/company/10301445,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/finn-auto,23727469,34279,435,201-500,201,500,
https://www.linkedin.com/company/finway/,31549594,3627,52,51-200,51,200,
https://www.linkedin.com/company/flowers-software/,26193445,1422,42,11-50,11,50,
https://www.linkedin.com/company/freewaycamper,65390483,3814,46,51-200,51,200,
https://www.linkedin.com/company/freeworkapp,18023698,679,25,2-10,2,10,
https://www.linkedin.com/company/fulfin-com,18528705,2719,20,11-50,11,50,
https://www.linkedin.com/company/functionhr-gmbh,17901139,2522,13,11-50,11,50,
https://www.linkedin.com/company/gamyworks,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/genesiscloud/,18634652,6333,31,11-50,11,50,
https://www.linkedin.com/company/golfstrom-energy/,20159699,591,9,2-10,2,10,
https://www.linkedin.com/company/grillido/,12479605,1292,9,11-50,11,50,
https://www.linkedin.com/company/79496460,79496460,34,5,11-50,11,50,
https://www.linkedin.com/company/hawa-dawa/,10422186,2309,4,11-50,11,50,
https://www.linkedin.com/company/hawk-ai-tech/,11687539,8793,115,51-200,51,200,
https://de.linkedin.com/company/heimkapital,64542639,1082,32,51-200,51,200,
https://www.linkedin.com/company/hellsicht-gmbh/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/18116130/,91479839,895,67,51-200,51,200,
https://www.linkedin.com/company/holoride/,13009301,9231,19,51-200,51,200,
https://www.linkedin.com/company/iatros-smart-health/,14006126,1932,48,11-50,11,50,
https://www.linkedin.com/company/idee-gmbh/,10601927,2236,20,11-50,11,50,
https://www.linkedin.com/company/insaas,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/instamotion-retail-gmbh/,10564063,1205,43,51-200,51,200,
https://www.linkedin.com/company/integritynext,18022756,20040,162,201-500,201,500,
https://www.linkedin.com/company/iomx-therapeutics,10886951,3718,60,11-50,11,50,
https://www.linkedin.com/company/ionity/,27097847,57229,269,51-200,51,200,
https://www.linkedin.com/company/isaraerospace,18488631,77924,395,201-500,201,500,
https://www.linkedin.com/company/jolt-energy/about/,11855125,7329,66,11-50,11,50,
https://www.linkedin.com/company/joyn-gmbh,18405674,8795,118,201-500,201,500,
https://www.linkedin.com/company/julep-media-gmbh,30687961,1437,25,11-50,11,50,
https://www.linkedin.com/company/keyp-gmbh/,17943641,266,1,2-10,2,10,
https://www.linkedin.com/company/kitekraft,13980202,2398,9,2-10,2,10,
https://www.linkedin.com/company/kiutra,18515407,2403,50,11-50,11,50,
https://www.linkedin.com/company/klarx,10790344,3107,57,51-200,51,200,
https://www.linkedin.com/showcase/labs64,5053722,435,null,11-50,11,50,
https://www.linkedin.com/company/lanes-planes-gmbh/,25074238,4780,216,201-500,201,500,
https://www.linkedin.com/company/lawtechgroup-gmbh,18442508,1392,5,11-50,11,50,
https://www.linkedin.com/company/limehome/,12595741,18008,264,201-500,201,500,
https://www.linkedin.com/company/liverate/,18060151,81,2,2-10,2,10,
https://www.linkedin.com/company/locaboo/,69550315,1569,24,11-50,11,50,
https://www.linkedin.com/company/7949147/,28516753,2764,25,11-50,11,50,
https://www.linkedin.com/company/maltego,14064608,22590,143,51-200,51,200,
https://www.linkedin.com/company/manyfolds/about/,18469610,574,6,2-10,2,10,
https://www.linkedin.com/company/marvelfusion/,40947157,12395,69,51-200,51,200,
https://www.linkedin.com/company/mecuris,10618927,3559,6,11-50,11,50,
https://www.linkedin.com/company/medikura,18293154,2575,40,11-50,11,50,
https://www.linkedin.com/company/mentessa/,13042742,3209,6,11-50,11,50,
https://www.linkedin.com/company/messengerpeople/,10922520,4922,26,1001-5000,1001,5000,
https://www.linkedin.com/company/metismotion,35480605,1239,17,11-50,11,50,
https://www.linkedin.com/company/mietwise,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://lu.linkedin.com/company/minqi,36993480,1446,7,2-10,2,10,
https://www.linkedin.com/company/mitakus/,18489761,675,1,2-10,2,10,
https://www.linkedin.com/company/mobiko/,18280897,4391,17,11-50,11,50,
https://www.linkedin.com/company/motionscloud/,4866271,787,16,11-50,11,50,
https://linkedin.com/company/munevo,6456224,2173,18,11-50,11,50,
https://www.linkedin.com/company/mylivn/,10077372,3234,7,11-50,11,50,
http://linkedin.com/company/navigance,12978164,767,18,11-50,11,50,
https://www.linkedin.com/company/ndcdatacenters/,27149249,390,0,2-10,2,10,
https://www.linkedin.com/company/neoshare-ag,65887184,5011,137,51-200,51,200,
https://www.linkedin.com/company/neutronstar-systems/,26226090,3139,12,2-10,2,10,
https://www.linkedin.com/company/nimmsta-gmbh/,34623282,2662,25,11-50,11,50,
https://www.linkedin.com/company/noah-mobility-gmbh,11759828,2995,17,11-50,11,50,
https://www.linkedin.com/company/nui-care-gmbh,19056402,2857,28,11-50,11,50,
https://www.linkedin.com/company/ocell-io/,12621919,5436,55,51-200,51,200,
https://www.linkedin.com/company/offcampers/,11840510,4218,668,51-200,51,200,
https://www.linkedin.com/company/openfabricai/about/,29303983,5497,14,11-50,11,50,
https://www.linkedin.com/company/orbem-ai/,35448389,5795,140,51-200,51,200,
https://www.linkedin.com/company/orda-technologies/,18037185,615,13,11-50,11,50,
https://www.linkedin.com/company/ororatech,11707377,13976,127,51-200,51,200,
https://www.linkedin.com/company/7601234,9434196,11810,148,51-200,51,200,
https://www.linkedin.com/company/europatent-patoffice/,37776449,1885,22,11-50,11,50,
https://www.linkedin.com/company/personal-mattress,10254886,41,2,2-10,2,10,
https://www.linkedin.com/company/picter/,17973185,1209,17,11-50,11,50,
https://www.linkedin.com/company/pionierkraft/,27052591,2644,37,11-50,11,50,
https://www.linkedin.com/company/preisenergie,12992951,244,11,2-10,2,10,
https://www.linkedin.com/company/pumperlgsund-gmbh,17970849,273,3,11-50,11,50,
https://www.linkedin.com/company/pumpkinorganics/about/,18067784,2193,17,11-50,11,50,
https://www.linkedin.com/company/p%C3%A1pydo/,40900368,616,2,2-10,2,10,
https://www.linkedin.com/company/qolware-gmbh,18027580,108,0,11-50,11,50,
https://www.linkedin.com/company/rapitag,18140634,1781,21,11-50,11,50,
https://www.linkedin.com/company/reactive-robotics/,10456562,2174,26,11-50,11,50,
https://www.linkedin.com/company/realcube-gmbh/,5110903,2103,13,11-50,11,50,
