url,company_id,followers,employeeCount,employeeCountRange,employeeCountRangeMin,employeeCountRangeMax,error
https://www.linkedin.com/company/5analytics,10355934,369,3,11-50,11,50,
https://www.linkedin.com/company/aervideo,10625363,164,4,2-10,2,10,
https://www.linkedin.com/company/ascon-systems-gmbh/?originalSubdomain=de,13055530,1431,106,51-200,51,200,
https://www.linkedin.com/company/asellerate-gmbh,102159626,1337,27,11-50,11,50,
https://www.linkedin.com/company/asvin-gmbh/,40744289,1835,24,11-50,11,50,
https://www.linkedin.com/company/aucobo,18214741,1639,4,11-50,11,50,
https://www.linkedin.com/company/ax-semantics,7928482,1940,30,11-50,11,50,
https://de.linkedin.com/company/azowo-gmbh,18562486,887,27,51-200,51,200,
https://www.linkedin.com/company/bextechnologies/,14828483,1877,49,11-50,11,50,
https://www.linkedin.com/company/bimsystems-gmbh/,27031942,1805,6,11-50,11,50,
https://www.linkedin.com/company/cyclus-digital/,14005136,1317,8,11-50,11,50,
https://www.linkedin.com/company/coinsbee-gmbh/about/,77897588,1887,4,2-10,2,10,
https://www.linkedin.com/company/comecogmbh,13016754,1083,61,51-200,51,200,
https://www.linkedin.com/company/startup-courseyard,5353083,109,5,11-50,11,50,
https://www.linkedin.com/company/datazoo,30078523,276,1,2-10,2,10,
https://in.linkedin.com/company/debtvision-gmbh,18706087,1004,16,11-50,11,50,
https://www.linkedin.com/company/drag&bot/,10813840,2137,6,11-50,11,50,
https://www.linkedin.com/company/eliso-gmbh/,13985508,1947,65,51-200,51,200,
https://www.linkedin.com/company/finmatch-ag/,12624376,4041,49,11-50,11,50,
https://www.linkedin.com/company/flipappde,11850107,25270,153,51-200,51,200,
https://www.linkedin.com/company/alphabeet/,65184983,708,12,11-50,11,50,
https://www.linkedin.com/company/home-ix,17906428,2006,0,11-50,11,50,
https://www.linkedin.com/company/instagrid,18561399,10482,246,201-500,201,500,
https://www.linkedin.com/company/52137233,91723324,135,10,11-50,11,50,
https://www.linkedin.com/company/iocare,10872950,59,3,2-10,2,10,
https://www.linkedin.com/company/kalea-gmbh,43275673,697,3,2-10,2,10,
https://www.linkedin.com/in/cryptocaptain/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/laserhub-gmbh/,13030710,3840,73,51-200,51,200,
https://www.linkedin.com/company/makersitede,10475661,8637,91,51-200,51,200,
https://www.linkedin.com/company/memomeister/,17918073,740,7,2-10,2,10,
https://www.linkedin.com/company/nc-vision,13995057,2190,39,11-50,11,50,
https://www.linkedin.com/company/peakboard-gmbh,27046238,2438,21,11-50,11,50,
https://www.linkedin.com/company/premano-gmbh-co-kg,18288370,276,14,11-50,11,50,
https://www.linkedin.com/company/reparando-gmbh/,10098249,205,4,11-50,11,50,
https://www.linkedin.com/company/seg-automotive/,18429350,32720,1821,5001-10000,5001,10000,
https://de.linkedin.com/company/smark-de,12579170,1011,9,11-50,11,50,
https://www.linkedin.com/company/spacegoats/,18888675,1589,16,11-50,11,50,
https://www.linkedin.com/company/sparetech-io/about/,11829795,5300,86,51-200,51,200,
https://www.linkedin.com/company/11709902,11709902,3857,20,11-50,11,50,
https://www.linkedin.com/company/swarm-logistics/,18526999,1395,3,2-10,2,10,
https://www.linkedin.com/company/tsenso,18334489,500,8,2-10,2,10,
https://www.linkedin.com/company/veprosa,71722984,139,2,2-10,2,10,
https://www.linkedin.com/company/vialytics,18337977,3359,100,51-200,51,200,
https://de.linkedin.com/company/vive-la-car-gmbh,19117947,3681,41,51-200,51,200,
https://www.linkedin.com/company/waays-crowdcoaching-gmbh,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/35461909,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
