url,username,followers,connections,degree_1,degree_1_university,degree_2,degree_2_university,error
https://www.linkedin.com/in/johannes-stoffel-27389667,johannes-stoffel-27389667,4815,3914,"Executive Master, Digital Innovation and Entrepreneurial Leadership",ESCP Business School,"Bachelor of Science - BS, Gerneral Management",EBS Universität für Wirtschaft und Recht,
https://www.linkedin.com/in/zkaramat/,zkaramat,6482,6479,"Masters Computer Science, Artificial Intelligence",Technische Universität München,"Masters Computer Science, Artificial Intelligence",Georgia Institute of Technology,
https://www.linkedin.com/in/alexandre-gu%C3%A9rin-79734986/,alexandre-gu%C3%A9rin-79734986,9782,9238,"Master's degree, International Business and Finance","ESB Business School, Reutlingen University",,ESCE International Business School,
https://www.linkedin.com/in/mituca,mituca,2089,1893,"Master's degree, Informatics",Technische Universität München,"Engineer, Computer Science",Universitatea „Politehnica” din Timișoara,
https://www.linkedin.com/in/antoine-jeol,antoine-jeol,5123,4882,,Ludwig-Maximilians-Universität München,,"ESB Business School, Reutlingen University",
https://www.linkedin.com/in/oliverstollmann,oliverstollmann,1236,1130,"Master of Science, Mechanical Engineering",ETH Zürich,"Bachelor of Science, Mechanical Engineering",ETH Zürich,
https://www.linkedin.com/pub/roland-kuhn/57/28a/178,,,,,,,,Failed after proxy rotation
https://www.linkedin.com/in/schultzchristian/,schultzchristian,1536,1457,"Staatsexamen, Zahnmedizin",Universität Greifswald,"Promotion, Zahnmedizin",Universität Greifswald,
https://www.linkedin.com/in/jonashueber,jonashueber,1174,1116,"Master of Science (M.Sc.), Information Systems",Technische Universität München,"Master of Science (M.Sc.), Information Systems",Universitat Pompeu Fabra - Barcelona,
https://www.linkedin.com/in/jonathan-bernwieser,jonathan-bernwieser,2619,2505,"Master of Science (MS), Wirtschaftsinformatik",Technische Universität München,Information Systems,Universitat Pompeu Fabra - Barcelona,
https://www.linkedin.com/in/moritz-von-oertzen-888b552,moritz-von-oertzen-888b552,1230,1227,,Freie Universität Berlin,,,
https://www.linkedin.com/in/rogerschwarz,rogerschwarz,1454,1027,"Ph.D., Organizational Psychology",University of Michigan,M.Ed.,Harvard University,
https://www.linkedin.com/in/fabianschlang/,fabianschlang,4539,4410,"Master of Science - MS / Dipl.-Ing (TUM), Technologie- und Biotechnologie der Lebensmittel",Technische Universität München,"Bachelor of Science - BS, Ernährungswissenschaft",Technische Universität München,
https://www.linkedin.com/in/tim-j%C3%A4ger-0748bb8a/,tim-j%C3%A4ger-0748bb8a,3530,3439,"Diplom, Design",Hochschule für Gestaltung Offenbach,"Tongji University China Shanghai, Industrial design",同济大学,
https://www.linkedin.com/in/florian-bogenschuetz/,florian-bogenschuetz,5137,4860,"Master, Wirtschaftswissenschaften",Eberhard Karls Universität Tübingen,International Business Administration,Aix-Marseille University,
https://www.linkedin.com/in/julian-ritter-28492532/,julian-ritter-28492532,3699,3647,"MSc, Risk and Finance",The London School of Economics and Political Science (LSE),"Bachelor of Science (B.Sc.), International Business and Economics",Eberhard Karls Universität Tübingen,
https://www.linkedin.com/in/sebastian-drescher-317a8727/,sebastian-drescher-317a8727,1998,1971,"MBA, General Management",Portland State University,"B.Sc., International Business",ESB Business School - Reutlingen University,
https://www.linkedin.com/in/anselmbauer,anselmbauer,2182,2012,"Diploma, Media Informatics",Ludwig-Maximilians-Universität München,UI Design & Information Policy,"University of California, Berkeley",
https://www.linkedin.com/in/benjaminguenther,benjaminguenther,5139,3373,"Honors Degree Technology Management, Technology Management",Center for Digital Technology and Management (CDTM),"Research Scholar, Business Administration","University of California, Berkeley",
https://www.linkedin.com/in/schuon,schuon,5498,3097,"MSc, Computer Science",Stanford University,"Dipl.-Ing., Electrical Engineering",Technische Universität München,
https://www.linkedin.com/in/fabian-zolk-08634590/,fabian-zolk-08634590,1669,1198,,Preisverleihung im SIEMENS Viralspot-Wettbewerb,,,
https://www.linkedin.com/in/niklas-fischer-riepe-a633b0b9,niklas-fischer-riepe-a633b0b9,426,339,"Master of Science (M.Sc.), Management",FAU Erlangen-Nürnberg,"Bachelor of Science (B.Sc.), Business Informatics",Universität Paderborn,
https://www.linkedin.com/in/karlviertel,karlviertel,4744,4540,"Diplom, Wirtschaftsinformatik",Universität Regensburg,"Abitur, Physics",Gymnasium Bad Aibling,
https://www.linkedin.com/in/manuelreil/,manuelreil,3944,3943,"Master's Degree, Information Technology",Universität Regensburg,,,
https://www.linkedin.com/in/matthiasdanner,matthiasdanner,872,856,"Dipl.-Inf. (FH), Computer Science",Hochschule München,,,
https://www.linkedin.com/in/ssulistyo,ssulistyo,3099,3052,"M.Sc., Computer Science",International University in Germany,"B.Sc., Management Information Systems, General",Rensselaer Polytechnic Institute,
https://www.linkedin.com/in/tobias-m%C3%BCller-a43387108/,tobias-m%C3%BCller-a43387108,1375,849,"Master of Science (M.Sc.), Technische Volkswirtschaftslehre",Karlsruher Institut für Technologie (KIT),"Bachelor of Science (B.Sc.), Politische Ökonomie",Universität Heidelberg,
https://www.linkedin.com/in/andrey-golubinskiy,andrey-golubinskiy,3588,3510,Economics,Corporate LUX-MBA program,"Master, Financial Management",Kyiv National Economics University,
https://www.linkedin.com/in/mikhail-sokirnik-29257b85,mikhail-sokirnik-29257b85,541,522,"MSEE, Industrial electronics",Odessa National Polytechnic University,,,
https://www.linkedin.com/in/victorsamoylenko/,victorsamoylenko,5501,5474,"Master, Physics, Mathematics",NTUU \,"Master, Physics, Mathemetics",National Technical University of Ukraine 'Kyiv Polytechnic Institute'​,
https://www.linkedin.com/in/fabian-rusitschka-15860862/?locale=en_US,fabian-rusitschka-15860862,2374,2257,"Dipl.-Ing., Maschinenbau",Universität Stuttgart,,,
https://www.linkedin.com/in/frank-hempel-34622724,,,,,,,,Failed after proxy rotation
https://www.linkedin.com/in/marius-leffler-194693128/?locale=en_US,marius-leffler-194693128,510,504,"Master’s Degree, Robotics, Cognition, Intelligence",Technische Universität München,"Bachelor’s Degree, Mechatronics",Technische Hochschule Ingolstadt,
https://de.linkedin.com/in/witoldkop/en,,,,,,,,Failed after proxy rotation
https://www.linkedin.com/in/georgios-pipelidis-80378540/,,,,,,,,Failed after proxy rotation
https://www.linkedin.com/in/nikolaos-tsiamitros-096a0414,,,,,,,,Failed after proxy rotation
https://www.linkedin.com/in/cfleischmann/,cfleischmann,1889,1715,"Master of Arts in SIM (M.A. HSG), Strategy and International Management",Universität St.Gallen (HSG),"BA, Management with an emphasis on International Business",Webster Vienna Private University,
https://www.linkedin.com/in/christian-angermayer,christian-angermayer,48562,24930,"Abitur, Wirtschaftswissenschaften",Universität Bayreuth,,,
https://www.linkedin.com/in/brand-florian/,brand-florian,13753,9069,Master in Management,ESCP Business School,Economics,HEC Lausanne - The Faculty of Business and Economics of the University of Lausanne,
https://www.linkedin.com/in/lars-christian-wilde-5bb24113/,lars-christian-wilde-5bb24113,10433,8164,"Master in Finance, Finance",IE Business School,"Bachelor of Science, International Business Administration","Rotterdam School of Management, Erasmus University",
https://www.linkedin.com/in/mareike-waechter/,mareike-waechter,1596,1438,MBA,INSEAD,"Diplom, Technologie- und Managementorientierte BWL",Technische Universität München,
https://www.linkedin.com/in/michael-dreimann-0b66042/,michael-dreimann-0b66042,1512,1469,"MBA, Personal Decision-Making Skills",The Wharton School,"BA, Business, Finance",Northeastern University,
https://www.linkedin.com/in/sven-mueller-holberg-phd,sven-mueller-holberg-phd,2833,2841,"PhD, Business Management",Brunel University of London,"Diplom, Business Management",Technische Universität Chemnitz,
https://www.linkedin.com/in/mariah-freya/,mariah-freya,1448,977,Qualification in Life Coaching & Counselling,Life Coaching,"Bachelor of Arts (B.A.), Social Work",Frankfurt University of Applied Sciences,
https://www.linkedin.com/in/psteinweber,psteinweber,1452,1013,"Magister (FH), Multimediaart",Fachhochschule Salzburg - University of Applied Sciences,,Landschulheim Marquartstein,
http://www.linkedin.com/in/jmriviere,jmriviere,1214,1206,"Bachelor of Applied Science (B.A.Sc.), Management and Technology",TUM School of Management,"Bachelor's degree, Marketing and Psychology",Singapore Management University,
http://www.linkedin.com/in/mbarulli,mbarulli,2092,1999,"Master's degree, Computer Science",Alma Mater Studiorum - Università di Bologna,"Research fellowship, Numerical analysis - Parallel computing",Loughborough University,
https://www.linkedin.com/in/rebohp,rebohp,1946,1692,,SUPINFO,,Epitech,
https://www.linkedin.com/in/floriankappert,floriankappert,3298,2595,"Dipl.-Kfm., Strategy & Information",Universität Augsburg,,,
https://www.linkedin.com/in/jakobbeyer/,jakobbeyer,388,389,,,,,
https://www.linkedin.com/in/markus-haggenmiller-782152124,markus-haggenmiller-782152124,1641,1584,Finance & Information,Universität Augsburg,Management des entreprises,Université de Rennes,
http://www.linkedin.com/in/borishardi,borishardi,28453,28655,"Bachelor, Real Estate",Albert-Ludwigs-Universität Freiburg,,Hohenlimburg,
https://www.linkedin.com/in/alexander-rapatz-8445b072,alexander-rapatz-8445b072,7371,6673,"Certificate, Master Class on Transformational Leadership",Columbia University,Corporate Finance Professional Certificate,Columbia Business School,
https://www.linkedin.com/in/christianplatzer,christianplatzer,5418,5175,"Philosophy, Political Science, Economics",Universität Passau,"Diploma, Political Science",Freie Universität Berlin,
https://www.linkedin.com/in/irmanabdic/,irmanabdic,3876,3339,,Center for Digital Technology and Management (CDTM),,Massachusetts Institute of Technology,
https://www.linkedin.com/in/florian-petit,florian-petit,6696,5105,"Dr. sc., Robotics",ETH Zürich,,Stanford University,
https://www.linkedin.com/in/mathias-m%C3%BCller-1877bb10b,mathias-m%C3%BCller-1877bb10b,869,696,"Dr.-Ing., Elektrotechnik und Elektronik",Technische Universität München,Dipl.-Phys.,Ludwig-Maximilians-Universität München,
https://www.linkedin.com/in/rolf-wojtech-3763109,rolf-wojtech-3763109,665,624,,,,,
https://www.linkedin.com/in/alexandergran,alexandergran,4257,3210,"Master of Business Administration (MBA), Business, Management, Marketing und verbundene unterstützende Dienste",Collège des Ingénieurs,"Diplom, Informatik",RWTH Aachen University,
https://www.linkedin.com/in/timkuhlmann,timkuhlmann,2124,2060,Abitur,Munich Business School,,St.- Pius - Gymnasium,
https://www.linkedin.com/in/ssilberhorn,ssilberhorn,8474,8412,Management Information Systems,University of Maryland Global Campus,,,
https://www.linkedin.com/in/wolfgang-vogl-736593143,wolfgang-vogl-736593143,1126,1079,Dr.-Ing. | Augmented Reality als User Interface für Industrieroboter,Technische Universität München,Externe Diplomarbeit | Haptic Interfaces for Nanomanipulation,Carnegie Mellon University,
https://www.linkedin.com/in/eric-dolatre-60a984171,eric-dolatre-60a984171,1310,1293,Datenverarbeitungskaufmann IHK,GBS Schulen München,,International Baccalaureate Diploma,
https://www.linkedin.com/in/karstenschramm,karstenschramm,212,167,Elektrotechnik und Physik,Technische Universität München,,,
https://www.linkedin.com/in/anne-burger-aa6674a/,anne-burger-aa6674a,839,799,,,,,
https://www.linkedin.com/in/gerhard-b%C3%B6rner-b20a49188/,gerhard-b%C3%B6rner-b20a49188,81,74,,,,,
https://www.linkedin.com/in/jens-stegemann-a59ab110a/,jens-stegemann-a59ab110a,1215,1172,"PhD (Dr. rer. nat.), Biology",Universidad de Costa Rica & Universität Stuttgart Hohenheim,"University Diploma Natural Science (Diplom Naturwissenschaften), Biology",Technische Universität Darmstadt,
https://www.linkedin.com/in/oliverdenk/,oliverdenk,699,685,"PhD, Pharmaceutical Sciences",University of Strathclyde,"Master of Science (MSc), Pharmaceutical Sciences",University of Strathclyde,
https://www.linkedin.com/in/schlaeger/,schlaeger,4780,3265,"Foundations of Scaling, Business Administration and Management, Operations",IESE Business School,"Dr., Business Informatics",Universität Regensburg,
https://www.linkedin.com/in/marc-obrador,marc-obrador,1561,1512,"Master of Engineering (MEng), Telecommunications Engineering",UPC - ETSETB Telecos BCN,"Engineering, Telecommunications Engineering",UPC - ETSETB Telecos BCN,
https://www.linkedin.com/in/torstenleibner,torstenleibner,925,887,"Diplom-Informatik, Informatik","Carl von Ossietzky Universität Oldenburg, Dipl.-Informatik",,,
https://www.linkedin.com/in/florian-biller/,florian-biller,17325,15547,"Master, Betriebswirtschaft (Unternehmenssteuerung)",Universität St.Gallen (HSG),Zusatzstudium Technology Management am CDTM der TU München,Center for Digital Technology and Management (CDTM),
https://www.linkedin.com/in/florian-ettlinger/,florian-ettlinger,593,537,"Honours Degree, Technology Management",Center for Digital Technology and Management (CDTM),"M. Sc., Physics",Technische Universität München,
https://www.linkedin.com/in/patrickchrist/,patrickchrist,5696,5260,"Center Assistent CA, Entrepreneurship Lab",Center for Digital Technology and Management (CDTM),,Technische Universität München,
https://www.linkedin.com/in/sebastian-schlecht-88445999/,sebastian-schlecht-88445999,3368,2695,"Master of Science (M.Sc.), Electrical Engineering & Information Technology",Technische Universität München,"Honours Degree in Technology Management, Technology Management",Center for Digital Technology and Management (CDTM),
https://www.linkedin.com/in/alexander-pohl/,alexander-pohl,2054,1840,"Master of Science (M.Sc.), Management",Technische Universität München,"Master of Science (M.Sc.), Aerospace, Aeronautical and Astronautical/Space Engineering",Technische Universität München,
https://www.linkedin.com/in/andre-alcalde/,andre-alcalde,2661,1847,"Executive Master of Business Administration - MBA, Innovation & Business Creation",TUM School of Management,"Visiting EMBA Student, Innovation and Business Creation","University of California, Berkeley, Haas School of Business",
https://www.linkedin.com/in/michael-masnitza-b6870085/,michael-masnitza-b6870085,6929,6825,"Master of Science (M.Sc.), Maschinenbau und Management; Mechanical Engineering and Management",Technische Universität München,"Exchange student, Graduate school of engineering",Kyoto University,
https://www.linkedin.com/in/dominikgrusemann/,dominikgrusemann,1373,1312,"Master of Science (M.Sc.) with Honors, Software Engineering",Technische Universität München,Computer Science,University of Illinois Urbana-Champaign,
http://www.linkedin.com/in/flxschroeder,flxschroeder,9159,9137,"Master's degree, Automotive Engineering",Technische Universität München,Mechanical Engineering,The University of Texas at Austin,
https://www.linkedin.com/in/konstantin-krauss,konstantin-krauss,1956,1919,Computer Sience,Ludwig-Maximilians-Universität München,,,
https://www.linkedin.com/in/martin-heibel-b735b4,martin-heibel-b735b4,4509,4441,"Dipl.-Kfm. (Master equivalent), Entrepreneurship, Finance",WHU – Otto Beisheim School of Management,"Doktor (Ph.D.), Entrepreneurship",Ludwig-Maximilians-Universität München,
https://www.linkedin.com/in/averikhin/,averikhin,7704,7509,"Certified Software Licensing Evangelist, Software Licensing & Monetization",Labs64 NetLicensing Bootcamp,,Siberian Federal University,
https://www.linkedin.com/in/dominikwestner,dominikwestner,447,423,"Diplom, Physics",Ludwig-Maximilians-Universität München,Abitur,Gymnasium Miesbach,
https://www.linkedin.com/in/haar,haar,935,914,"Master of Science - MS, Information Systems (Wirtschaftsinformatik)",Technische Universität München,"Bachelor of Science (B.Sc.), Information Systems Management",Technische Universität München,
https://www.linkedin.com/in/tushaar-bhatt,tushaar-bhatt,4692,4707,"Master of Science - MS, Information Systems (Wirtschaftsinformatik)",Technische Universität München,University Innovation Fellowship,Stanford University,
https://www.linkedin.com/in/toennies/,toennies,7975,6370,"Mathematics, Philosophy",Ludwig-Maximilians-Universität München,,,
https://www.linkedin.com/in/hendersonry/,hendersonry,538,527,"Doctor of Philosophy (PhD), Chemistry",Cornell University,"Bachelor of Science (BS), Physics",Bowling Green State University,
https://www.linkedin.com/in/klaus-himmer-69a536106,klaus-himmer-69a536106,5782,5564,"Doctor of Philosophy - PhD, Taxation",Albert-Ludwigs-Universität Freiburg,Certified Tax Advisor,Bavarian State Ministry of Finance,
https://www.linkedin.com/in/magnus-berchtold-09191295,magnus-berchtold-09191295,1211,1126,"Master of Science, M.Sc., Masterstudiengang Betriebswirtschaft Finance und Controlling",Hochschule München,"Master of Laws - LLM, Masterstudiengang Steuerrecht und Steuerlehre",OTH Amberg-Weiden,
https://www.linkedin.com/in/tosovic/,tosovic,2761,1956,"Master (Magister), Business Administration",Universität Graz,MBA,Maastricht School of Management,
https://www.linkedin.com/in/andreas-franz-entrepreneur,andreas-franz-entrepreneur,4720,3800,"CDTM, High Tech Management",Center for Digital Technology and Management (CDTM),"Dr., Business",Ludwig-Maximilians-Universität München,
https://www.linkedin.com/in/dr-christopher-scheubel-0b3420145/,dr-christopher-scheubel-0b3420145,5650,4867,"Master of Honours, Technology Management",Center for Digital Technology and Management (CDTM),"Diploma, Business Administration and Management, General",Technische Universität München,
https://www.linkedin.com/in/patrick-bilic-71674b53/,patrick-bilic-71674b53,3126,2182,Honours Degree in Technology Management,Center for Digital Technology and Management (CDTM),"Master of Science - MS, Informatik, Wirtschaftswissenschaften (Minors)",Technische Universität München,
https://www.linkedin.com/in/michal-lovecky/,michal-lovecky,1060,1042,"Master of Science - MS, Sea and Society",Göteborgs universitet,"Master of Arts - MA, Arts, Entertainment, and Media Management",Stockholms konstnärliga högskola,
https://www.linkedin.com/in/kivanc-semen-b75288b6,kivanc-semen-b75288b6,3079,2869,"Master of Science (M.Sc.), Industrial Engineering and Management",Karlsruher Institut für Technologie (KIT),Bachelor Thesis: Combining Agile Software Development with CMMI in Small Settings,Carnegie Mellon University,
https://www.linkedin.com/in/markus-fisseler-9ba45199,,,,,,,,Failed after proxy rotation
https://www.linkedin.com/in/thomas-regier,thomas-regier,2489,2245,Master of Public Administration (McCloy Fellow),Harvard University,Master of Philosophy - MPhil,University of Cambridge,
https://www.linkedin.com/in/juliamoosbauer,juliamoosbauer,3062,2963,"Master of Science - MSc, Data Science",Ludwig-Maximilians-Universität München,Mathematics,École normale supérieure de Lyon,
https://www.linkedin.com/in/michael-meyerhoff,michael-meyerhoff,1669,1598,post-doc position,Ecole normale supérieure,"Ph.D., Physics",Johannes Gutenberg-Universität Mainz,
