ID,Organization Name,Industries,Description,CB Rank (Company),Founded Date,Exit Date,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Acquired by,Announced Date Acquisition,IPO,followers,employeeCount,employeeCountRange,employeeCountRangeMin,employeeCountRangeMax
000001,2trde,"['Automotive', 'Software']",2trde develops a software solution designed for B2B car trade and mobility providers.,"57,123",2017-01-01,,https://www.2trde.com,,,https://www.linkedin.com/company/2trde/https://www.linkedin.com/company/2trde/,2trde accelerates B2B used car trading!,"['Software', 'Transportation']",1.0,30.5,Johannes Stoffel,2,2022-03-09,7000000.0,Seed,7751500.0,"Plug and Play, Aster, Maniv Mobility, Adevinta Ventures",3.0,4.0,0.0,,,,0,1556,24,11-50,11,50
000002,36ZERO Vision,"['Artificial Intelligence (AI)', 'Computer Vision', 'Industrial Automation', 'Machine Learning', 'Manufacturing']",36ZEROVision is an AI-powered visual inspection system(SaaS) to identify and solve a wide range of manufacturing quality issues.,"51,326",2019-01-01,,https://36zerovision.com/,,,https://www.linkedin.com/company/36zero-vision/,"36ZEROVision is an AI-powered visual inspection system developed to identify and solve a wide range of manufacturing quality issues. It offers fully automated error tracking and identification for optimized manufacturing agility and quality, factory throughput, and capital spending.","['Artificial Intelligence (AI)', 'Data and Analytics', 'Hardware', 'Manufacturing', 'Science and Engineering', 'Software']",2.0,30.5,"Florian Ziesche, Zeeshan Karamat",2,2021-09-13,3000000.0,Seed,3000000.0,"Alchemist Accelerator, Join Capital",1.0,2.0,0.0,,,,0,1533,18,11-50,11,50
000003,3Bears Foods,['Food and Beverage'],3Bears Foods enable a balanced and delicious breakfast for everyone.,"275,817",2015-01-01,,https://3bears.de/,,https://www.facebook.com/3bearsporridge/,https://in.linkedin.com/company/3bears,3Bears Foods enable a balanced and delicious breakfast for everyone.,['Food and Beverage'],2.0,30.5,"Caroline Steingruber, Tim Nichols",1,2017-06-01,,Seed,,Freigeist Capital,1.0,1.0,0.0,,,,0,6797,29,11-50,11,50
000004,3dTrust,"['3D Printing', 'Manufacturing', 'Software']",3dTrust helps companies integrate 3D printing in their supply chain.,"134,694",2015-01-01,,http://3dtrust.de,https://twitter.com/3dTrust,,https://www.linkedin.com/company/3dtrust,"3dTrust helps companies integrate 3D printing in their supply chain. With the development of 3D printing current supply chains will be disrupted; goods will no longer be shipped as physical objects anymore but will more and more be exchanged as digital files until being produced locally by subsidiaries, partners or customers equipped with a 3D printer. This transformation creates new opportunities regarding production and supply chain organization as well as intellectual property protection.","['Manufacturing', 'Software']",3.0,5.5,"Alexandre Guérin, Andrei Mituca, Antoine Jeol",1,2016-09-21,1000000.0,Series A,1119069.0,"Ace Capital Partners, Weare Aerospace",2.0,2.0,0.0,,,,0,544,5,2-10,2,10
000005,abaut,"['Analytics', 'Artificial Intelligence (AI)', 'Construction', 'Data Mining', 'Infrastructure', 'Internet of Things', 'Mining', 'SaaS', 'Software']",abaut builds a SaaS that enables businesses along the construction value chain to make better decisions and maximize their efficiency.,"219,525",2017-07-21,,https://abaut.de,,,https://www.linkedin.com/company/abaut-gmbh,"abaut is a SaaS provider for the construction and mining industry. The company’s goal is the digital replication of construction and mining progress and processes by combining a multitude of data sources, which are processed with the help of AI. Their software enables site managers to make better decisions, by providing site managers a holistic view over his site. Therefore, the risk of inefficiencies, process bottlenecks and cost & schedule overruns is reduced. The company was founded in 2017 and is headquartered in Munich, Germany.","['Artificial Intelligence (AI)', 'Data and Analytics', 'Information Technology', 'Internet Services', 'Natural Resources', 'Other', 'Real Estate', 'Science and Engineering', 'Software']",4.0,30.5,"Dr. Markus Häupl, Dr. Matthias Wimmer, Max-David Falkner, Sebastian Kaluza",1,2020-03-20,,Seed,,,0.0,0.0,0.0,,,,0,1924,17,11-50,11,50
000006,Actyx,"['Information Technology', 'Software']",Actyx is a Munich-based Industry company that maximizes production performance though digital industry solutions.,"271,944",2016-01-01,,https://www.actyx.com,https://twitter.com/actyx,,https://www.linkedin.com/company/actyx,,"['Information Technology', 'Software']",3.0,30.5,"Maximilian Fischer, Oliver Stollmann, Roland Kuhn",3,2021-03-02,,Venture - Series Unknown,,"System.One, SquareOne Venture Capital, Kulpreet Singh, Mirko Novakovic, Karl Haeusgen",1.0,6.0,0.0,,,,0,2111,6,11-50,11,50
000007,Agrando,"['Agriculture', 'AgTech', 'B2B', 'Procurement']",Agrando is an agricultural B2B distribution platform.,"34,859",2017-08-17,,https://www.agrando.com,https://twitter.com/agrando,https://www.facebook.com/agrando.de,https://www.linkedin.com/company/agrando,Agrando serves all participants involved in the agri-trade as a tool for communication and information procurement as well as processing and administration of transactions.,"['Agriculture and Farming', 'Other', 'Transportation']",5.0,175.5,"Christian Schultz, Jonas Hueber, Jonathan Bernwieser, Moritz von Oertzen, Roger Schwarz",3,2021-07-05,12000000.0,Series A,14238591.0,"Sony Innovation Fund, Yabeo, Baltic Ventures, June Fund, CIMEDO",2.0,7.0,0.0,,,,0,2098,9,51-200,51,200
000008,air up,"['Consumer', 'Food and Beverage', 'Manufacturing', 'Retail']",air up is a provider of drinking bottle system that provides scent-flavored water.,"6,147",2018-01-01,,https://shop.air-up.com,https://x.com/airup_official,https://www.facebook.com/airup.official,https://www.linkedin.com/company/air-up,air up is a provider of a drinking bottle system that provides scent-flavored water. The innovation uses retronasal olfaction—where the brain perceives scent through the mouth as taste—to allow the user to enjoy flavored water without added sugars or artificial ingredients.,"['Commerce and Shopping', 'Food and Beverage', 'Manufacturing', 'Other']",5.0,375.5,"Fabian Schlang, Jannis Koppitz, Lena Jüngst, Simon Nüesch, Tim Jäger",5,2021-09-28,40000000.0,Venture - Series Unknown,67922929.0,"PepsiCo, Five Seasons Ventures, Ippen Media, Oyster Bay Venture Capital, Freigeist Capital",1.0,6.0,0.0,,,,0,31595,303,201-500,201,500
000009,Airgreets,"['Hospitality', 'Professional Services', 'Sharing Economy']",Short-term rental made easy! Airgreets HOME: vacation rentals in holiday regions & Airgreets CITY: homesharing in cities,"88,304",2016-01-01,2020-06-18,http://www.airgreets.com,,https://www.facebook.com/airgreets,https://www.linkedin.com/company/airgreets,"Why can't renting out my apartment, house, chalet or hut be completely uncomplicated? That's right, we asked ourselves that too. Right from the start, our focus was on looking after apartments. The initial idea gradually grew to meet the changing needs of our customers. Meanwhile we’re humble to have won the trust of over 1,000 home owners in 5 countries. As soon as the keys are handed over to Airgreets, the rental and marketing are fully automated and from a single source. Our all-in-one solution includes, in addition to complete marketing on the most popular booking portals (with dynamic price adjustments), complete support for guests (in advance, during their stay and afterwards). And yes, we also take care of cleaning, laundry and handing over the keys! With Airgreets CITY you can participate in the sharing economy in cities in Germany, Austria and Switzerland by means of home sharing and Airgreets HOME helps you to market your holiday home in the holiday and holiday regions.","['Other', 'Travel and Tourism']",3.0,30.5,"Florian Archer, Julian Ritter, Sebastian Drescher",3,2019-03-08,,Seed,1241245.0,"STARTPLATZ, Ringier Digital Ventures",2.0,2.0,0.0,Was Acquired,Guestia,2020-06-18,0,1444,77,11-50,11,50
000010,Alasco,"['Computer', 'Financial Services', 'Software']",Alasco is a digital firm that offers financial management for company stakeholders.,"13,692",2018-01-01,,https://www.alasco.de,,https://www.facebook.com/alasco.software,https://www.linkedin.com/company/alasco-gmbh,"Alasco supports project controllers and developers through automated workflows and the availability of financial data placed in a central information source. This increases the productivity of the participants. This method also decreases the probability of errors, assures comprehensive transparency, and faster decision-making.","['Consumer Electronics', 'Financial Services', 'Hardware', 'Software']",3.0,175.5,"Anselm Bauer, Benjamin Guenther, Sebastian Schuon",5,2022-01-11,40000000.0,Series B,48456135.0,"Insight Partners, Lightrock, HV Capital, Picus Capital, Global Founders Capital",5.0,9.0,0.0,,,,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
