Founder ID,Company ID,Founder Name,Organization Name,first_name,last_name,linkedin_url,logo_url,facebook_url,twitter_url,city,region,country_code,featured_job_title,featured_job_organization_name,username,followers,connections,degree_1,degree_1_university,degree_2,degree_2_university,error
000001,000001,Johannes Stoffel,2trde,Johannes,Stoffel,https://www.linkedin.com/in/johannes-stoffel-27389667,https://images.crunchbase.com/image/upload/t_cb-default-original/xsbr97guhxdiu1ju9hen,,,Munich,Bayern,DEU,Co-Founder & CEO,Karosso,johannes-stoffel-27389667,4815.0,3914.0,"Executive Master, Digital Innovation and Entrepreneurial Leadership",ESCP Business School,"Bachelor of Science - BS, Gerneral Management",EBS Universität für Wirtschaft und Recht,
000002,000002,Florian Ziesche,36ZERO Vision,Florian,Ziesche,,None,None,None,None,None,None,None,None,,,,,,,,
000003,000002,Zeeshan Karamat,36ZERO Vision,Zeeshan,Karamat,https://www.linkedin.com/in/zkaramat/,https://images.crunchbase.com/image/upload/t_cb-default-original/rvgt2hraf6vaaqswlyrw,,,,,,Chief Technology Officer & Co-Founder,36ZERO Vision,zkaramat,6482.0,6479.0,"Masters Computer Science, Artificial Intelligence",Technische Universität München,"Masters Computer Science, Artificial Intelligence",Georgia Institute of Technology,
000004,000003,Caroline Steingruber,3Bears Foods,Caroline,Steingruber,,None,None,None,None,None,None,None,None,,,,,,,,
000005,000003,Tim Nichols,3Bears Foods,Tim,Nichols,,None,None,None,None,None,None,None,None,,,,,,,,
000006,000004,Alexandre Guérin,3dTrust,Alexandre,Guérin,https://www.linkedin.com/in/alexandre-gu%C3%A9rin-79734986/,https://images.crunchbase.com/image/upload/t_cb-default-original/qip8j4pomdp6myi3bo5a,,,Toulouse,Midi-Pyrenees,FRA,Co-Founder,Holori,alexandre-gu%C3%A9rin-79734986,9782.0,9238.0,"Master's degree, International Business and Finance","ESB Business School, Reutlingen University",,ESCE International Business School,
000007,000004,Andrei Mituca,3dTrust,Andrei,Mituca,https://www.linkedin.com/in/mituca,https://images.crunchbase.com/image/upload/t_cb-default-original/evuzo6xui2wm2k1lvqug,,,Munich,Bayern,DEU,Founder and CEO,DriotData,mituca,2089.0,1893.0,"Master's degree, Informatics",Technische Universität München,"Engineer, Computer Science",Universitatea „Politehnica” din Timișoara,
000008,000004,Antoine Jeol,3dTrust,Antoine,Jeol,https://www.linkedin.com/in/antoine-jeol,https://images.crunchbase.com/image/upload/t_cb-default-original/qcvcgmuov0k9mkx4jlsp,,,,,FRA,Co-Founder,Holori,antoine-jeol,5123.0,4882.0,,Ludwig-Maximilians-Universität München,,"ESB Business School, Reutlingen University",
000009,000005,Dr. Markus Häupl,abaut,Dr.,Markus Häupl,,None,None,None,None,None,None,None,None,,,,,,,,
000010,000005,Dr. Matthias Wimmer,abaut,Dr.,Matthias Wimmer,,None,None,None,None,None,None,None,None,,,,,,,,
000011,000005,Max-David Falkner,abaut,Max-David,Falkner,,None,None,None,None,None,None,None,None,,,,,,,,
000012,000005,Sebastian Kaluza,abaut,Sebastian,Kaluza,,None,None,None,None,None,None,None,None,,,,,,,,
000013,000006,Maximilian Fischer,Actyx,Maximilian,Fischer,,None,None,None,None,None,None,None,None,,,,,,,,
000014,000006,Oliver Stollmann,Actyx,Oliver,Stollmann,https://www.linkedin.com/in/oliverstollmann,https://images.crunchbase.com/image/upload/t_cb-default-original/sgvwlfyp78s8ebqefbet,,https://twitter.com/oliverstollmann,Munich,Bayern,DEU,CEO/Co-Founder,Actyx,oliverstollmann,1236.0,1130.0,"Master of Science, Mechanical Engineering",ETH Zürich,"Bachelor of Science, Mechanical Engineering",ETH Zürich,
000015,000006,Roland Kuhn,Actyx,Roland,Kuhn,https://www.linkedin.com/pub/roland-kuhn/57/28a/178,https://images.crunchbase.com/image/upload/t_cb-default-original/v1505235639/vysasqkfodpgbp6nqwwz.png,,https://twitter.com/rolandkuhn,Kassel,Hessen,DEU,CTO/Co-Founder,Actyx,,,,,,,,Failed after proxy rotation
000016,000007,Christian Schultz,Agrando,Christian,Schultz,https://www.linkedin.com/in/schultzchristian/,https://images.crunchbase.com/image/upload/t_cb-default-original/w91suqcsmug7ssgcopul,,,Neubrandenburg,Mecklenburg-Vorpommern,DEU,Founding Partner,BA4V,schultzchristian,1536.0,1457.0,"Staatsexamen, Zahnmedizin",Universität Greifswald,"Promotion, Zahnmedizin",Universität Greifswald,
000017,000007,Jonas Hueber,Agrando,Jonas,Hueber,https://www.linkedin.com/in/jonashueber,https://images.crunchbase.com/image/upload/t_cb-default-original/xlx0yic6xwb88mj5vn4x,,,Munich,Bayern,DEU,Co-Founder,Agrando,jonashueber,1174.0,1116.0,"Master of Science (M.Sc.), Information Systems",Technische Universität München,"Master of Science (M.Sc.), Information Systems",Universitat Pompeu Fabra - Barcelona,
000018,000007,Jonathan Bernwieser,Agrando,Jonathan,Bernwieser,https://www.linkedin.com/in/jonathan-bernwieser,https://images.crunchbase.com/image/upload/t_cb-default-original/g2vows7pxmhj2klhyjl5,,,Munich,Bayern,DEU,Co-Founder & CEO,Agrando,jonathan-bernwieser,2619.0,2505.0,"Master of Science (MS), Wirtschaftsinformatik",Technische Universität München,Information Systems,Universitat Pompeu Fabra - Barcelona,
