Funding ID,Organization Name,Funding Type,Money Raised,Announced Date,Lead Investors,Number of Investors,Investor Names,Company ID
000001,4stop,Series A,2500000.0,2019-05-15,Ventech,1.0,['Ventech'],000000
000002,aiconix GmbH,Convertible Note,,2019-06-17,,,[''],001193
000003,aiconix GmbH,Pre-Seed,300000.0,2019-08-28,,,[''],001193
000004,AutLay,Seed,,2019-05-22,Crew Ventures,1.0,['Crew Ventures'],001196
000005,Buynomics,Pre-Seed,,2019-09-01,DvH Ventures,2.0,"['DvH Ventures', 'Tomahawk.VC']",001205
000006,candidate select,Seed,1050000.0,2019-06-22,Rolf Schromgens,1.0,['Rolf Schromgens'],001206
000007,Cannamedical Pharma,Series A,15000000.0,2019-01-31,Orkila Capital,1.0,['Orkila Capital'],001207
000008,Enermeter,Seed,,2019-01-18,M-VC Europe Ltd.,1.0,['M-VC Europe Ltd.'],001215
000009,envelio,Series A,6000000.0,2019-12-12,eCAPITAL ENTREPRENEURIAL PARTNERS,3.0,"['Demeter', 'eCAPITAL ENTREPRENEURIAL PARTNERS', 'HTGF | High-Tech Gruenderfonds']",001217
000010,envelio,Grant,71429.0,2019-01-01,,1.0,['EASME'],001217
000011,Flowtify,Series A,,2019-03-07,TUV SUD,1.0,['TUV SUD'],001224
000012,Golf Post,Seed,200000.0,2019-09-17,,,[''],000000
000013,gridscale,Series A,7000000.0,2019-03-13,"EnBW New Ventures, Endeit Capital",5.0,"['BLSW Seed and Growth Fund', 'EnBW New Ventures', 'Endeit Capital', 'Enjoyventure Management', 'HTGF | High-Tech Gruenderfonds']",000000
000014,InfanDx,Venture - Series Unknown,5300000.0,2019-04-24,"Bamed MAM Group, LSI-Pre-Seed-Fonds GmbH",4.0,"['Arnika Beteiligungen GmbH', 'Bamed MAM Group', 'CVG Capital', 'LSI-Pre-Seed-Fonds GmbH']",000000
000015,medlink,Pre-Seed,120000.0,2019-10-02,EXIST,1.0,['EXIST'],001241
000016,metru,Seed,400000.0,2019-05-01,,,[''],001243
000017,Nannio GmbH,Seed,,2019-07-12,,1.0,['1stMOVER'],001248
000018,niostem,Pre-Seed,90000.0,2019-12-01,Entrepreneur First,1.0,['Entrepreneur First'],001249
000019,NOMOO,Seed,,2019-04-30,,3.0,"['AM1 Ventures', 'Quest Solutions', 'Siltho Research']",001250
000020,RISE Financial Technologies,Venture - Series Unknown,3500000.0,2019-09-05,Mendoza Ventures,2.0,"['coparion', 'Mendoza Ventures']",000000
000021,Silexica,Grant,2000000.0,2019-05-01,,1.0,['EASME'],000000
000022,snabBus,Seed,1000000.0,2019-05-15,STS Ventures,2.0,"['STS Ventures', 'TS Ventures']",001265
000023,SoSafe,Seed,,2019-03-18,,1.0,['Global Founders Capital'],001266
000024,Sugartrends,Seed,750000.0,2019-05-23,,,[''],000000
000025,TechMass,Seed,200000.0,2019-01-02,,1.0,['GELLIFY'],001268
000026,The Good Workshop,Pre-Seed,50000.0,2019-04-01,Thea Vanessa Knight,1.0,['Thea Vanessa Knight'],001269
000027,UBIRCH,Venture - Series Unknown,,2019-04-25,Bauwens Digital,2.0,"['Bauwens Digital', 'SchneiderGolling & Cie – Assekuranzmakler AG']",000000
000028,UNBIND,Pre-Seed,,2019-11-19,,,[''],001271
000029,1NCE,Venture - Series Unknown,,2022-01-26,,1.0,['I Squared Capital'],001191
000030,1NCE,Venture - Series Unknown,,2022-06-08,SoftBank Vision Fund,1.0,['SoftBank Vision Fund'],001191
000031,automaited,Seed,4000000.0,2022-04-28,,4.0,"['Headline', 'Northzone', 'TechVision Fund', 'Visionaries Club']",000000
000032,AYOXXA,Venture - Series Unknown,,2022-03-14,Prosnav Capital,1.0,['Prosnav Capital'],000000
000033,bezahl.de,Seed,5000000.0,2022-02-03,,4.0,"['Marco Schnabl', 'Michael Hock', 'Motive Ventures', 'Wessel Management']",001200
000034,BioEcho Life Sciences,Private Equity,,2022-03-01,Ampersand Capital Partners,1.0,['Ampersand Capital Partners'],001201
000035,bNear,Angel,700000.0,2022-09-29,,1.0,['Flossbach von Storch'],000000
000036,Buynomics,Series A,13000000.0,2022-11-15,Insight Partners,5.0,"['DvH Ventures', 'Insight Partners', 'La Famiglia', 'Seedcamp', 'Tomahawk.VC']",001205
000037,candidate select,Convertible Note,750000.0,2022-01-31,,,[''],001206
000038,catchHR,Seed,,2022-08-25,TechVision Fund,3.0,"['Christian Greb', 'NRW.BANK', 'TechVision Fund']",000000
000039,Cleanz Technologies,Pre-Seed,,2022-12-28,Neuhauss Capital UG,1.0,['Neuhauss Capital UG'],000000
000040,Colonia,Pre-Seed,,2022-12-02,Atlantic Labs,2.0,"['Atlantic Labs', 'Hoyer']",000000
000041,DeepSkill,Pre-Seed,,2022-07-07,HTGF | High-Tech Gruenderfonds,5.0,"['Anna Kaiser', 'Excubate Corporate Startups', 'HTGF | High-Tech Gruenderfonds', 'Ina Schlie', 'Kienbaum Consultants International']",000000
000042,Deutsche Lufthansa,Post-IPO Secondary,,2022-09-14,klaus michael kuehne,1.0,['klaus michael kuehne'],000000
000043,Deutsche Lufthansa,Post-IPO Equity,,2022-07-07,klaus michael kuehne,1.0,['klaus michael kuehne'],000000
000044,Deutsche Lufthansa,Post-IPO Equity,,2022-04-08,klaus michael kuehne,1.0,['klaus michael kuehne'],000000
000045,Dr. Vivien Karl,Pre-Seed,,2022-08-18,,7.0,"['Anne Lemcke', 'better ventures', 'Dörte Kaschdailis', 'Ignore Gravity', 'Pedro Gonçalves', 'Silvia Erika Sommer', 'Stefan Lemcke']",000000
000046,Drop Friends,Pre-Seed,,2022-07-07,,6.0,"['Daniel Matuschewsky', 'Daniel Senft', 'Henry Flack', 'Markus Richter', 'NRW.BANK', 'Randolf Schürmann']",001212
000047,EINHUNDERT Energy,Venture - Series Unknown,,2022-08-16,,1.0,['Triodos Bank'],001214
