Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Axino Solutions,https://www.crunchbase.com/organization/axino-solutions-a600,Active,,"Computer, Software","Aachen, Nordrhein-Westfalen, Germany",Axino Solutions is an innovative software and system for the planning and implementation of comprehensive IT solutions.,"2,266,795","European Union (EU), Europe, Middle East, and Africa (EMEA)",52068,$1M to $10M,2016-01-01,year,2021-04-06,day,,,For Profit,http://www.axino-group.com,https://twitter.com/axinosolutions,https://www.facebook.com/Axino-Solutions-298359764150282/,https://www.linkedin.com/company/axino-solutions-gmbh/,Axino Solutions is an innovative software and system for the planning and implementation of comprehensive IT solutions in the field of operational and business support systems for network operators and companies in the industry.,"Consumer Electronics, Hardware, Software",,101-250,,2,M&A,2022-08-18,,,,Debt Financing,,,,Seed,,,,,,,"Technology Fund, Momenta",2,2,,Was Acquired,Axino Solutions acquired by Axians IT Business Solutions GmbH,https://www.crunchbase.com/acquisition/s-t-s-t-deutschland-gmbh-acquires-axino-solutions-a600--f1e5423f,Axians IT Business Solutions GmbH,https://www.crunchbase.com/organization/s-t-s-t-deutschland-gmbh,2021-04-06,day,,,,Acquisition,,Private,,,,,,,,,,,
cellEQ,https://www.crunchbase.com/organization/celleq,Active,,Professional Services,"Aachen, Nordrhein-Westfalen, Germany","CellEQ develops, produces and distributes individual measuring equipment for the shrinkage analysis of multi-component resin systems.","200,169","European Union (EU), Europe, Middle East, and Africa (EMEA)",52066,,2018-01-01,year,,,,,For Profit,https://celleq.de,,,https://www.linkedin.com/company/celleq-gmbh,"CellEQ develops, produces and distributes individual measuring equipment for the shrinkage analysis of multi-component resin systems – dilatometers. The focus is the development of laboratory analysis equipment and procedures that test with the same realistic conditions as are used in industrial production processes. The intuitive and easy-to-use equipment and integrated mixing and dosing technology make it possible to characterize highly reactive and complex systems under isothermal process conditions for the first time.",Other,2,1-10,"Florian Kessler, Phillip Nicolas Wagner",1,Seed,2018-01-01,30000,USD,30000,Pre-Seed,30000,USD,30000,Pre-Seed,30000,USD,30000,30000,USD,30000,EXIST,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
Clinomic,https://www.crunchbase.com/organization/clinomic,Active,,"Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Medical","Aachen, Nordrhein-Westfalen, Germany",Medical AI company with a focus on critical care.,"27,155","European Union (EU), Europe, Middle East, and Africa (EMEA)",52066,$1M to $10M,2019-01-14,day,,,,,For Profit,https://clinomic.ai,https://twitter.com/clinomicai,https://www.facebook.com/ClinomicAI/,https://www.linkedin.com/company/13038229/,"We create innovative solutions for the critically ill patient by combining translational medical research, data science and computational intelligence. With a patient-centric view, we combine state-of-the-art research with modern technologies to enable an optimal treatment for every patient.","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",2,51-100,"Arne Peine, Lukas Martin",3,,2023-08-22,16000000,EUR,17354407,Venture - Series Unknown,16000000,EUR,17354407,Venture - Series Unknown,26000000,EUR,29353515,26000000,EUR,29353515,"German Federal Ministry of Education and Research, Sana Kliniken",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
crop.zone,https://www.crunchbase.com/organization/crop-zone,Active,,"Agriculture, AgTech, Farming","Aachen, Nordrhein-Westfalen, Germany",crop.zone provides farmers with chemistry-free tools for weed control and harvest preparation.,"30,069","European Union (EU), Europe, Middle East, and Africa (EMEA)",52076,$1B to $10B,2019-12-01,day,,,,,For Profit,https://crop.zone/,https://twitter.com/crop_zone,https://www.facebook.com/crop.zone/,https://www.linkedin.com/company/cropzone/,"Crop.Zone provides farmers with chemistry-free tools for weed control and harvest preparation. Its patented solution can replace a significant part of today’s synthetic herbicide use, providing a competitive alternative for weed management hence contributing to yield optimization and farm profitability, while contributing to sustainability goals. The company was founded in 2020 and is headquartered in Aachen, Germany.",Agriculture and Farming,7,11-50,"Dirk Vandenhirtz, Fabian Effey, Marcus Lehnen, Matthias Eberius, Michiel de Jongh, Nils Gerber, Ulrich Berners",2,Early Stage Venture,2022-06-07,11000000,USD,11000000,Series A,11000000,USD,11000000,Series A,12664145,USD,12664145,12664145,USD,12664145,"Demeter, MADAUS Capital Partners, Nufarm",,3,,,,,,,,,,,,,,Private,,,,,,,,,,,3
Dropslab,https://www.crunchbase.com/organization/dropslab-technologies,Active,,"Apps, Information Technology, Software","Aachen, Nordrhein-Westfalen, Germany",Dropslab provides a SaaS platform for AR-based assistance services.,"121,887","European Union (EU), Europe, Middle East, and Africa (EMEA)",52070,Less than $1M,2018-01-01,year,,,,,For Profit,https://dropslab.com,,https://www.facebook.com/DropslabTechnologies,https://www.linkedin.com/company/dropslab-technologies,"Dropslab develops assistance software that provides real-time guidance to frontline workers directly in their field of vision through smart devices such as smart glasses and smartphones. Their solution will provide workers with context-specific information on changing processes and situations in industrial environments. Real-time guidance enables employees to complete tasks faster, without breakdowns, and with fewer errors.","Apps, Information Technology, Software",,11-50,,1,Seed,2022-08-17,100000,EUR,101775,Seed,100000,EUR,101775,Seed,100000,EUR,101775,100000,EUR,101775,"gener8tor, Right Side Capital Management",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
Ducktrain,https://www.crunchbase.com/organization/ducktrain,Active,,"Automotive, Autonomous Vehicles, Delivery Service, Electric Vehicle, Food Delivery, Freight Service, Last Mile Transportation, Logistics, Transportation","Aachen, Nordrhein-Westfalen, Germany",Ducktrain provides vehicle platforms and automation technology that will change urban and industrial logistics.,"96,341","European Union (EU), Europe, Middle East, and Africa (EMEA)",52072,$1M to $10M,2018-01-01,year,,,,,For Profit,https://www.ducktrain.io/,https://twitter.com/ducktrain_io,https://www.facebook.com/ducktrain.io/,https://www.linkedin.com/company/ducktrain/about/,Multiple vehicles (we call them ducks) can form a train for efficient transportation on longer distances within cities and industry areas. Ducktrain provides vehicle platforms and automation technology that will change urban and industrial logistics.,"Food and Beverage, Transportation",3,11-50,"Fabian Kober, Kai D. Kreisköther, Markus Werle",3,Seed,2021-12-07,4000000,EUR,4509202,Seed,4000000,EUR,4509202,Seed,4000000,EUR,4509202,4000000,EUR,4509202,"EIT InnoEnergy, Earlybird Venture Capital, Plug and Play, NRW.BANK, kopa ventures",2,7,,,,,,,,,,,,,,Private,,,,,,,,,,,1
E-LLOYD,https://www.crunchbase.com/organization/e-lloyd,Active,,Marine Technology,"Aachen, Nordrhein-Westfalen, Germany",Technology and service provider for equipping (commercial) ships and ferries with electric powertrains.,"199,626","European Union (EU), Europe, Middle East, and Africa (EMEA)",52072,,2018-01-01,year,,,,,For Profit,http://e-lloyd.com/,,,https://www.linkedin.com/company/e-lloyd/,,Science and Engineering,1,1-10,Eugen Röhrich,1,Seed,2020-01-01,30000,EUR,33657,Pre-Seed,30000,EUR,33657,Pre-Seed,30000,EUR,33657,30000,EUR,33657,EXIST,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
e.GO Mobile,https://www.crunchbase.com/organization/e-go-mobile,Active,,"Automotive, Electric Vehicle, Sustainability, Transportation","Aachen, Nordrhein-Westfalen, Germany",e.GO Mobile AG develops and produces electronic vehicles.,"27,962","European Union (EU), Europe, Middle East, and Africa (EMEA)",52074,$10M to $50M,2015-01-01,year,2023-10-19,day,,,For Profit,http://e-go-mobile.com/en/,https://twitter.com/eGO_Mobile_AG,https://www.facebook.com/egomobileSE,https://www.linkedin.com/company-beta/17951326/,"e.GO. We are an independent German manufacturer of innovative electric vehicles and production solutions. Our philosophy is innovation with practicality and purpose. We have developed a unique battery electric vehicle platform (e.) as well as our Micro-Factories: a revolutionary production system which is a completely disruptive approach to producing electric vehicles. We are focused on providing holistic sustainability. It starts at with the choice of durable and reusable material in our products all the way to optimized energy and environmental footprint of our unique Micro-Factory. e.GO was established in 2015 by Günther Schuh in Aachen, Nordrhein-Westfalen.","Sustainability, Transportation",1,251-500,Günther Schuh,3,M&A,2023-07-07,75000000,USD,75000000,Debt Financing,57000000,USD,57000000,Series C,93473809,USD,93473809,168473809,USD,168473809,"Moore Strategic Ventures, Western Asset Management, Edward Norton, Alejandro Agag, nd Industrial Investments BV",2,5,,Was Acquired,e.GO Mobile acquired by nd Industrial Investments BV,https://www.crunchbase.com/acquisition/nd-industrial-investments-bv-acquires-e-go-mobile--ce34427e,nd Industrial Investments BV,https://www.crunchbase.com/organization/nd-industrial-investments-bv,2020-09-02,day,,,,Acquisition,,Public,2023-10-19,,,,,,,EGOX,https://www.crunchbase.com/ipo/e-go-mobile-ipo--8a8c07f2,NASDAQ,1
emteria,https://www.crunchbase.com/organization/emteria,Active,,"Android, Electronics, Embedded Systems, Information Technology, Software","Aachen, Nordrhein-Westfalen, Germany",Emteria is the solution for all Android™ OS customization and maintenance needs.,"89,338","European Union (EU), Europe, Middle East, and Africa (EMEA)",52066,$1M to $10M,2017-01-01,year,,,,,For Profit,https://emteria.com/,,,https://www.linkedin.com/company/emteria/about/,"Designed as a foundation for building modern customer-facing products, emteria provides product builders with tools for creating and updating their custom Android OS. It combines the advantages of Android with extended industrial settings and additional enterprise features. Emteria's built-in settings and features include Kiosk mode, remote device access (MDM), extended configuration management, and more. To keep custom Android ROMs updated and secure, a reliable cloud infrastructure gives users full control to manage their updates. Users can build, deliver, and install Over-the-Air firmware updates to all their Android products. Emteria GmbH, headquartered in Aachen, Germany, supports global players and highly sophisticated niche vendors. The company provides thousands of devices with a modern Android-based operating system to realize professional and industrial use cases.","Consumer Electronics, Hardware, Information Technology, Mobile, Platforms, Science and Engineering, Software",2,1-10,"Igor Kalkov-Streitz, Ilja Aizenberg",2,Seed,2021-11-19,,,,Non-equity Assistance,1500000,USD,1500000,Seed,1500000,USD,1500000,1500000,USD,1500000,"HTGF | High-Tech Gruenderfonds, Runa Capital, Intel Ignite",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
EnergyCortex,https://www.crunchbase.com/organization/energycortex,Active,,,"Aachen, Nordrhein-Westfalen, Germany",EnergyCortex provides an AI-powered software-as-a-service platform for energy data analytics.,"195,475","European Union (EU), Europe, Middle East, and Africa (EMEA)",52070,,2018-01-01,year,,,,,For Profit,https://www.energycortex.com/,https://twitter.com/energycortex?lang=de,https://www.facebook.com/pages/category/Computer-Company/EnergyCortex-GmbH-181325105847362/,https://www.linkedin.com/company/energycortex/?originalSubdomain=de,EnergyCortex offers an AI-powered software-as-a-service solution that bridges the gap between energy supply and demand on one side. Automation and digitization reduce administrative effort. They raise awareness of energy-related issues to reduce energy costs.,,2,11-50,"Bastian Baumgart, Christian Gerloff",1,Seed,2019-01-01,30000,EUR,34385,Pre-Seed,30000,EUR,34385,Pre-Seed,30000,EUR,34385,30000,EUR,34385,EXIST,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
