Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
2trde,https://www.crunchbase.com/organization/2trde,Active,,"Automotive, Software","Munich, Bayern, Germany",2trde develops a software solution designed for B2B car trade and mobility providers.,"57,123","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2017-01-01,year,,,,,For Profit,https://www.2trde.com,,,https://www.linkedin.com/company/2trde/https://www.linkedin.com/company/2trde/,2trde accelerates B2B used car trading!,"Software, Transportation",1,11-50,Johannes Stoffel,2,Seed,2022-03-09,7000000,EUR,7751500,Seed,7000000,EUR,7751500,Seed,7000000,EUR,7751500,7000000,EUR,7751500,"Plug and Play, Aster, Maniv Mobility, Adevinta Ventures",3,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
36ZERO Vision,https://www.crunchbase.com/organization/fotonow-ba2b,Active,,"Artificial Intelligence (AI), Computer Vision, Industrial Automation, Machine Learning, Manufacturing","Munich, Bayern, Germany",36ZEROVision is an AI-powered visual inspection system(SaaS) to identify and solve a wide range of manufacturing quality issues.,"51,326","European Union (EU), Europe, Middle East, and Africa (EMEA)",81671,$1M to $10M,2019-01-01,year,,,,,For Profit,https://36zerovision.com/,,,https://www.linkedin.com/company/36zero-vision/,"36ZEROVision is an AI-powered visual inspection system developed to identify and solve a wide range of manufacturing quality issues. It offers fully automated error tracking and identification for optimized manufacturing agility and quality, factory throughput, and capital spending.","Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",2,11-50,"Florian Ziesche, Zeeshan Karamat",2,Seed,2021-09-13,3000000,USD,3000000,Seed,3000000,USD,3000000,Seed,3000000,USD,3000000,3000000,USD,3000000,"Alchemist Accelerator, Join Capital",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
3Bears Foods,https://www.crunchbase.com/organization/3bears-foods,Active,,Food and Beverage,"Munich, Bayern, Germany",3Bears Foods enable a balanced and delicious breakfast for everyone.,"275,817","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2015-01-01,year,,,,,For Profit,https://3bears.de/,,https://www.facebook.com/3bearsporridge/,https://in.linkedin.com/company/3bears,3Bears Foods enable a balanced and delicious breakfast for everyone.,Food and Beverage,2,11-50,"Caroline Steingruber, Tim Nichols",1,Seed,2017-06-01,,,,Seed,,,,Seed,,,,,,,Freigeist Capital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
3dTrust,https://www.crunchbase.com/organization/3dtrust,Active,,"3D Printing, Manufacturing, Software","Munich, Bayern, Germany",3dTrust helps companies integrate 3D printing in their supply chain.,"134,694","European Union (EU), Europe, Middle East, and Africa (EMEA)",80797,Less than $1M,2015-01-01,year,,,,,For Profit,http://3dtrust.de,https://twitter.com/3dTrust,,https://www.linkedin.com/company/3dtrust,"3dTrust helps companies integrate 3D printing in their supply chain. With the development of 3D printing current supply chains will be disrupted; goods will no longer be shipped as physical objects anymore but will more and more be exchanged as digital files until being produced locally by subsidiaries, partners or customers equipped with a 3D printer. This transformation creates new opportunities regarding production and supply chain organization as well as intellectual property protection.","Manufacturing, Software",3,1-10,"Alexandre Guérin, Andrei Mituca, Antoine Jeol",1,Early Stage Venture,2016-09-21,1000000,EUR,1119069,Series A,1000000,EUR,1119069,Series A,1000000,EUR,1119069,1000000,EUR,1119069,"Ace Capital Partners, Weare Aerospace",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
4hundred,https://www.crunchbase.com/organization/4hundred,Active,,,"Munich, Bayern, Germany",German Renewable Energy Retailer,"2,062,161","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2017-01-01,year,2019-09-01,month,,,For Profit,https://www.4hundred.com,,,https://www.linkedin.com/company/4hundred,,,,,,1,M&A,2020-01-01,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,Veridian Ventures,,1,,Was Acquired,4hundred acquired by Octopus Energy,https://www.crunchbase.com/acquisition/octopus-energy-acquires-4hundred--69a010df,Octopus Energy,https://www.crunchbase.com/organization/octopus-energy,2019-09-01,month,,,,Acquisition,,Private,,,,,,,,,,,
abaut,https://www.crunchbase.com/organization/abaut,Active,,"Analytics, Artificial Intelligence (AI), Construction, Data Mining, Infrastructure, Internet of Things, Mining, SaaS, Software","Munich, Bayern, Germany",abaut builds a SaaS that enables businesses along the construction value chain to make better decisions and maximize their efficiency.,"219,525","European Union (EU), Europe, Middle East, and Africa (EMEA)",80992,Less than $1M,2017-07-21,day,,,,,For Profit,https://abaut.de,,,https://www.linkedin.com/company/abaut-gmbh,"abaut is a SaaS provider for the construction and mining industry. The company’s goal is the digital replication of construction and mining progress and processes by combining a multitude of data sources, which are processed with the help of AI. Their software enables site managers to make better decisions, by providing site managers a holistic view over his site. Therefore, the risk of inefficiencies, process bottlenecks and cost & schedule overruns is reduced. The company was founded in 2017 and is headquartered in Munich, Germany.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Natural Resources, Other, Real Estate, Science and Engineering, Software",4,11-50,"Dr. Markus Häupl, Dr. Matthias Wimmer, Max-David Falkner, Sebastian Kaluza",1,Seed,2020-03-20,,,,Seed,,,,Seed,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Actyx,https://www.crunchbase.com/organization/actyx,Active,,"Information Technology, Software","Munich, Bayern, Germany",Actyx is a Munich-based Industry company that maximizes production performance though digital industry solutions.,"271,944","European Union (EU), Europe, Middle East, and Africa (EMEA)",80992,Less than $1M,2016-01-01,year,,,,,For Profit,https://www.actyx.com,https://twitter.com/actyx,,https://www.linkedin.com/company/actyx,,"Information Technology, Software",3,11-50,"Maximilian Fischer, Oliver Stollmann, Roland Kuhn",3,,2021-03-02,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,"System.One, SquareOne Venture Capital, Kulpreet Singh, Mirko Novakovic, Karl Haeusgen",1,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Agrando,https://www.crunchbase.com/organization/agrando,Active,,"Agriculture, AgTech, B2B, Procurement","Munich, Bayern, Germany",Agrando is an agricultural B2B distribution platform.,"34,859","European Union (EU), Europe, Middle East, and Africa (EMEA)",80992,,2017-08-17,day,,,,,For Profit,https://www.agrando.com,https://twitter.com/agrando,https://www.facebook.com/agrando.de,https://www.linkedin.com/company/agrando,Agrando serves all participants involved in the agri-trade as a tool for communication and information procurement as well as processing and administration of transactions.,"Agriculture and Farming, Other, Transportation",5,101-250,"Christian Schultz, Jonas Hueber, Jonathan Bernwieser, Moritz von Oertzen, Roger Schwarz",3,Early Stage Venture,2021-07-05,12000000,EUR,14238591,Series A,12000000,EUR,14238591,Series A,12000000,EUR,14238591,12000000,EUR,14238591,"Sony Innovation Fund, Yabeo, Baltic Ventures, June Fund, CIMEDO",2,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
air up,https://www.crunchbase.com/organization/air-up,Active,,"Consumer, Food and Beverage, Manufacturing, Retail","Munich, Bayern, Germany",air up is a provider of drinking bottle system that provides scent-flavored water.,"6,147","European Union (EU), Europe, Middle East, and Africa (EMEA)",80335,$100M to $500M,2018-01-01,year,,,,,For Profit,https://shop.air-up.com,https://x.com/airup_official,https://www.facebook.com/airup.official,https://www.linkedin.com/company/air-up,air up is a provider of a drinking bottle system that provides scent-flavored water. The innovation uses retronasal olfaction—where the brain perceives scent through the mouth as taste—to allow the user to enjoy flavored water without added sugars or artificial ingredients.,"Commerce and Shopping, Food and Beverage, Manufacturing, Other",5,251-500,"Fabian Schlang, Jannis Koppitz, Lena Jüngst, Simon Nüesch, Tim Jäger",5,,2021-09-28,40000000,EUR,46744590,Venture - Series Unknown,40000000,EUR,46744590,Venture - Series Unknown,58000000,EUR,67922929,58000000,EUR,67922929,"PepsiCo, Five Seasons Ventures, Ippen Media, Oyster Bay Venture Capital, Freigeist Capital",1,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Airgreets,https://www.crunchbase.com/organization/airgreets,Active,,"Hospitality, Professional Services, Sharing Economy","Munich, Bayern, Germany",Short-term rental made easy! Airgreets HOME: vacation rentals in holiday regions & Airgreets CITY: homesharing in cities,"88,304","European Union (EU), Europe, Middle East, and Africa (EMEA)",81379,$1M to $10M,2016-01-01,year,2020-06-18,day,,,For Profit,http://www.airgreets.com,,https://www.facebook.com/airgreets,https://www.linkedin.com/company/airgreets,"Why can't renting out my apartment, house, chalet or hut be completely uncomplicated? That's right, we asked ourselves that too. Right from the start, our focus was on looking after apartments. The initial idea gradually grew to meet the changing needs of our customers. Meanwhile we’re humble to have won the trust of over 1,000 home owners in 5 countries. As soon as the keys are handed over to Airgreets, the rental and marketing are fully automated and from a single source. Our all-in-one solution includes, in addition to complete marketing on the most popular booking portals (with dynamic price adjustments), complete support for guests (in advance, during their stay and afterwards). And yes, we also take care of cleaning, laundry and handing over the keys! With Airgreets CITY you can participate in the sharing economy in cities in Germany, Austria and Switzerland by means of home sharing and Airgreets HOME helps you to market your holiday home in the holiday and holiday regions.","Other, Travel and Tourism",3,11-50,"Florian Archer, Julian Ritter, Sebastian Drescher",3,M&A,2019-03-08,,,,Seed,,,,Seed,1000000,EUR,1241245,1000000,EUR,1241245,"STARTPLATZ, Ringier Digital Ventures",2,2,,Was Acquired,Airgreets acquired by Guestia,https://www.crunchbase.com/acquisition/guestia-0562-acquires-airgreets--0dfd2223,Guestia,https://www.crunchbase.com/organization/guestia-0562,2020-06-18,day,,,,Acquisition,,Private,,,,,,,,,,,
Alasco,https://www.crunchbase.com/organization/alasco,Active,,"Computer, Financial Services, Software","Munich, Bayern, Germany",Alasco is a digital firm that offers financial management for company stakeholders.,"13,692","European Union (EU), Europe, Middle East, and Africa (EMEA)",80802,$10M to $50M,2018-01-01,year,,,,,For Profit,https://www.alasco.de,,https://www.facebook.com/alasco.software,https://www.linkedin.com/company/alasco-gmbh,"Alasco supports project controllers and developers through automated workflows and the availability of financial data placed in a central information source. This increases the productivity of the participants. This method also decreases the probability of errors, assures comprehensive transparency, and faster decision-making.","Consumer Electronics, Financial Services, Hardware, Software",3,101-250,"Anselm Bauer, Benjamin Guenther, Sebastian Schuon",5,Early Stage Venture,2022-01-11,40000000,USD,40000000,Series B,40000000,USD,40000000,Series B,48456135,USD,48456135,48456135,USD,48456135,"Insight Partners, Lightrock, HV Capital, Picus Capital, Global Founders Capital",5,9,,,,,,,,,,,,,,Private,,,,,,,,,,,
