Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
5Analytics,https://www.crunchbase.com/organization/5-analytics,Active,,"Analytics, Artificial Intelligence (AI), Business Intelligence, Consulting, Enterprise Software, Machine Learning, Predictive Analytics, Software","Stuttgart, Baden-Wurttemberg, Germany",5Analytics is an AI software company that helps companies integrate Artificial Intelligence into business processes.,"143,010","European Union (EU), Europe, Middle East, and Africa (EMEA)",70197,$1M to $10M,2016-03-24,day,,,,,For Profit,http://5analytics.com,https://www.twitter.com/5analytics,,https://www.linkedin.com/company/5analytics,"5Analytics is an AI software company that helps companies integrate Artificial Intelligence into business processes. Making sure that AI Code (R or Python) can be used with enterprise requirements (scalability, realtime, interfaces, robustness etc.) so that Data Scientists can be more efficient.  They are more than a technology provider. Their consulting team accompanies the complete implementation process and supports their customers to get the most out of their data. 5Analytics, headquartered in Stuttgart and Düsseldorf, works with numerous renowned customers (e.g.Telefónica, Merck und VW) and was recently awarded a Gründerpreis Baden-Württemberg and is nominated for the Gründerpreis Deutschland","Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",3,11-50,"Alexandra Bellanova, Sebastian Klenk, Stefan Soehnle",2,Seed,2017-10-11,800000,EUR,949159,Seed,800000,EUR,949159,Seed,800000,EUR,949159,880000,EUR,1038490,"Wayra, HTGF | High-Tech Gruenderfonds, MBG Baden Wuerttemberg",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,3
AERVIDEO,https://www.crunchbase.com/organization/aer-3,Active,,"Marketing, Photography, Social Media","Stuttgart, Baden-Wurttemberg, Germany",AER is a creative camera equipment designer and developer.,"175,939","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$10M to $50M,2016-02-25,day,,,,,For Profit,http://www.aervideo.com,https://www.twitter.com/aervideo,https://www.facebook.com/aervideo,https://www.linkedin.com/company/aervideo,AER is a creative camera equipment designer and developer. The company created a device with sleek aerodynamic wings to ensure a long and stable flight while the foam bumper protects action camera or GoPro. The device can be used to take aerial photo and videos.,"Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing",4,1-10,"Arne Kronemeyer, Levin Pablo Trautwein, Marc de Boer, Nick Schijvens",2,Seed,2019-07-30,150000,EUR,167373,Seed,150000,EUR,167373,Seed,150000,EUR,167373,273000,EUR,305381,Rock B(r)and,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
ASCon Systems,https://www.crunchbase.com/organization/ascon-systems,Active,,"Consulting, Information Technology, Software","Stuttgart, Baden-Wurttemberg, Germany",Ascon Systems is a software company that focuses on complex process and technology consulting in the field of digital change projects.,"220,123","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2018-01-01,day,,,,,For Profit,https://ascon-systems.de/en/,,,https://www.linkedin.com/company/ascon-systems-gmbh/?originalSubdomain=de,,"Information Technology, Professional Services, Software",3,101-250,"Alexander von Klein, Kilian Grefen, Mathias Stach",1,,2023-11-15,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,BMW i Ventures,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
asellerate,https://www.crunchbase.com/organization/retromotion,Active,,"Automotive, E-Commerce, E-Commerce Platforms","Stuttgart, Baden-Wurttemberg, Germany",asellerate is building the industries infrastructure for the digital commerce of spare parts,"246,394","European Union (EU), Europe, Middle East, and Africa (EMEA)",70376,Less than $1M,2018-03-01,month,,,,,For Profit,https://asellerate.com,https://twitter.com/retromotion_com,https://www.facebook.com/Retromotioncom/,https://www.linkedin.com/company/asellerate-gmbh,"asellerate believes in a virtualised branch approach for the spare parts manufactures that consolidates into one infrastructure for digital commerce.  The company provides a Infrastructure-as-a-serivce (IaaS) platform tailored for both B2B and B2C markets. It's built on foundation of fulfillment capabilities and enhanced by a technical layer that supports a suite of specialised services. This integration facilitates seamless transactions and streamlined operations, catering to the evolving needs of digital commerce.","Commerce and Shopping, Internet Services, Transportation",1,11-50,Artur Oswald,4,Early Stage Venture,2024-02-26,,,,Series A,,,,Series A,,,,,,,"SKF Group, Bosch, MAHLE, Continental, Liqui Moly",1,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
asvin.io,https://www.crunchbase.com/organization/asvin-io,Active,,"Asset Management, Cyber Security, Risk Management, Supply Chain Management","Stuttgart, Baden-Wurttemberg, Germany",Security and Trust by Context,"59,241","European Union (EU), Europe, Middle East, and Africa (EMEA)",79565,$1M to $10M,2018-10-01,day,,,,,For Profit,https://www.asvin.io,https://twitter.com/asvin_iot,https://www.facebook.com/asvinio/,https://www.linkedin.com/company/asvin-gmbh/,"Since 2018, asvin’s cybersecurity company's mission has been safeguarding organizations and their valuable data, inspired by the healing Asvin twins from Hindu mythology. With a proactive approach, we provide predictive solutions to ensure our clients' systems and devices' health and resilience, establishing trust, security, and resilience throughout the software lifecycle. We provide predictive cybersecurity with unique mesh architectures, knowledge-graph, and risk-by-context methodologies. Our state-of-the-art Risk-By-Context index enables informed decision-making by identifying complex threat patterns for advanced risk analysis. You get improved prioritization, stay ahead of threats, allocate resources efficiently, respond timely, and maximize your security investments. Our research is leveraging AI for enhanced threat intelligence and risk analytics, investigating vulnerabilities related to AI training data manipulation and emerging cyber risks. Collaborating with esteemed partners like MIT, Fraunhofer, and KIT, we contribute to national and international projects. asvin BeeHive, our Cybersecurity Management System (CSMS), ensures regulatory compliance and resilience in software ecosystems. With APIs for Software Update Management (SUMS), comprehensive threat intelligence, and risk analysis (SBoM analytics), BeeHive gives you a robust security framework. Our predictive cybersecurity solutions cater to critical sectors in industrial and public domains. Our Risk-By-Context solution excels at identifying, assessing, and mitigating risks, customizable to each customer's specific requirements. With an end-to-end trust layer along data supply chains, BeeHive boosts resilience against cyber-attacks, ensuring compliance with legal and regulatory obligations. Our approved technologies benefit diverse industries, such as automotive, engineering, energy, telecommunications, and public infrastructures. Our comprehensive cybersecurity protection is reliable across all sectors, from connected devices to OT environments and cyber-regulatory needs. Choose asvin to empower your cyber resilience and safeguard your assets throughout the lifecycle like never before.","Financial Services, Information Technology, Privacy and Security, Professional Services, Transportation",2,11-50,"Mirko Ross, Sven Rahlfs",4,Seed,2022-10-01,1900000,EUR,1862645,Grant,2050000,EUR,2341204,Seed,2050000,EUR,2341204,3950000,EUR,4203849,"CV VC, MassChallenge, coinIX, Blockrocket",,4,,,,,,,,,,,,,,Private,,,,,,,,,,,2
Aucobo,https://www.crunchbase.com/organization/aucobo,Active,,"Cloud Computing, Information Technology, Software","Stuttgart, Baden-Wurttemberg, Germany",Aucobo connects shop floor workers with a smart collaboration software to increase process efficiency and deliver new data insights.,"168,953","European Union (EU), Europe, Middle East, and Africa (EMEA)",70567,$10M to $50M,2016-01-01,year,,,,,For Profit,https://aucobo.de,https://twitter.com/aucoboGmbH,https://www.facebook.com/aucobo/,https://www.linkedin.com/company/aucobo,Aucobo connects shop floor workers with smart collaboration software to increase process efficiency and deliver new data insights.,"Information Technology, Internet Services, Software",2,11-50,"Benjamin Schaich, Michael Reutter",2,Early Stage Venture,2019-07-10,,,,Series A,,,,Series A,25000,EUR,27591,25000,EUR,27591,"Speedinvest, 10X Investments, InnoWerft",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
AX Semantics,https://www.crunchbase.com/organization/ax-semantics,Active,,"Artificial Intelligence (AI), Content, Information Technology, Machine Learning, Natural Language Processing, Publishing, SaaS, Software","Stuttgart, Baden-Wurttemberg, Germany",data-driven Content Operations,"225,381","European Union (EU), Europe, Middle East, and Africa (EMEA)",70178,$1M to $10M,2016-01-01,year,,,,,For Profit,https://en.ax-semantics.com,https://twitter.com/axsemantics,https://www.facebook.com/AXsemantics,https://www.linkedin.com/company/ax-semantics,"axite is the data-driven Content Operations platform from AX Semantics, developed specifically for  copywriting teams in e-commerce and retail. It offers content managers measurability of the success of their product content strategy and combines tools for quality assurance, automation, generative AI and API workflows  axite helps retailers to optimize their rankings, conversions, return rates and customer satisfaction in all markets and languages.","Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Information Technology, Media and Entertainment, Science and Engineering, Software",2,11-50,"Robert Weißgraeber, Saim Alkan",7,,2020-06-01,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,"Plug and Play, VentureOut, Airbridge Equity Partners, Müller Medien, pd ventures",2,7,,,,,,,,,,,,,,Private,,,,,,,,,,,2
AZOWO,https://www.crunchbase.com/organization/azowo-gmbh,Active,,"Automotive, B2B, Car Sharing, Enterprise Software, Internet of Things, Software, Transportation","Stuttgart, Baden-Wurttemberg, Germany","Enterprise Software powering mobility transformation across all shared, connected, electric and autonomous processes","51,377","European Union (EU), Europe, Middle East, and Africa (EMEA)",71229,$1M to $10M,2016-01-01,year,,,,,For Profit,https://www.azowo.com/,,,https://de.linkedin.com/company/azowo-gmbh,"A comprehensive 2in1, real-time data and software platform that enables mobility management and services across the 4 ACES. • With Azowo’s mobility solution you can manage, monetise, share and optimize vehicles of any type for business and public mobility applications • You can automate, accelerated and improve the process of EV transition • You can significantly reduce cost based on proprietary data insights • You can build and run contactless access mobility services • You can master mobility transformation –solving the biggest challenges of our and the next mobile generation. • You can build commercial sustainability, leverage innovation and stimulate growth within the 4 ACE’s. Autonomous, Connected, Electric, Shared • You can facilitate world class mobility services –deleting Inefficient processes, lack of transparency and missing optimization","Internet Services, Other, Software, Transportation",4,101-250,"Albert Pescheck, Andreas Kopf, Patric Schneider, Peter Jegutzki",3,Early Stage Venture,2022-11-02,10000000,EUR,9813899,Series A,10000000,EUR,9813899,Series A,14800000,EUR,15476339,14800000,EUR,15476339,"MBG Baden Wuerttemberg, Project A Ventures, Start-up BW Innovation Fonds, AEW Energie",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
bex technologies,https://www.crunchbase.com/organization/bex-technologies-gmbh,Active,,"Building Material, Construction, Last Mile Transportation, Logistics","Stuttgart, Baden-Wurttemberg, Germany",bex technologies is a last mile logistics platform for the construction industry.,"51,410","European Union (EU), Europe, Middle East, and Africa (EMEA)",70178,$1M to $10M,2019-01-01,year,,,,,For Profit,https://bexapp.de/,,https://www.facebook.com/bexapp.de,https://www.linkedin.com/company/bextechnologies/,"bex is building a logistics platform that focuses on last-mile delivery for the construction sector. With bex, construction companies save time - their most valuable resource. Distributors and suppliers use bex to complement their existing logistics solutions and manage their deliveries. In the booming construction sector, bex has a huge end-to-end upside potential along the logistics supply chain.","Real Estate, Transportation",2,11-50,"Johannes Keller, Lennart A. Paul",3,Seed,2022-02-28,5600000,EUR,6280040,Seed,5600000,EUR,6280040,Seed,7500000,EUR,8485662,7500000,EUR,8485662,Scania Growth Capital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
BIMwelt Systems,https://www.crunchbase.com/organization/bimwelt-systems-gmbh,Active,,"Construction, Software","Stuttgart, Baden-Wurttemberg, Germany",BIMwelt Systems is a Software Company.,"458,171","European Union (EU), Europe, Middle East, and Africa (EMEA)",70173,Less than $1M,2015-01-01,year,,,,,For Profit,https://bimsystems.de/,,,https://www.linkedin.com/company/bimsystems-gmbh/,The software company BIMsystems   specializes in the development of innovative software solutions in the use of the model-based planning method Building Information Modeling (BIM).  The database-based component management system (BMS) developed by BIMsystems is unique in the world.,"Real Estate, Software",1,11-50,Gregor Müller,1,Early Stage Venture,2018-02-27,,,,Series A,,,,Series A,,,,,,,"BitStone Capital, Zech Group",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
