Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Seed Round - 21strategies,https://www.crunchbase.com/funding_round/21strategies-seed--dba5323a,21strategies,https://www.crunchbase.com/organization/21strategies,Seed,"Munich, Bayern, Germany, Europe",1875000,EUR,1992032,2022-12-13,Seed,,,,Yes,21strategies leverages deep technology and Enterprise AI to transform how organizations make decisions under uncertainty.,"Artificial Intelligence (AI), Finance, Financial Exchanges, Financial Services, FinTech, Government, Homeland Security, Machine Learning, National Security, SaaS",,https://www.21strategies.com,$1M to $10M,3375000,EUR,3621857,Seed,3,,,,,"17,789"
Seed Round - 21strategies,https://www.crunchbase.com/funding_round/21strategies-seed--421fd9f1,21strategies,https://www.crunchbase.com/organization/21strategies,Seed,"Munich, Bayern, Germany, Europe",1500000,EUR,1629825,2020-04-20,Seed,4500000,EUR,4889476,Yes,21strategies leverages deep technology and Enterprise AI to transform how organizations make decisions under uncertainty.,"Artificial Intelligence (AI), Finance, Financial Exchanges, Financial Services, FinTech, Government, Homeland Security, Machine Learning, National Security, SaaS",,https://www.21strategies.com,$1M to $10M,3375000,EUR,3621857,Seed,3,Neosfer,1,,Neosfer,"253,611"
Seed Round - 2trde,https://www.crunchbase.com/funding_round/2trde-seed--48fad0cf,2trde,https://www.crunchbase.com/organization/2trde,Seed,"Munich, Bayern, Germany, Europe",,,,2020-05-06,Seed,,,,Yes,2trde develops a software solution designed for B2B car trade and mobility providers.,"Automotive, Software",,https://www.2trde.com,$1M to $10M,7000000,EUR,7751500,Seed,2,Maniv Mobility,2,1,"Maniv Mobility, Plug and Play","116,495"
Seed Round - 2trde,https://www.crunchbase.com/funding_round/2trde-seed--3b68f886,2trde,https://www.crunchbase.com/organization/2trde,Seed,"Munich, Bayern, Germany, Europe",7000000,EUR,7751500,2022-03-09,Seed,,,,Yes,2trde develops a software solution designed for B2B car trade and mobility providers.,"Automotive, Software",,https://www.2trde.com,$1M to $10M,7000000,EUR,7751500,Seed,2,"Adevinta Ventures, Aster",3,3,"Adevinta Ventures, Aster, Maniv Mobility","289,222"
Seed Round - 36ZERO Vision,https://www.crunchbase.com/funding_round/fotonow-ba2b-seed--b2cbcc9d,36ZERO Vision,https://www.crunchbase.com/organization/fotonow-ba2b,Seed,"Munich, Bayern, Germany, Europe",,,,2020-04-02,Seed,,,,Yes,36ZEROVision is an AI-powered visual inspection system(SaaS) to identify and solve a wide range of manufacturing quality issues.,"Artificial Intelligence (AI), Computer Vision, Industrial Automation, Machine Learning, Manufacturing",,https://36zerovision.com/,$1M to $10M,3000000,USD,3000000,Seed,2,,1,,Alchemist Accelerator,"126,725"
Seed Round - 36ZERO Vision,https://www.crunchbase.com/funding_round/fotonow-ba2b-seed--7523ec35,36ZERO Vision,https://www.crunchbase.com/organization/fotonow-ba2b,Seed,"Munich, Bayern, Germany, Europe",3000000,USD,3000000,2021-09-13,Seed,,,,Yes,36ZEROVision is an AI-powered visual inspection system(SaaS) to identify and solve a wide range of manufacturing quality issues.,"Artificial Intelligence (AI), Computer Vision, Industrial Automation, Machine Learning, Manufacturing",,https://36zerovision.com/,$1M to $10M,3000000,USD,3000000,Seed,2,Join Capital,1,,Join Capital,"338,641"
Seed Round - 3Bears Foods,https://www.crunchbase.com/funding_round/3bears-foods-seed--6cbb7866,3Bears Foods,https://www.crunchbase.com/organization/3bears-foods,Seed,"Munich, Bayern, Germany, Europe",,,,2017-06-01,Seed,,,,Yes,3Bears Foods enable a balanced and delicious breakfast for everyone.,Food and Beverage,,https://3bears.de/,,,,,Seed,1,Freigeist Capital,1,,Freigeist Capital,"398,803"
Grant - 4.screen,https://www.crunchbase.com/funding_round/4-screen-grant--e1e03935,4.screen,https://www.crunchbase.com/organization/4-screen,Grant,"Munich, Bayern, Germany, Europe",100000,USD,100000,2023-05-22,,,,,No,"4.screen is a digital platform designed to connect, interact, and engage with drivers.","Advertising Platforms, Automotive, Digital Marketing, Software",,https://www.4screen.com,$1B to $10B,23111429,USD,23111429,Early Stage Venture,2,Zurich Insurance Group,1,2,Zurich Insurance Group,"93,235"
Series A - 4.screen,https://www.crunchbase.com/funding_round/4-screen-series-a--cffe2214,4.screen,https://www.crunchbase.com/organization/4-screen,Series A,"Munich, Bayern, Germany, Europe",21000000,EUR,23011429,2023-04-04,Early Stage Venture,,,,Yes,"4.screen is a digital platform designed to connect, interact, and engage with drivers.","Advertising Platforms, Automotive, Digital Marketing, Software",,https://www.4screen.com,$1B to $10B,23111429,USD,23111429,Early Stage Venture,2,"Continental, S4S Ventures",7,3,"BayBG Venture Capital, Bram Schot, Continental, FRIBA Investment, Matthias Müller, S4S Ventures, Summiteer","451,108"
Seed Round - 42 Watt,https://www.crunchbase.com/funding_round/42-watt-seed--291b5e06,42 Watt,https://www.crunchbase.com/organization/42-watt,Seed,"Munich, Bayern, Germany, Europe",,,,2023-09-25,Seed,,,,Yes,42 Watt is an energy conservation consultancy that assist with energetic property renovation.,"Energy Efficiency, Energy Management, Environmental Consulting",,https://www.42watt.de/,,,,,Seed,4,Contrarian Ventures,5,1,"BonVenture, Christoph Behn, Contrarian Ventures, Felix Jahn, PT1","270,529"
