Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Seed Round - 150 Minuten,https://www.crunchbase.com/funding_round/150-minuten-gmbh-seed--3f101729,150 Minuten,https://www.crunchbase.com/organization/150-minuten-gmbh,Seed,"Berlin, Berlin, Germany, Europe",,,,2023-10-11,Seed,,,,Yes,fitnessübungen online,"Fitness, Training, Wellness",,https://150minuten.de/,,,,,Seed,1,Atlantic Labs,3,1,"Angel Invest, Atlantic Labs, Monika Link-Haselböck","57,129"
Seed Round - A&T Capital,https://www.crunchbase.com/funding_round/a-t-capital-2b0a-seed--f18e1267,A&T Capital,https://www.crunchbase.com/organization/a-t-capital-2b0a,Seed,"Berlin, Berlin, Germany, Europe",,,,2023-01-01,Seed,,,,Yes,A&T Capital is an early to growth stage venture fund for emerging disruptive technologies.,,,https://a-tcapital.com/,,,,,Seed,1,,1,,NxGen.xyz,"223,218"
Seed Round - AAZZUR,https://www.crunchbase.com/funding_round/aazzur-seed--39dcf784,AAZZUR,https://www.crunchbase.com/organization/aazzur,Seed,"Berlin, Berlin, Germany, Europe",,,,2023-10-17,Seed,,,,Yes,"Embedding financial products into user journeys for FinTechs, banks and corporates – at the point of need, without building a tech stack.","Banking, FinTech, InsurTech, Mobile Apps, PaaS",,http://www.aazzur.com,$1M to $10M,2225000,EUR,2678860,Seed,5,Alumni Ventures,2,1,"Alumni Ventures, Techstars","66,398"
Seed Round - AAZZUR,https://www.crunchbase.com/funding_round/aazzur-seed--7d716756,AAZZUR,https://www.crunchbase.com/organization/aazzur,Seed,"Berlin, Berlin, Germany, Europe",,,,2023-05-03,Seed,,,,Yes,"Embedding financial products into user journeys for FinTechs, banks and corporates – at the point of need, without building a tech stack.","Banking, FinTech, InsurTech, Mobile Apps, PaaS",,http://www.aazzur.com,$1M to $10M,2225000,EUR,2678860,Seed,5,Tyr Ventures,1,1,Tyr Ventures,"499,699"
Pre Seed Round - Addera Health,https://www.crunchbase.com/funding_round/addera-health-pre-seed--d899465e,Addera Health,https://www.crunchbase.com/organization/addera-health,Pre-Seed,"Berlin, Berlin, Germany, Europe",1000000,EUR,1096949,2023-07-09,Seed,,,,Yes,"We build AI coaches that hyper-personalize mental health, starting with adult ADHD","Mental Health, Personal Health",,https://addera.co,$1M to $10M,1000000,EUR,1096949,Seed,1,Merantix Capital,1,,Merantix Capital,"141,387"
Pre Seed Round - Advoria,https://www.crunchbase.com/funding_round/advoria-pre-seed--68564374,Advoria,https://www.crunchbase.com/organization/advoria,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2023-10-19,Seed,,,,Yes,Online appointment booking for the successful law firm.,"Artificial Intelligence (AI), Legal, Legal Tech, SaaS, Software",,https://advoria.de,,,,,Seed,1,,,,,"85,831"
Pre Seed Round - Affilimate,https://www.crunchbase.com/funding_round/affilimate-pre-seed--7d105e28,Affilimate,https://www.crunchbase.com/organization/affilimate,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2023-05-31,Seed,,,,Yes,"Affilimate helps digital publishers aggregate, analyze, and grow their affiliate revenue with data.","Advertising, Marketing, Software",,https://affilimate.com/,,,,,Seed,1,,,,,"137,920"
Pre Seed Round - Agenta,https://www.crunchbase.com/funding_round/agenta-a0bf-pre-seed--55bae8e0,Agenta,https://www.crunchbase.com/organization/agenta-a0bf,Pre-Seed,"Berlin, Berlin, Germany, Europe",100000,EUR,109555,2023-06-22,Seed,,,,Yes,Agenta is the open-source LLMOps platform that allows developers build production ready LLM-powered applications.,"Apps, Artificial Intelligence (AI), Information Technology, Machine Learning, Open Source, Software",,https://agenta.ai,,1100000,EUR,1195205,Seed,2,Antler,1,2,Antler,"480,026"
Convertible Note - AIManager360,https://www.crunchbase.com/funding_round/aimanager360-convertible-note--5fca2cee,AIManager360,https://www.crunchbase.com/organization/aimanager360,Convertible Note,"Berlin, Berlin, Germany, Europe",25000,EUR,26840,2023-11-03,,,,,No,SaaS AI Bussines Intelligence Platform,"Artificial Intelligence (AI), Business Intelligence, Generative AI, Information Technology, Software",,https://www.aimanager360.com,,125000,EUR,135276,,2,,,,,"207,419"
Pre Seed Round - Aimars,https://www.crunchbase.com/funding_round/aimars-pre-seed--ed609124,Aimars,https://www.crunchbase.com/organization/aimars,Pre-Seed,"Berlin, Berlin, Germany, Europe",100000,EUR,108895,2023-08-18,Seed,,,,Yes,Aimars is an AI-driven sales optimization platform that helps businesses understand their customers better by analyzing data.,Artificial Intelligence (AI),,https://aimars.io/,,100000,EUR,108895,Seed,1,,1,,Antler,"83,302"
Seed Round - Akhetonics,https://www.crunchbase.com/funding_round/akhetonics-seed--49815584,Akhetonics,https://www.crunchbase.com/organization/akhetonics,Seed,"Berlin, Berlin, Germany, Europe",2300000,USD,2300000,2023-06-13,Seed,,,,Yes,Akhetonics is creating the world's first all-optical XPU - a general-purpose photonic RISC processor for high-performance computing,"Network Hardware, Semiconductor, Software",,https://www.akhetonics.com,$1M to $10M,8623184,USD,8623184,Seed,4,Interface Capital,3,,"Interface Capital, Rheingau Founders, Runa Capital","342,393"
Seed Round - akirolabs,https://www.crunchbase.com/funding_round/akirolabs-seed--edc03251,akirolabs,https://www.crunchbase.com/organization/akirolabs,Seed,"Berlin, Berlin, Germany, Europe",,,,2023-05-31,Seed,,,,Yes,Akirolabs develops and provides an AI powered SaaS platform for collaborative strategic procurement.,"Artificial Intelligence (AI), Information Technology, Procurement, SaaS",,https://akirolabs.com/,$1M to $10M,5000000,USD,5000000,Seed,3,,2,,"HTGF | High-Tech Gruenderfonds, Serpentine Ventures","67,791"
Seed Round - Alpas,https://www.crunchbase.com/funding_round/alpas-seed--b60c13a6,Alpas,https://www.crunchbase.com/organization/alpas,Seed,"Berlin, Berlin, Germany, Europe",,,,2023-08-29,Seed,,,,Yes,Alpas develops software for procurement departments to identify suppliers 10x faster.,"B2B, Big Data, Enterprise Software, Information Technology, Procurement, Software",,https://alpas.ai/,$1M to $10M,2700000,USD,2700000,Seed,2,,1,,Brose Ventures,"200,348"
Series A - Amperecloud,https://www.crunchbase.com/funding_round/ampere-cloud-series-a--dab0afa4,Amperecloud,https://www.crunchbase.com/organization/ampere-cloud,Series A,"Berlin, Berlin, Germany, Europe",5000000,EUR,5434487,2023-03-22,Early Stage Venture,,,,Yes,Amperecloud is the leading Operating System for Renewables.,"Clean Energy, Energy, Energy Efficiency, Energy Management, Environmental Consulting, Hardware, Internet of Things, Renewable Energy, Software",,https://www.amperecloud.com/,$1M to $10M,10800000,EUR,11913141,Early Stage Venture,3,Point Nine,6,2,"Berlin Angel Fund, Business Angels Club Berlin-Brandenburg e.V., HelloWorld, HGDF, Point Nine, Vireo Ventures","410,866"
Seed Round - Amphiprion,https://www.crunchbase.com/funding_round/amphiprion-seed--e8177ff2,Amphiprion,https://www.crunchbase.com/organization/amphiprion,Seed,"Berlin, Berlin, Germany, Europe",,,,2023-08-03,Seed,,,,Yes,Reimagining biometric authentication,"Artificial Intelligence (AI), Biometrics, Human Computer Interaction, Machine Learning, Software",,https://www.amphiprion.com/,,,,,Seed,1,,1,,Lenka Ivantysynova,"531,033"
Pre Seed Round - amply,https://www.crunchbase.com/funding_round/amply-e708-pre-seed--f74bd2dd,amply,https://www.crunchbase.com/organization/amply-e708,Pre-Seed,"Berlin, Berlin, Germany, Europe",170000,EUR,182354,2023-03-14,Seed,,,,Yes,Amply offers a workspace for small and medium-sized businesses (SMBs) to handle their various financial tasks in a single location.,"Finance, Financial Services, FinTech, Software",,https://www.getamply.io,,170000,EUR,182354,Seed,1,Antler,1,,Antler,"35,285"
Series A - ANYMOVE,https://www.crunchbase.com/funding_round/anymove-152b-series-a--2629bdfe,ANYMOVE,https://www.crunchbase.com/organization/anymove-152b,Series A,"Berlin, Berlin, Germany, Europe",,,,2023-02-27,Early Stage Venture,,,,Yes,Car rental app platform designed to bring down car ownership and move the full transition to e-mobility forward.,"Transportation, Travel",,https://www.anymove.app/,,,,,Early Stage Venture,3,,2,,"Lakeside Invest & Consult, Venista Ventures","383,856"
Series A - Anytype,https://www.crunchbase.com/funding_round/anytype-series-a--a8b9655d,Anytype,https://www.crunchbase.com/organization/anytype,Series A,"Berlin, Berlin, Germany, Europe",12300000,EUR,13364858,2023-08-23,Early Stage Venture,,,,Yes,Anytype is a developer of file storage software for Web3 that is intended to provide a secure location for digital content.,"Blockchain, Operating Systems, Software",,https://anytype.io,$1B to $10B,14684858,USD,14684858,Early Stage Venture,6,Balderton Capital,14,1,"Adam Wiggins, Balderton Capital, Foreword Ventures, Inflection.xyz, Jutta Steiner, Libermans Co, Luis Cuende, Markus Ament, New Forge, Peter van Hardenberg, Protocol Labs, Script Capital, SquareOne Venture Capital, Trent McConaghy","645,391"
Seed Round - API-Lib,https://www.crunchbase.com/funding_round/api-lib-seed--13e0a2b7,API-Lib,https://www.crunchbase.com/organization/api-lib,Seed,"Berlin, Berlin, Germany, Europe",,,,2023-06-10,Seed,,,,Yes,"The future of Backend development! Secure, scalable, and user-friendly platform. Join us now and revolutionize your API experience!","B2B, B2C, Cloud Computing, Enterprise Software, Internet, Software, Web Apps",,https://api-lib.com/,,,,,Seed,1,,,,,"102,398"
Seed Round - Apriwell,https://www.crunchbase.com/funding_round/apriwell-seed--01602446,Apriwell,https://www.crunchbase.com/organization/apriwell,Seed,"Berlin, Berlin, Germany, Europe",,,,2023-04-19,Seed,,,,Yes,Apriwell is a producer of digestive supplements for long-term digestive health.,"Food and Beverage, Health Care, Wellness",,https://www.apriwell.de/,,3000000,EUR,3395970,Seed,3,ORTHO INNOVATIONS,1,1,ORTHO INNOVATIONS,"34,182"
Series A - Ariceum Therapeutics,https://www.crunchbase.com/funding_round/ariceum-therapeutics-series-a--93cbef98,Ariceum Therapeutics,https://www.crunchbase.com/organization/ariceum-therapeutics,Series A,"Berlin, Berlin, Germany, Europe",22750000,EUR,24968118,2023-04-18,Early Stage Venture,,,,Yes,"Ariceum Therapeutics focuses on diagnosis and precision treatment of neuroendocrine and certain other aggressive, hard-to-treat cancers.","Biotechnology, Health Care, Medical, Therapeutics",,https://ariceum-therapeutics.com/,$1M to $10M,47750000,EUR,51760502,Early Stage Venture,2,"Andera Partners, Earlybird Venture Capital",3,3,"Andera Partners, Earlybird Venture Capital, Pureos Bioventures","31,766"
Seed Round - Atlas Metrics,https://www.crunchbase.com/funding_round/atlas-metrics-seed--72effab8,Atlas Metrics,https://www.crunchbase.com/organization/atlas-metrics,Seed,"Berlin, Berlin, Germany, Europe",5200000,EUR,5636203,2023-03-28,Seed,,,,Yes,"Simplify ESG, Automate Compliance","Business Information Systems, Information Technology, Software, Telecommunications",,https://www.atlasmetrics.io/,$1B to $10B,17400000,EUR,19252259,Early Stage Venture,3,"b2venture, Cherry Ventures",12,2,"another.vc, b2venture, Cameron Hepburn, Charlie Songhurst, Cherry Ventures, Global Founders Capital, Martin Blessing, Matthias Hilpert, Redstone.VC, Rivus Capital, TD Veen, VR Ventures","542,898"
Seed Round - Augmented Robotics,https://www.crunchbase.com/funding_round/augmented-robotics-seed--8ed5d247,Augmented Robotics,https://www.crunchbase.com/organization/augmented-robotics,Seed,"Berlin, Berlin, Germany, Europe",,,,2023-10-17,Seed,,,,Yes,Augmented Robotics has the potential to alter our perceptions of everyday life. Schedule a meeting to understand how you can use augmented.,"Information Technology, Service Industry",,https://augmented-robotics.com,,,,,Seed,1,,1,,Zero One Hundred,"73,676"
Pre Seed Round - autarc,https://www.crunchbase.com/funding_round/autarc-pre-seed--1ae2f68f,autarc,https://www.crunchbase.com/organization/autarc,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2023-12-11,Seed,,,,Yes,Autarc is the OS for HVAC installers to install more heat pumps enabling SMB installers to scale sustainable solutions confidently.,"B2B, SaaS, Software, Sustainability",,https://www.autarc.energy,,566077,USD,566077,Seed,3,PT1,8,,"better ventures, Christian Vollmann, David Balensiefen, Jannes Fischer, Kai Hansen, Philipp Martin, PT1, Titus Albrecht","23,760"
Seed Round - Bambus.io,https://www.crunchbase.com/funding_round/bambus-io-seed--d696f550,Bambus.io,https://www.crunchbase.com/organization/bambus-io,Seed,"Berlin, Berlin, Germany, Europe",,,,2023-09-26,Seed,,,,Yes,Bambus provides a one-stop solution for real estate owners.,"Finance, Real Estate, Real Estate Investment",,https://bambus.io,$1M to $10M,,,,Seed,3,,6,,"Calm/Storm Ventures, David Savasci, i5invest, Jerome Balladur, Nikolaus Stadler, Tenity","551,982"
Series A - Banxware,https://www.crunchbase.com/funding_round/banxware-series-a--f3ef9982,Banxware,https://www.crunchbase.com/organization/banxware,Series A,"Berlin, Berlin, Germany, Europe",15000000,EUR,16340243,2023-11-30,Early Stage Venture,,,,Yes,Banxware provides the technology and the funds for business financing of any kind: fully embedded in platforms or as an affiliate solution,"Banking, Financial Services, FinTech, Information Technology, Software",,https://banxware.com,$1M to $10M,29000000,EUR,32597158,Early Stage Venture,3,UniCredit,7,3,"13books Capital, D4 Ventures, Fabrick, Force Over Mass Capital, Redstone.VC, UniCredit, VR Ventures","81,448"
Grant - Baobab,https://www.crunchbase.com/funding_round/baobab-15b3-grant--ac4aa377,Baobab,https://www.crunchbase.com/organization/baobab-15b3,Grant,"Berlin, Berlin, Germany, Europe",,,,2023-04-19,,,,,No,"Baobab is a cyber insurance company protecting organizations against cyber threats using technology, knowledge, and insurance.","Cyber Security, Insurance",,https://www.baobab.io/,,8500000,EUR,9389953,Seed,3,Investitionsbank Berlin,1,,Investitionsbank Berlin,"30,023"
Seed Round - Baobab,https://www.crunchbase.com/funding_round/baobab-15b3-seed--5936d831,Baobab,https://www.crunchbase.com/organization/baobab-15b3,Seed,"Berlin, Berlin, Germany, Europe",5000000,EUR,5424976,2023-01-30,Seed,,,,Yes,"Baobab is a cyber insurance company protecting organizations against cyber threats using technology, knowledge, and insurance.","Cyber Security, Insurance",,https://www.baobab.io/,,8500000,EUR,9389953,Seed,3,Augmentum Fintech,3,1,"Augmentum Fintech, La Famiglia, Project A Ventures","582,453"
Series A - Bayes Esports Solutions,https://www.crunchbase.com/funding_round/bayes-esports-solutions-gmbh-series-a--d3909418,Bayes Esports Solutions,https://www.crunchbase.com/organization/bayes-esports-solutions-gmbh,Series A,"Berlin, Berlin, Germany, Europe",,,,2023-02-06,Early Stage Venture,,,,Yes,Bayes Esports provides official live esports data to clients through partnerships.,Management Consulting,,https://bayes.gg,$1M to $10M,6000000,EUR,6263368,Early Stage Venture,2,P.A.C. Capital,1,1,P.A.C. Capital,"34,594"
Pre Seed Round - beams,https://www.crunchbase.com/funding_round/beams-de7e-pre-seed--f804be3c,beams,https://www.crunchbase.com/organization/beams-de7e,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2023-06-15,Seed,,,,Yes,beams helps you navigate your workday with more focus and less stress,"Apps, Consulting, SaaS, Software",,https://usebeams.com/,,,,,Seed,2,,3,,"Ashley Smith, Octopus Ventures, Phillip Chambers","119,340"
Seed Round - BeautyLove,https://www.crunchbase.com/funding_round/beautylove-seed--c2e15069,BeautyLove,https://www.crunchbase.com/organization/beautylove,Seed,"Berlin, Berlin, Germany, Europe",,,,2023-06-26,Seed,,,,Yes,BeautyLove is a beauty online shop.,"Beauty, E-Commerce",,https://www.beautylove.de,,,,,Seed,2,,1,,SevenVentures,"277,692"
Seed Round - Beazy,https://www.crunchbase.com/funding_round/beazy-seed--b748668a,Beazy,https://www.crunchbase.com/organization/beazy,Seed,"Berlin, Berlin, Germany, Europe",,,,2023-02-10,Seed,,,,Yes,"Beazy Is A SaaS-Enabled Marketplace For Content Production. Customers include H&M, Gorillas, Bolt, Zalando, Pinterest & many more.","Content, Film Production, Marketplace, Photography, SaaS, Sharing Economy, Software",,https://www.beazy.co,$1M to $10M,698000,EUR,772648,Seed,5,,3,,"BTQ Ventures, Google for Startups, Hitchhiker Ventures","376,122"
Pre Seed Round - Bento,https://www.crunchbase.com/funding_round/bento-e2b9-pre-seed--8e67b25d,Bento,https://www.crunchbase.com/organization/bento-e2b9,Pre-Seed,"Berlin, Berlin, Germany, Europe",1600000,USD,1600000,2023-02-15,Seed,,,,Yes,Bento is a creator collaboration platform that connects creators with common interests and complementary skill sets.,"Content Creators, Internet",,https://bento.me/en/,,1600000,USD,1600000,M&A,1,Sequoia Arc,3,,"Gaingels, Nextblue, Sequoia Arc","524,396"
