Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Series B - bezahl.de,https://www.crunchbase.com/funding_round/bezahl-series-b--44269504,bezahl.de,https://www.crunchbase.com/organization/bezahl,Series B,"Cologne, Nordrhein-Westfalen, Germany, Europe",22000000,EUR,24062624,2024-03-20,Early Stage Venture,,,,Yes,NX Technologies provides digital and automated payment management and solutions.,"Financial Services, Mobile Payments, Payments",,https://www.bezahl.de,$10M to $50M,38000000,EUR,41384068,Early Stage Venture,3,PayPal Ventures,4,3,"Motive Ventures, PayPal Ventures, Seaya, Walter Ventures","28,809"
Venture Round - CROWDFOX,https://www.crunchbase.com/funding_round/crowdfox-series-unknown--b3307bad,CROWDFOX,https://www.crunchbase.com/organization/crowdfox,Venture - Series Unknown,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2024-02-15,,,,,Yes,Crowdfox is an innovative shopping club where merchants sell for free and members can buy every product they desire for the best price.,"E-Commerce, Retail, Shopping",,http://www.crowdfox.pro,$1M to $10M,14700000,EUR,16920225,,5,Marcell Vollmer,1,,Marcell Vollmer,"68,527"
Venture Round - DeepL,https://www.crunchbase.com/funding_round/linguee-series-unknown--b9083ffa,DeepL,https://www.crunchbase.com/organization/linguee,Venture - Series Unknown,"Cologne, Nordrhein-Westfalen, Germany, Europe",300000000,USD,300000000,2024-05-22,,1700000000,USD,1700000000,Yes,"DeepL is a software company that offers a communication platform for AI based translation, editing, and writing services.","Artificial Intelligence (AI), Generative AI, Software, Translation Service",,https://www.deepl.com/,Less than $1M,400000000,USD,400000000,,5,Index Ventures,6,1,"Atomico, ICONIQ Growth, Index Ventures, IVP, Teachers’ Venture Growth, WiL (World Innovation Lab)","3,141"
Seed Round - DeepSkill,https://www.crunchbase.com/funding_round/deep-skill-seed--5177470e,DeepSkill,https://www.crunchbase.com/organization/deep-skill,Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",1500000,EUR,1631094,2024-06-05,Seed,,,,Yes,DeepSkill is a digital platform for holistic personnel development.,"E-Learning, Personal Development, Training",,https://deepskill.com/,Less than $1M,1500000,EUR,1631094,Seed,3,Bettina Volkens,3,2,"Bettina Volkens, HTGF | High-Tech Gruenderfonds, Kienbaum Consultants International","14,060"
Seed Round - DISCO Pharmaceuticals,https://www.crunchbase.com/funding_round/disco-pharmaceuticals-seed--1cf7bad5,DISCO Pharmaceuticals,https://www.crunchbase.com/organization/disco-pharmaceuticals,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",20000000,EUR,21757127,2024-01-16,Seed,,,,Yes,DISCO Pharmaceuticals is a firm that specializes in large-scale surfaceome unlocking of cancer cells.,"Manufacturing, Pharmaceutical, Therapeutics",,https://discopharma.de,,20000000,EUR,21757127,Seed,1,Sofinnova Partners,4,3,"AbbVie, M Ventures, Panakes Partners, Sofinnova Partners","66,903"
Pre Seed Round - ECEON Robotics,https://www.crunchbase.com/funding_round/eceon-pre-seed--610d8759,ECEON Robotics,https://www.crunchbase.com/organization/eceon,Pre-Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2024-03-01,Seed,,,,Yes,ECEON develops and operates next-generation autonomous mobile robots based on advanced artificial intelligence for intralogistics.,"Artificial Intelligence (AI), Industrial Automation, Logistics, Robotics",,https://www.eceon.tech/,,,,,Seed,1,,1,1,Vitosha Venture Partners,"64,263"
Venture Round - epilot,https://www.crunchbase.com/funding_round/e-pilot-series-unknown--fd3aa034,epilot,https://www.crunchbase.com/organization/e-pilot,Venture - Series Unknown,"Cologne, Nordrhein-Westfalen, Germany, Europe",10000000,EUR,10819045,2024-07-10,,,,,Yes,The SaaS platform for a new energy world.,"B2B, Cloud Computing, Enterprise Software, SaaS, Software",,https://epilot.cloud/,Less than $1M,10000000,EUR,10819045,,5,Expedition Growth Capital,1,1,Expedition Growth Capital,"28,342"
Seed Round - eyva.ai,https://www.crunchbase.com/funding_round/datazeit-seed--c4a72dcc,eyva.ai,https://www.crunchbase.com/organization/datazeit,Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",2750000,EUR,2889047,2024-12-13,Seed,,,,Yes,Meet eyva - you guide to a winning product portfolio.,"Artificial Intelligence (AI), Big Data, Consumer, Information Technology, Machine Learning, Market Research, Natural Language Processing, Software, Text Analytics",,https://www.eyva.ai,Less than $1M,2750000,EUR,2889047,Seed,3,"Earlybird Venture Capital, WENVEST Capital",7,3,"Earlybird Venture Capital, Robin Capital, Super Angels, True., WENVEST Capital, WEPA Ventures, xdeck",634
Seed Round - foodforecast,https://www.crunchbase.com/funding_round/foodforecast-seed--53d448a8,foodforecast,https://www.crunchbase.com/organization/foodforecast,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",3000000,EUR,3348211,2024-09-30,Seed,,,,Yes,IT Software using Artificial Intelligence,"Artificial Intelligence (AI), Bakery, Food and Beverage, Machine Learning, Restaurants, Software",,https://foodforecast.com,,3500000,EUR,3876453,Seed,2,"Future Food Fund, SCALEHOUSE Capital",4,3,"Aeronaut Invest, Blue Horizon Corporation, Future Food Fund, SCALEHOUSE Capital","11,200"
Pre Seed Round - hellgrün,https://www.crunchbase.com/funding_round/hellgrün-pre-seed--af99ff4b,hellgrün,https://www.crunchbase.com/organization/hellgrün,Pre-Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",500000,EUR,535468,2024-06-25,Seed,,,,Yes,"hellgrün is a green-tech company that operates PV systems and helps to build simple, smart, sustainable green energy.","Energy, GreenTech, Solar",,https://hellgruen.solar,,500000,EUR,535468,Seed,1,,15,,"Bernhard Beck Beck, Bernhard Wardin, Christoph Bänziger, Christoph Prestele, CLAUS WOHLGEMUTH, Dominik Hohenleitner, Florian Meyer Delpho, Hans-Peter Villis, Joan Dyckhoff-Schlieker, Moritz Waldstein, Niklas Kurzer, Philipp Waldstein, Thomas Hollwedel, Thomas Nowak, Tobias Schuett","6,219"
Venture Round - HR Autopilot,https://www.crunchbase.com/funding_round/hr-autopilot-series-unknown--025c1579,HR Autopilot,https://www.crunchbase.com/organization/hr-autopilot,Venture - Series Unknown,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2024-05-22,,,,,Yes,HR-Autopilot is a company that offers workforce management services.,"Consulting, Human Resources",,https://hr-autopilot.de,,,,,,1,allygatr,1,1,allygatr,"41,801"
Pre Seed Round - Intentify,https://www.crunchbase.com/funding_round/intentify-9f43-pre-seed--6bb961a4,Intentify,https://www.crunchbase.com/organization/intentify-9f43,Pre-Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2024-02-14,Seed,,,,Yes,Intentify is dApps' intent-centric middle layer.,"Software, Web Development",,https://www.intentify.network,,,,,Seed,1,Outlier Ventures,3,3,"Borderless Capital, Outlier Ventures, Wormhole Foundation","43,577"
Seed Round - JUPUS,https://www.crunchbase.com/funding_round/jupus-by-iurtech-seed--dfcacf52,JUPUS,https://www.crunchbase.com/organization/jupus-by-iurtech,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",1300000,EUR,1410668,2024-05-28,Seed,,,,Yes,JUPUS is the AI secretary for law firms,"Artificial Intelligence (AI), Legal Tech, SaaS",,https://www.jupus.de,,1850000,EUR,2007415,Seed,3,HTGF | High-Tech Gruenderfonds,7,1,"Combination VC, Felix Plog, Georg Puschel, HTGF | High-Tech Gruenderfonds, Kilian Kaminski, Philipp Hammerich, Stefan C. Schicker","10,247"
Post-IPO Debt - LANXESS,https://www.crunchbase.com/funding_round/lanxess-post-ipo-debt--1dd9dd3b,LANXESS,https://www.crunchbase.com/organization/lanxess,Post-IPO Debt,"Cologne, Nordrhein-Westfalen, Germany, Europe",800000000,EUR,894157463,2024-09-26,,,,,No,LANXESS is a specialty chemicals company.,"Biotechnology, Chemical, Industrial",,http://lanxess.com/en/corporate/home,$1B to $10B,800000000,EUR,894157463,IPO,1,,,,,"70,456"
Seed Round - Lumoview Building Analytics,https://www.crunchbase.com/funding_round/lumoview-building-analytics-seed--d75240d3,Lumoview Building Analytics,https://www.crunchbase.com/organization/lumoview-building-analytics,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2024-02-28,Seed,,,,Yes,Lumoview digitizes buildings in 2 seconds per room and empowers owners to improve their buildings and reduce CO2 emissions.,"Analytics, CleanTech, Energy Efficiency, Facility Management, Green Building, GreenTech, Hardware, Property Management, Software, Sustainability",,https://www.lumoview.com,,,,,Seed,5,EIC Accelerator,1,,EIC Accelerator,"64,554"
Series A - Midnight technology,https://www.crunchbase.com/funding_round/midnight-technology-series-a--9b0a03a7,Midnight technology,https://www.crunchbase.com/organization/midnight-technology,Series A,"Cologne, Nordrhein-Westfalen, Germany, Europe",50000,USD,50000,2024-05-19,Early Stage Venture,800000,USD,800000,Yes,Web Development Mobile Apps Software Solutions AI Integration Full-Cycle Marketing,"Advertising, Internet, Marketing, Software, Web Design, Web Development",,https://www.midnight-technology.com/,,50000,USD,50000,Early Stage Venture,1,,,,,"69,207"
Seed Round - MINDZEIT®,https://www.crunchbase.com/funding_round/mindzeit-seed--d0196e30,MINDZEIT®,https://www.crunchbase.com/organization/mindzeit,Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2024-03-31,Seed,,,,Yes,MINDZEIT is an intelligent coaching system based on mindfulness and meditation.,"Apps, Fitness, InsurTech, Wellness","Women Founded, Women Led",https://mindzeit.app/,Less than $1M,60000,EUR,69567,Seed,5,,1,,Plug and Play Insurtech,"428,029"
Seed Round - mogenius,https://www.crunchbase.com/funding_round/mogenius-seed--54be31a1,mogenius,https://www.crunchbase.com/organization/mogenius,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",2500000,EUR,2725093,2024-07-18,Seed,,,,Yes,mogenius is a Kubernetes Operations Platform that helps teams to deploy and manage applications on Kubernetes easily.,"Cloud Computing, DevOps, Enterprise, Internet, SaaS, Software",,https://mogenius.com,$1M to $10M,2500000,EUR,2725093,Seed,2,"CONCEPTUM Beteiligungsgesellschaft mbH, seed + speed Ventures, Smart Infrastructure Ventures ('SIVentures')",3,2,"CONCEPTUM Beteiligungsgesellschaft mbH, seed + speed Ventures, Smart Infrastructure Ventures ('SIVentures')","23,636"
Pre Seed Round - NaroIQ,https://www.crunchbase.com/funding_round/naro-9ec5-pre-seed--8a8beeca,NaroIQ,https://www.crunchbase.com/organization/naro-9ec5,Pre-Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",2700000,EUR,2929560,2024-02-26,Seed,,,,Yes,"We build fund infrastructure that enables companies to build their own ETFs, MMFs and funds, without any operational and regulatory burden.","Asset Management, Financial Services, FinTech",,https://www.naroiq.com/,,2700000,EUR,2929560,Seed,1,"Discovery Ventures, La Famiglia",5,1,"Angel Invest, Discovery Ventures, La Famiglia, Robin Capital, Sequoia Capital","47,889"
Grant - PyroCCS,https://www.crunchbase.com/funding_round/pyroccs-grant--c5130520,PyroCCS,https://www.crunchbase.com/organization/pyroccs,Grant,"Cologne, Nordrhein-Westfalen, Germany, Europe",20000,USD,20000,2024-07-23,,,,,No,High-Quality Biochar Carbon Dioxide Removal in the Global South,"Environmental Consulting, Environmental Engineering, Industrial, Information Technology, Machinery Manufacturing, SaaS",,https://www.pyroccs.com,,1520000,USD,1520000,Seed,2,remove's Accelerator Program,1,,remove's Accelerator Program,"180,819"
Angel Round - socialbnb,https://www.crunchbase.com/funding_round/socialbnb-angel--2b3ae1c7,socialbnb,https://www.crunchbase.com/organization/socialbnb,Angel,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2024-10-18,Seed,,,,Yes,"socialbnb connects travelers with unique stays at social and environmental projects, promoting sustainable tourism.","Guides, Leisure, Tourism, Travel, Travel Agency",,https://www.socialbnb.org,,,,,Seed,1,,4,,"Gero Ritzenhöfer, Heiko von Tschischwitz, Rolf Schromgens, Wilfried Gillrath","25,150"
Seed Round - Spot My Energy,https://www.crunchbase.com/funding_round/spot-my-energy-seed--dd88e0fe,Spot My Energy,https://www.crunchbase.com/organization/spot-my-energy,Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",10500000,EUR,11016821,2024-12-11,Seed,,,,Yes,Spot My Energy increases the value of smart power by making energy flows transparent.,"Electronics, Manufacturing",,https://spotmyenergy.com,,12050000,EUR,12683568,Seed,2,Norrsken VC,3,3,"Norrsken VC, Picus Capital, Vorwerk Ventures",173
Seed Round - Sunhat,https://www.crunchbase.com/funding_round/sunhat-seed--55fbdd1e,Sunhat,https://www.crunchbase.com/organization/sunhat,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",3000000,EUR,3252149,2024-02-27,Seed,,,,Yes,Sunhat is an automation tool that combines software engineering and sustainability expertise to help supply chain businesses.,"Business Information Systems, Consumer Software, Software",,https://www.getsunhat.com,,5000000,EUR,5414311,Seed,2,EnBW New Ventures,4,3,"Capnamic Ventures, EnBW New Ventures, WEPA Ventures, xdeck","47,079"
Venture Round - Vytal,https://www.crunchbase.com/funding_round/vytal-series-unknown--a51be292,Vytal,https://www.crunchbase.com/organization/vytal,Venture - Series Unknown,"Cologne, Nordrhein-Westfalen, Germany, Europe",6200000,EUR,6646506,2024-06-28,,,,,Yes,Vytal is a provider of software-enabled reusable packaging solutions to eliminate single-use packaging waste.,"Food and Beverage, Recycling, Snack Food, Sustainability, Waste Management",,https://www.vytal.org,$1M to $10M,19070255,USD,19070255,,4,Emerald Technology Ventures,6,2,"Chi Impact Capital, Emerald Technology Ventures, Grazia Equity, Kiko Ventures, Rubio Impact Ventures, VENTIS CAPITAL","8,484"
Pre Seed Round - W1NNAS,https://www.crunchbase.com/funding_round/w1nnas-pre-seed--11677d03,W1NNAS,https://www.crunchbase.com/organization/w1nnas,Pre-Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",370000,EUR,398509,2024-05-06,Seed,,,,Yes,"W1NNAS is a company that develops nutritional supplements for the health and wellness industry, with a concentration on the sports market.","Food Processing, Nutrition, Wellness",,https://w1nnas.de,,370000,EUR,398509,Seed,1,,8,,"Arndt Wippert, Christian Zott, Florian Hoffmann, Johannes Meyer, Lucas Teuchner, Stefan Bauer, Thomas Sailer, Willy Umland","14,337"
Pre Seed Round - Xaver,https://www.crunchbase.com/funding_round/xaver-pre-seed--9e9d2eb8,Xaver,https://www.crunchbase.com/organization/xaver,Pre-Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",5690000,EUR,6180309,2024-03-19,Seed,,,,Yes,Xaver combines personalised digital funnels with AI-assisted personal customer interactions to forge a seamless omni-channel experience.,"Asset Management, Banking, FinTech, Insurance, InsurTech, Wealth Management",,https://www.xaver.com/,,5690000,EUR,6180309,Seed,1,"Cavalry Ventures, Motive Partners",20,1,"22 Capital, blueworld.group, Cavalry Ventures, Elmar Broscheit, Felix Ohswald, Gleb Tritus, Interface Capital, Jessica Holzbach, Mario Götze, Martin Blessing, Matthias Setzer, Michael Wax, Motive Partners, Notion Capital, Patrick Andrae, Raffaele Terrone, Robin Capital, Sequoia Capital, The Delta, Tushar Ahluwalia","7,298"
