Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Seed Round - 42 Watt,https://www.crunchbase.com/funding_round/42-watt-seed--7995ed34,42 Watt,https://www.crunchbase.com/organization/42-watt,Seed,"Munich, Bayern, Germany, Europe",,,,2024-01-15,Seed,,,,Yes,42 Watt is an energy conservation consultancy that assist with energetic property renovation.,"Energy Efficiency, Energy Management, Environmental Consulting",,https://www.42watt.de/,,,,,Seed,4,Eneco Ventures,3,1,"BonVenture, Eneco Ventures, PT1","71,391"
Venture Round - All3DP GmbH,https://www.crunchbase.com/funding_round/all3dp-gmbh-series-unknown--d930cadd,All3DP GmbH,https://www.crunchbase.com/organization/all3dp-gmbh,Venture - Series Unknown,"Munich, Bayern, Germany, Europe",,,,2024-09-24,,,,,Yes,Marketplace for 3D printed parts. Online publisher for 3D printing and additive manufacturing.,"3D Printing, 3D Technology, E-Commerce, Manufacturing, Marketplace",,https://all3dp.com/,$1M to $10M,5730000,EUR,6655469,,5,HZG Group,4,2,"Bayern Kapital, Deutsche Balaton, HTGF | High-Tech Gruenderfonds, HZG Group","10,032"
Seed Round - allO,https://www.crunchbase.com/funding_round/allo-restaurant-seed--4d1d198f,allO,https://www.crunchbase.com/organization/allo-restaurant,Seed,"Munich, Bayern, Germany, Europe",5000000,USD,5000000,2024-07-09,Seed,,,,Yes,allO is an all-in-one restaurant management system. Our mission is to help local restaurants thrive. We strive to democratize gastronomy.,"Food and Beverage, Payments, Point of Sale, Restaurants, Software",,https://allo.restaurant,,6489425,USD,6489425,Seed,2,The Twenty Minute VC,10,3,"20Growth, 20Product, Claire Hughes Johnson, Daniel Khachab, Keen Venture Partners, Mario Götze, Martin Enderle, Navid Hadzaad, Pat Cummins, The Twenty Minute VC","9,190"
Post-IPO Debt - BayWa,https://www.crunchbase.com/funding_round/baywa-ag-post-ipo-debt--332c8ca8,BayWa,https://www.crunchbase.com/organization/baywa-ag,Post-IPO Debt,"Munich, Bayern, Germany, Europe",500000000,EUR,558457050,2024-09-29,,,,,No,"BayWa is a German company which operates in the agriculture, building materials and energy sectors.","Agriculture, Construction, Energy, Wholesale",,https://www.baywa.com/,$10B+,500000000,EUR,558457050,IPO,1,,,,,"71,656"
Seed Round - BestCase,https://www.crunchbase.com/funding_round/bestcase-seed--ca413780,BestCase,https://www.crunchbase.com/organization/bestcase,Seed,"Munich, Bayern, Germany, Europe",,,,2024-10-07,Seed,,,,Yes,BestCase is a One-stop solution for automated IT project management.,"Project Management, Software",,https://bestcase.work,,,,,Seed,1,Techsoft Invest,1,,Techsoft Invest,"68,832"
Pre Seed Round - BiMA,https://www.crunchbase.com/funding_round/bima-999b-pre-seed--6f198253,BiMA,https://www.crunchbase.com/organization/bima-999b,Pre-Seed,"Munich, Bayern, Germany, Europe",100000,EUR,107846,2024-02-10,Seed,,,,Yes,BiMA designs electronic devices and software aimed at enriching kids' reading.,"EdTech, Electronics, Reading Apps",,https://www.bima-sphere.com/,,100000,EUR,107846,Seed,1,,1,,Antler,"187,444"
Series A - bitsCrunch,https://www.crunchbase.com/funding_round/bitscrunch-series-a--5bdc17ce,bitsCrunch,https://www.crunchbase.com/organization/bitscrunch,Series A,"Munich, Bayern, Germany, Europe",2400000,USD,2400000,2024-01-23,Early Stage Venture,80000000,USD,80000000,Yes,bitsCrunch is an AI enhanced decentralised Blockchain analytics and forensics protocol,"Analytics, Artificial Intelligence (AI), Blockchain, Machine Learning",,https://bitscrunch.com,$1M to $10M,10600000,USD,10600000,Early Stage Venture,4,"Cypher Capital, HashKey Capital",7,1,"Chainlink, CoinSwitch, Cypher Capital, Gate.io, HashKey Capital, Legends Group, NxGen.xyz","180,906"
Seed Round - BOX ID Systems,https://www.crunchbase.com/funding_round/box-id-systems-seed--1d80ed9c,BOX ID Systems,https://www.crunchbase.com/organization/box-id-systems,Seed,"Munich, Bayern, Germany, Europe",3500000,EUR,3806032,2024-02-01,Seed,,,,Yes,Supply Chain Visibility SaaS Platform specialized in Process Monitoring & Conformity Analytics,"Automotive, Enterprise Software, Industrial, Information Technology, Internet of Things, Manufacturing, SaaS, Software, Supply Chain Management",,https://www.box-id.com/,Less than $1M,3500000,EUR,3806032,Seed,2,KPN Ventures,8,1,"Bayern Kapital, BayStartUP, Georg Hofer, HTGF | High-Tech Gruenderfonds, Jackson Bond, KPN Ventures, Ulrich Mueller-Menrad, Wille Finance","193,817"
Venture Round - Building Radar,https://www.crunchbase.com/funding_round/global-data-machine-series-unknown--2bb3e248,Building Radar,https://www.crunchbase.com/organization/global-data-machine,Venture - Series Unknown,"Munich, Bayern, Germany, Europe",6500000,EUR,7132088,2024-10-07,,,,,Yes,Building Radar provides AI-driven updates by scanning the internet for construction projects.,"Artificial Intelligence (AI), Big Data, Construction, Lead Generation",,https://buildingradar.com,$1M to $10M,11500000,EUR,12593525,,7,Socii Capital,1,1,Socii Capital,"10,901"
Venture Round - Buycycle,https://www.crunchbase.com/funding_round/buycycle-series-unknown--c2ccad56,Buycycle,https://www.crunchbase.com/organization/buycycle,Venture - Series Unknown,"Munich, Bayern, Germany, Europe",,,,2024-02-20,,,,,Yes,Buycycle is an online market place that offers pre-owned bikes.,"Internet, Marketplace, Sports",,https://buycycle.de,,3000000,EUR,3304270,,2,Blossom Capital,1,,Blossom Capital,"71,297"
