Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Venture Round - 1Komma5°,https://www.crunchbase.com/funding_round/1komma5-series-unknown--58f7d904,1Komma5°,https://www.crunchbase.com/organization/1komma5,Venture - Series Unknown,"Hamburg, Hamburg, Germany, Europe",150000000,EUR,156472484,2024-12-20,,,,,Yes,1Komma5° is an electricity company offering free electricity to all electric vehicle owners financed through trading using GHG quotas.,"Manufacturing, Renewable Energy, Semiconductor",,https://www.1komma5grad.com,$500M to $1B,652500000,EUR,704057762,,8,"CalSTRS, G2 Venture Partners",8,,"2150, b2venture, CalSTRS, eCapital, Eurazeo, G2 Venture Partners, Hamilton Lane, Norrsken VC",159
Private Equity Round - 1Komma5°,https://www.crunchbase.com/funding_round/1komma5-private-equity--82de1350,1Komma5°,https://www.crunchbase.com/organization/1komma5,Private Equity,"Hamburg, Hamburg, Germany, Europe",,,,2024-03-04,Private Equity,,,,Yes,1Komma5° is an electricity company offering free electricity to all electric vehicle owners financed through trading using GHG quotas.,"Manufacturing, Renewable Energy, Semiconductor",,https://www.1komma5grad.com,$500M to $1B,652500000,EUR,704057762,,8,Hamilton Lane,1,,Hamilton Lane,"51,449"
Venture Round - 1Komma5°,https://www.crunchbase.com/funding_round/1komma5-series-unknown--456af2ac,1Komma5°,https://www.crunchbase.com/organization/1komma5,Venture - Series Unknown,"Hamburg, Hamburg, Germany, Europe",,,,2022-06-01,,,,,Yes,1Komma5° is an electricity company offering free electricity to all electric vehicle owners financed through trading using GHG quotas.,"Manufacturing, Renewable Energy, Semiconductor",,https://www.1komma5grad.com,$500M to $1B,652500000,EUR,704057762,,8,"Norrsken Foundation, Norrsken VC",2,,"Norrsken Foundation, Norrsken VC","197,764"
Seed Round - 1Komma5°,https://www.crunchbase.com/funding_round/1komma5-seed--c0a04f13,1Komma5°,https://www.crunchbase.com/organization/1komma5,Seed,"Hamburg, Hamburg, Germany, Europe",,,,2021-12-02,Seed,,,,Yes,1Komma5° is an electricity company offering free electricity to all electric vehicle owners financed through trading using GHG quotas.,"Manufacturing, Renewable Energy, Semiconductor",,https://www.1komma5grad.com,$500M to $1B,652500000,EUR,704057762,,8,Porsche Ventures,1,2,Porsche Ventures,"374,535"
Series A - 1Komma5°,https://www.crunchbase.com/funding_round/1komma5-series-a--c9af88f2,1Komma5°,https://www.crunchbase.com/organization/1komma5,Series A,"Hamburg, Hamburg, Germany, Europe",200000000,EUR,217540509,2022-04-11,Early Stage Venture,,,,Yes,1Komma5° is an electricity company offering free electricity to all electric vehicle owners financed through trading using GHG quotas.,"Manufacturing, Renewable Energy, Semiconductor",,https://www.1komma5grad.com,$500M to $1B,652500000,EUR,704057762,,8,"b2venture, eCAPITAL ENTREPRENEURIAL PARTNERS, Eurazeo, Porsche Ventures",9,,"b2venture, Blue Elephant Capital, eCAPITAL ENTREPRENEURIAL PARTNERS, Eurazeo, Haniel, Jan Klatten, kopa ventures, Porsche Ventures, Schürfeld Group","386,874"
Series B - 1Komma5°,https://www.crunchbase.com/funding_round/1komma5-series-b--388e5c99,1Komma5°,https://www.crunchbase.com/organization/1komma5,Series B,"Hamburg, Hamburg, Germany, Europe",,,,2023-09-28,Early Stage Venture,,,,Yes,1Komma5° is an electricity company offering free electricity to all electric vehicle owners financed through trading using GHG quotas.,"Manufacturing, Renewable Energy, Semiconductor",,https://www.1komma5grad.com,$500M to $1B,652500000,EUR,704057762,,8,2150,1,1,2150,"649,922"
Series B - 1Komma5°,https://www.crunchbase.com/funding_round/1komma5-series-b--918e3748,1Komma5°,https://www.crunchbase.com/organization/1komma5,Series B,"Hamburg, Hamburg, Germany, Europe",250000000,EUR,272910867,2023-06-23,Early Stage Venture,,,,Yes,1Komma5° is an electricity company offering free electricity to all electric vehicle owners financed through trading using GHG quotas.,"Manufacturing, Renewable Energy, Semiconductor",,https://www.1komma5grad.com,$500M to $1B,652500000,EUR,704057762,,8,G2 Venture Partners,9,,"b2venture, Blue Elephant Capital, eCAPITAL ENTREPRENEURIAL PARTNERS, Eurazeo, G2 Venture Partners, Haniel, Jan Klatten, Norrsken VC, Porsche Ventures","399,046"
Seed Round - 25friends,https://www.crunchbase.com/funding_round/25friends-seed--c1ed08b6,25friends,https://www.crunchbase.com/organization/25friends,Seed,"Hamburg, Hamburg, Germany, Europe",300000,EUR,329403,2017-05-15,Seed,,,,Yes,25friends ia an app to find friends and suggests events in the city.,"Apps, Event Promotion, Mobile Apps",,https://25friends.de/,,300000,EUR,329403,Seed,1,,,,,"624,671"
Seed Round - 25ways,https://www.crunchbase.com/funding_round/25ways-seed--8cdf8fe2,25ways,https://www.crunchbase.com/organization/25ways,Seed,"Hamburg, Hamburg, Germany, Europe",,,,2018-06-22,Seed,,,,Yes,"25ways is a tech firm that has created a corporate mobility platform for improving personal mobility to easily save time, money and CO2.","Apps, Information Technology, Software, Transportation",,https://www.25ways.de/,$1M to $10M,,,,Seed,2,,1,,Next Logistics Accelerator,"316,538"
Grant - 3D Spark,https://www.crunchbase.com/funding_round/3d-spark-grant--d36994f2,3D Spark,https://www.crunchbase.com/organization/3d-spark,Grant,"Hamburg, Hamburg, Germany, Europe",300000,EUR,355374,2021-07-01,,,,,No,"SaaS platform to identify those parts that can be produced cheaper, faster, better, or more sustainably by means of 3D printing.","3D Printing, Manufacturing, SaaS, Software",,https://3dspark.de/,$1M to $10M,1500000,EUR,1647712,Seed,3,,,,,"140,513"
Seed Round - 3D Spark,https://www.crunchbase.com/funding_round/3d-spark-seed--f19d8efc,3D Spark,https://www.crunchbase.com/organization/3d-spark,Seed,"Hamburg, Hamburg, Germany, Europe",1200000,EUR,1292338,2023-05-23,Seed,,,,Yes,"SaaS platform to identify those parts that can be produced cheaper, faster, better, or more sustainably by means of 3D printing.","3D Printing, Manufacturing, SaaS, Software",,https://3dspark.de/,$1M to $10M,1500000,EUR,1647712,Seed,3,,2,,"FTTF, Jörg Fanger","478,393"
Seed Round - 3D Spark,https://www.crunchbase.com/funding_round/3d-spark-seed--adb6f851,3D Spark,https://www.crunchbase.com/organization/3d-spark,Seed,"Hamburg, Hamburg, Germany, Europe",,,,2022-11-09,Seed,,,,Yes,"SaaS platform to identify those parts that can be produced cheaper, faster, better, or more sustainably by means of 3D printing.","3D Printing, Manufacturing, SaaS, Software",,https://3dspark.de/,$1M to $10M,1500000,EUR,1647712,Seed,3,FTTF,2,,"FTTF, IFB Innovationsstarter","640,384"
Pre Seed Round - 913.ai,https://www.crunchbase.com/funding_round/neurosense-5d1f-pre-seed--7f3833f5,913.ai,https://www.crunchbase.com/organization/neurosense-5d1f,Pre-Seed,"Hamburg, Hamburg, Germany, Europe",300000,EUR,322724,2024-07-01,Seed,,,,Yes,Deep Automation of Specialist Workflows via our proprietary AI Infrastructure.,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, Robotic Process Automation (RPA)",,https://www.913.ai,,400000,EUR,431769,Seed,2,,,,,"69,242"
Pre Seed Round - 913.ai,https://www.crunchbase.com/funding_round/neurosense-5d1f-pre-seed--d073c6b2,913.ai,https://www.crunchbase.com/organization/neurosense-5d1f,Pre-Seed,"Hamburg, Hamburg, Germany, Europe",100000,EUR,109045,2023-11-23,Seed,,,,Yes,Deep Automation of Specialist Workflows via our proprietary AI Infrastructure.,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, Robotic Process Automation (RPA)",,https://www.913.ai,,400000,EUR,431769,Seed,2,,1,,Antler,"185,299"
Seed Round - ABOUT YOU,https://www.crunchbase.com/funding_round/about-you-seed--2e2c68d2,ABOUT YOU,https://www.crunchbase.com/organization/about-you,Seed,"Hamburg, Hamburg, Germany, Europe",,,,2020-01-01,Seed,,,,Yes,"ABOUT YOU is an eCommerce platform for clothing, shoes and accessories.","E-Commerce, Fashion, Marketing, Personalization, Retail, Shopping",,https://aboutyou.com/,$100M to $500M,300000000,USD,300000000,Seed,4,,,,,"126,115"
Venture Round - ABOUT YOU,https://www.crunchbase.com/funding_round/about-you-series-unknown--746c2518,ABOUT YOU,https://www.crunchbase.com/organization/about-you,Venture - Series Unknown,"Hamburg, Hamburg, Germany, Europe",,,,2017-09-04,,,,,Yes,"ABOUT YOU is an eCommerce platform for clothing, shoes and accessories.","E-Commerce, Fashion, Marketing, Personalization, Retail, Shopping",,https://aboutyou.com/,$100M to $500M,300000000,USD,300000000,Seed,4,,1,,Ringier Digital Ventures,"280,697"
Grant - ACTitude,https://www.crunchbase.com/funding_round/actitude-grant--e326235e,ACTitude,https://www.crunchbase.com/organization/actitude,Grant,"Hamburg, Hamburg, Germany, Europe",,,,2022-06-29,,,,,No,ACTitude provides easy-to-understand online psychological courses based on acceptance and commitment therapy.,"Fitness, Wellness",,https://www.actitude.de,,,,,,1,CONTENTshift,1,,CONTENTshift,"43,122"
