Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Seed Round - 5Analytics,https://www.crunchbase.com/funding_round/5-analytics-seed--64261c65,5Analytics,https://www.crunchbase.com/organization/5-analytics,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",800000,EUR,949159,2017-10-11,Seed,3200000,EUR,3796638,Yes,5Analytics is an AI software company that helps companies integrate Artificial Intelligence into business processes.,"Analytics, Artificial Intelligence (AI), Business Intelligence, Consulting, Enterprise Software, Machine Learning, Predictive Analytics, Software",,http://5analytics.com,$1M to $10M,880000,EUR,1038490,Seed,2,HTGF | High-Tech Gruenderfonds,3,,"HTGF | High-Tech Gruenderfonds, MBG Baden Wuerttemberg, Wayra","334,950"
Venture Round - abaXX Technology,https://www.crunchbase.com/funding_round/abaxx-technology-series-unknown--8b3d5ad5,abaXX Technology,https://www.crunchbase.com/organization/abaxx-technology,Venture - Series Unknown,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2019-04-15,,,,,Yes,abaXX Technology develops and markets e-business solutions such as component-based and platform-independent software suites.,"E-Commerce, Retail, Software",,http://www.abaxx.com,,18040000,USD,18040000,M&A,3,,1,,Nimble Ventures,"319,047"
Pre Seed Round - ACTIMI,https://www.crunchbase.com/funding_round/actimi-gmbh-pre-seed--6cca1482,ACTIMI,https://www.crunchbase.com/organization/actimi-gmbh,Pre-Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",178000,EUR,208310,2021-08-18,Seed,,,,Yes,ACTIMI develops a remote patient monitoring platform for chronic diseases.,"Health Care, Medical Device, Software",,https://actimi.com/,Less than $1M,378000,EUR,440680,Seed,2,,,,,"104,669"
Pre Seed Round - ACTIMI,https://www.crunchbase.com/funding_round/actimi-gmbh-pre-seed--5dab65b9,ACTIMI,https://www.crunchbase.com/organization/actimi-gmbh,Pre-Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",200000,EUR,232370,2021-10-04,Seed,,,,Yes,ACTIMI develops a remote patient monitoring platform for chronic diseases.,"Health Care, Medical Device, Software",,https://actimi.com/,Less than $1M,378000,EUR,440680,Seed,2,,,,,"537,201"
Seed Round - AERVIDEO,https://www.crunchbase.com/funding_round/aer-3-seed--7c9d9dd4,AERVIDEO,https://www.crunchbase.com/organization/aer-3,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",150000,EUR,167373,2019-07-30,Seed,,,,Yes,AER is a creative camera equipment designer and developer.,"Marketing, Photography, Social Media",,http://www.aervideo.com,$10M to $50M,273000,EUR,305381,Seed,2,,1,,Rock B(r)and,"323,865"
Seed Round - AIMO,https://www.crunchbase.com/funding_round/aimo-seed--3ab0e0fc,AIMO,https://www.crunchbase.com/organization/aimo,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",15000,EUR,16363,2017-04-26,Seed,,,,Yes,AIMO is a fitness application that offers an objective analysis of human movement skills supported by artificial intelligence.,"Artificial Intelligence (AI), Health Care, InsurTech, Machine Learning",,https://aimo-fit.com,$1M to $10M,15000,EUR,16363,Seed,1,,3,1,"seed + speed Ventures, Startupbootcamp, Startupbootcamp InsurTech London","482,834"
Series A - AnyDesk,https://www.crunchbase.com/funding_round/anydesk-series-a--b8a594e8,AnyDesk,https://www.crunchbase.com/organization/anydesk,Series A,"Stuttgart, Baden-Wurttemberg, Germany, Europe",6500000,EUR,7683170,2018-05-15,Early Stage Venture,,,,Yes,AnyDesk is a remote desktop application.,"Apps, Customer Service, Information Technology, Software, Web Apps",,http://www.anydesk.com,$500M to $1B,66500000,EUR,75602572,Late Stage Venture,4,EQT Ventures,3,1,"Andreas Burike, Chris Hitchen, EQT Ventures","591,504"
Series C - AnyDesk,https://www.crunchbase.com/funding_round/anydesk-series-c--259e6676,AnyDesk,https://www.crunchbase.com/organization/anydesk,Series C,"Stuttgart, Baden-Wurttemberg, Germany, Europe",60000000,EUR,67919402,2021-11-16,Late Stage Venture,582700000,EUR,659610595,Yes,AnyDesk is a remote desktop application.,"Apps, Customer Service, Information Technology, Software, Web Apps",,http://www.anydesk.com,$500M to $1B,66500000,EUR,75602572,Late Stage Venture,4,General Atlantic,4,3,"EQT Ventures, General Atlantic, Insight Partners, Possible Ventures","621,745"
Venture Round - AnyDesk,https://www.crunchbase.com/funding_round/anydesk-series-unknown--cf3d7db9,AnyDesk,https://www.crunchbase.com/organization/anydesk,Venture - Series Unknown,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2020-01-22,,,,,Yes,AnyDesk is a remote desktop application.,"Apps, Customer Service, Information Technology, Software, Web Apps",,http://www.anydesk.com,$500M to $1B,66500000,EUR,75602572,Late Stage Venture,4,Insight Partners,2,1,"EQT Ventures, Insight Partners","385,801"
Venture Round - ASCon Systems,https://www.crunchbase.com/funding_round/ascon-systems-series-unknown--81848e7d,ASCon Systems,https://www.crunchbase.com/organization/ascon-systems,Venture - Series Unknown,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2023-11-15,,,,,Yes,Ascon Systems is a software company that focuses on complex process and technology consulting in the field of digital change projects.,"Consulting, Information Technology, Software",,https://ascon-systems.de/en/,$1M to $10M,,,,,1,BMW i Ventures,1,1,BMW i Ventures,"73,030"
Series A - asellerate,https://www.crunchbase.com/funding_round/retromotion-series-a--08ca1433,asellerate,https://www.crunchbase.com/organization/retromotion,Series A,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2024-02-26,Early Stage Venture,,,,Yes,asellerate is building the industries infrastructure for the digital commerce of spare parts,"Automotive, E-Commerce, E-Commerce Platforms",,https://asellerate.com,Less than $1M,,,,Early Stage Venture,4,,6,1,"Bosch, Continental, FIEGE, Liqui Moly, MANN+HUMMEL, SKF Group","49,323"
Pre Seed Round - asellerate,https://www.crunchbase.com/funding_round/retromotion-pre-seed--7a848e59,asellerate,https://www.crunchbase.com/organization/retromotion,Pre-Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2019-05-01,Seed,,,,Yes,asellerate is building the industries infrastructure for the digital commerce of spare parts,"Automotive, E-Commerce, E-Commerce Platforms",,https://asellerate.com,Less than $1M,,,,Early Stage Venture,4,,4,,"Continental, MAHLE, MANN+HUMMEL, SKF Group","338,691"
Seed Round - asellerate,https://www.crunchbase.com/funding_round/retromotion-seed--5be6d3eb,asellerate,https://www.crunchbase.com/organization/retromotion,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2021-05-03,Seed,,,,Yes,asellerate is building the industries infrastructure for the digital commerce of spare parts,"Automotive, E-Commerce, E-Commerce Platforms",,https://asellerate.com,Less than $1M,,,,Early Stage Venture,4,FIEGE,1,1,FIEGE,"353,103"
Venture Round - asellerate,https://www.crunchbase.com/funding_round/retromotion-series-unknown--9945e022,asellerate,https://www.crunchbase.com/organization/retromotion,Venture - Series Unknown,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2018-03-29,,,,,Yes,asellerate is building the industries infrastructure for the digital commerce of spare parts,"Automotive, E-Commerce, E-Commerce Platforms",,https://asellerate.com,Less than $1M,,,,Early Stage Venture,4,,1,,MAHLE,"544,779"
Seed Round - Assemblio,https://www.crunchbase.com/funding_round/assemblio-seed--26d7e38c,Assemblio,https://www.crunchbase.com/organization/assemblio,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",2100000,EUR,2276065,2024-02-28,Seed,,,,Yes,Assemblio offers an AI-based software solution for time- and cost-efficient assembly planning,"Artificial Intelligence (AI), Industrial, Manufacturing, SaaS",,https://www.assemblio.com/,,2100000,EUR,2276065,Seed,1,LEA Partners,11,1,"Cross Atlantic Angels, Gerhard Berger, Gerhard Knoch, Gunter Deppner, Helmut Imhof, Integra Fund, Jens Horstmann, LEA Partners, Michael Kofluk, Mätch VC, SilverScale Capital","23,995"
Grant - asvin.io,https://www.crunchbase.com/funding_round/asvin-io-grant--5d3865e6,asvin.io,https://www.crunchbase.com/organization/asvin-io,Grant,"Stuttgart, Baden-Wurttemberg, Germany, Europe",1900000,EUR,1862645,2022-10-01,,,,,No,Security and Trust by Context,"Asset Management, Cyber Security, Risk Management, Supply Chain Management",,https://www.asvin.io,$1M to $10M,3950000,EUR,4203849,Seed,4,,,,,"101,667"
Seed Round - asvin.io,https://www.crunchbase.com/funding_round/asvin-io-seed--4841444e,asvin.io,https://www.crunchbase.com/organization/asvin-io,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2019-11-10,Seed,,,,Yes,Security and Trust by Context,"Asset Management, Cyber Security, Risk Management, Supply Chain Management",,https://www.asvin.io,$1M to $10M,3950000,EUR,4203849,Seed,4,,1,,CV VC,"643,834"
Seed Round - asvin.io,https://www.crunchbase.com/funding_round/asvin-io-seed--467f97f4,asvin.io,https://www.crunchbase.com/organization/asvin-io,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",2050000,EUR,2341204,2022-02-08,Seed,8000000,EUR,9136404,Yes,Security and Trust by Context,"Asset Management, Cyber Security, Risk Management, Supply Chain Management",,https://www.asvin.io,$1M to $10M,3950000,EUR,4203849,Seed,4,,2,,"Blockrocket, coinIX","428,200"
Series A - Aucobo,https://www.crunchbase.com/funding_round/aucobo-series-a--c0b4371d,Aucobo,https://www.crunchbase.com/organization/aucobo,Series A,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2019-07-10,Early Stage Venture,,,,Yes,Aucobo connects shop floor workers with a smart collaboration software to increase process efficiency and deliver new data insights.,"Cloud Computing, Information Technology, Software",,https://aucobo.de,$10M to $50M,25000,EUR,27591,Early Stage Venture,2,"10X Investments, Speedinvest",2,1,"10X Investments, Speedinvest","556,901"
Seed Round - autoRetouch,https://www.crunchbase.com/funding_round/autoretouch-seed--2bfb9397,autoRetouch,https://www.crunchbase.com/organization/autoretouch,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",3200000,EUR,3892471,2021-01-26,Seed,,,,Yes,autoRetouch is the AI-powered image editing platform.,"Artificial Intelligence (AI), E-Commerce, Fashion, Image Recognition, Internet, PaaS, Photo Editing, Software",,https://www.autoretouch.com,$1M to $10M,3200000,EUR,3892471,Seed,1,Breuninger,1,1,Breuninger,"145,649"
Seed Round - AX Semantics,https://www.crunchbase.com/funding_round/ax-semantics-seed--7f23caf5,AX Semantics,https://www.crunchbase.com/organization/ax-semantics,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2018-10-15,Seed,,,,Yes,data-driven Content Operations,"Artificial Intelligence (AI), Content, Information Technology, Machine Learning, Natural Language Processing, Publishing, SaaS, Software",,https://en.ax-semantics.com,$1M to $10M,,,,,7,,1,,Plug and Play,"141,526"
Seed Round - AX Semantics,https://www.crunchbase.com/funding_round/ax-semantics-seed--88a078e4,AX Semantics,https://www.crunchbase.com/organization/ax-semantics,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2017-09-01,Seed,,,,Yes,data-driven Content Operations,"Artificial Intelligence (AI), Content, Information Technology, Machine Learning, Natural Language Processing, Publishing, SaaS, Software",,https://en.ax-semantics.com,$1M to $10M,,,,,7,,3,,"Müller Medien, Nordwest-Zeitung, pd ventures","256,301"
Series A - AX Semantics,https://www.crunchbase.com/funding_round/ax-semantics-series-a--81b0d824,AX Semantics,https://www.crunchbase.com/organization/ax-semantics,Series A,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2019-07-01,Early Stage Venture,,,,Yes,data-driven Content Operations,"Artificial Intelligence (AI), Content, Information Technology, Machine Learning, Natural Language Processing, Publishing, SaaS, Software",,https://en.ax-semantics.com,$1M to $10M,,,,,7,Airbridge Equity Partners,2,,"Airbridge Equity Partners, Plug and Play","321,445"
Venture Round - AX Semantics,https://www.crunchbase.com/funding_round/ax-semantics-series-unknown--c53aa8aa,AX Semantics,https://www.crunchbase.com/organization/ax-semantics,Venture - Series Unknown,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2020-06-01,,,,,Yes,data-driven Content Operations,"Artificial Intelligence (AI), Content, Information Technology, Machine Learning, Natural Language Processing, Publishing, SaaS, Software",,https://en.ax-semantics.com,$1M to $10M,,,,,7,,1,,Plug and Play,"346,391"
Seed Round - AX Semantics,https://www.crunchbase.com/funding_round/ax-semantics-seed--be314559,AX Semantics,https://www.crunchbase.com/organization/ax-semantics,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2018-01-14,Seed,,,,Yes,data-driven Content Operations,"Artificial Intelligence (AI), Content, Information Technology, Machine Learning, Natural Language Processing, Publishing, SaaS, Software",,https://en.ax-semantics.com,$1M to $10M,,,,,7,,3,,"Müller Medien, Nordwest-Zeitung, pd ventures","350,020"
Seed Round - AZOWO,https://www.crunchbase.com/funding_round/azowo-gmbh-seed--ffe07fc1,AZOWO,https://www.crunchbase.com/organization/azowo-gmbh,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",3500000,EUR,4131227,2018-06-13,Seed,,,,Yes,"Enterprise Software powering mobility transformation across all shared, connected, electric and autonomous processes","Automotive, B2B, Car Sharing, Enterprise Software, Internet of Things, Software, Transportation",,https://www.azowo.com/,$1M to $10M,14800000,EUR,15476339,Early Stage Venture,3,Project A Ventures,2,,"MBG Baden Wuerttemberg, Project A Ventures","13,420"
Seed Round - AZOWO,https://www.crunchbase.com/funding_round/azowo-gmbh-seed--43692fb7,AZOWO,https://www.crunchbase.com/organization/azowo-gmbh,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",1300000,EUR,1531213,2021-04-01,Seed,,,,Yes,"Enterprise Software powering mobility transformation across all shared, connected, electric and autonomous processes","Automotive, B2B, Car Sharing, Enterprise Software, Internet of Things, Software, Transportation",,https://www.azowo.com/,$1M to $10M,14800000,EUR,15476339,Early Stage Venture,3,,,,,"254,560"
Series A - AZOWO,https://www.crunchbase.com/funding_round/azowo-gmbh-series-a--3f5ab3f9,AZOWO,https://www.crunchbase.com/organization/azowo-gmbh,Series A,"Stuttgart, Baden-Wurttemberg, Germany, Europe",10000000,EUR,9813899,2022-11-02,Early Stage Venture,,,,Yes,"Enterprise Software powering mobility transformation across all shared, connected, electric and autonomous processes","Automotive, B2B, Car Sharing, Enterprise Software, Internet of Things, Software, Transportation",,https://www.azowo.com/,$1M to $10M,14800000,EUR,15476339,Early Stage Venture,3,AEW Energie,4,,"AEW Energie, MBG Baden Wuerttemberg, Project A Ventures, Start-up BW Innovation Fonds","643,499"
Convertible Note - Babybe,https://www.crunchbase.com/funding_round/babybe-convertible-note--dd4a6841,Babybe,https://www.crunchbase.com/organization/babybe,Convertible Note,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2018-11-18,,,,,No,Babybe is a medical device company helping premature babies to recover faster by keeping them connected to their mothers.,"Health Care, Robotics, Wearables",,http://www.babybemedical.com,Less than $1M,65000,USD,65000,Early Stage Venture,9,,2,1,"HAX, SOSV","59,126"
Convertible Note - Babybe,https://www.crunchbase.com/funding_round/babybe-convertible-note--b9ad95fe,Babybe,https://www.crunchbase.com/organization/babybe,Convertible Note,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2017-10-31,,,,,No,Babybe is a medical device company helping premature babies to recover faster by keeping them connected to their mothers.,"Health Care, Robotics, Wearables",,http://www.babybemedical.com,Less than $1M,65000,USD,65000,Early Stage Venture,9,,2,1,"HAX, SOSV","254,123"
Convertible Note - Babybe,https://www.crunchbase.com/funding_round/babybe-convertible-note--d55dbf09,Babybe,https://www.crunchbase.com/organization/babybe,Convertible Note,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2019-12-16,,,,,No,Babybe is a medical device company helping premature babies to recover faster by keeping them connected to their mothers.,"Health Care, Robotics, Wearables",,http://www.babybemedical.com,Less than $1M,65000,USD,65000,Early Stage Venture,9,,2,1,"HAX, SOSV","434,234"
