Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
Christian Edler,https://www.crunchbase.com/person/christian-edler,"Individual/Angel, Investment Partner",57,10,"Berlin, Berlin, Germany","Convertible Note, Early Stage Venture, Late Stage Venture, Private Equity, Secondary Market, Seed, Venture",Christian O. Edler is an investor and entrepreneur with a proven track record in sectors ahead of mainstream adoption. He invests opportunit...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.christianedler.com,https://www.linkedin.com/in/christianedler/,50,,
Ralf Dummel,https://www.crunchbase.com/person/ralf-dummel,Individual/Angel,38,,"Hamburg, Hamburg, Germany",,"Ralf Dummel, born on 02.12.1966 in Bad Segeberg in Germany, started his career on 01.04.1988 at DS Produkte as a sales assistant to the then...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,38,13,
Carsten Maschmeyer,https://www.crunchbase.com/person/carsten-maschmeyer,"Individual/Angel, Investment Partner",36,3,"Hanover, Niedersachsen, Germany",,"Carsten Maschmeyer is a successful entrepreneur, consultant and financial investor. He was born on May 8, 1959 in Bremen and grew up in Hild...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/carsten-maschmeyer/,34,8,
Kai Hansen,https://www.crunchbase.com/person/kai-hansen-2,"Individual/Angel, Investment Partner",36,4,"Berlin, Berlin, Germany","Convertible Note, Early Stage Venture, Seed, Venture",business angel // entrepreneur // founder lieferando.de // boardmember booksy.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/hansenkai/en,25,,
Chris Schagen,https://www.crunchbase.com/person/chris-schagen,Individual/Angel,33,4,"Berlin, Berlin, Germany","Early Stage Venture, Seed","I help developer tech entrepreneurs beginning from crazy idea, through MVP stage, product market fit, go-to-market fit, up to go-to-market s...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/christianschagen/,29,,
Matthias Hilpert,https://www.crunchbase.com/person/matthias-hilpert,Individual/Angel,33,7,"Berlin, Berlin, Germany",Seed,Matthias Hilpert - CEO @ MH2 Capital,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://matthiashilpert.com,https://www.linkedin.com/in/matthiashilpert,25,,
Christian Reber,https://www.crunchbase.com/person/christian-reber,"Individual/Angel, Investment Partner",32,5,"Berlin, Berlin, Germany",Early Stage Venture,Christian Reber​ is the founder and CEO of Pitch. The German entrepreneur previously founded the award-winning to-do app Wunderlist. After i...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/christianreber,32,1,
Christian Vollmann,https://www.crunchbase.com/person/christian-vollmann,Individual/Angel,29,7,"Berlin, Berlin, Germany","Early Stage Venture, Seed",Christian Vollmann is the Chairman Of The Board at nebenan.de.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/christianvollmann,26,1,1
Lukasz Gadowski,https://www.crunchbase.com/person/lukasz-gadowski,"Individual/Angel, Investment Partner",28,8,"Berlin, Berlin, Germany",Seed,Lukasz Gadowski is the Founder and CEO of Team Global. He previously worked at Circ as a Co-Founder. Lukasz Gadowski attended HHL Leipzig Gr...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/lukaszgadowski,27,4,
Chris Hitchen,https://www.crunchbase.com/person/chris-hitchen,"Individual/Angel, Investment Partner",27,4,"Munich, Bayern, Germany",Seed,"Chris is an Australian entrepreneur and investor based in Munich, Germany.  He co-founded Australia's largest comparison shopping site Ge...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,http://www.linkedin.com/in/hitchen,24,,2
