Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
Global Founders Capital,https://www.crunchbase.com/organization/global-founders-capital,"Private Equity Firm, Venture Capital",992,93,"Berlin, Berlin, Germany","Early Stage Venture, Private Equity, Seed",GFC is a venture fund that supports entrepreneurs at any stage in their business development across global markets.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,year,https://www.globalfounderscapital.com,https://www.linkedin.com/company/global-founders-capital,696,254,11
Deutsche Bank,https://www.crunchbase.com/organization/deutsche-bank,Investment Bank,214,91,"Frankfurt, Hessen, Germany","Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity","Deutsche Bank, a Frankfurt-based global investment bank, offers financial products and services to corporate and institutional clients.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1870-03-10,day,https://www.db.com,https://www.linkedin.com/company/deutsche-bank,183,64,42
KfW,https://www.crunchbase.com/organization/kfw,"Government Office, Investment Bank, Venture Capital",189,50,"Frankfurt, Hessen, Germany","Debt, Early Stage Venture, Late Stage Venture, Seed",KfW operates as the promotional bank of the Federal Republic of Germany that engages in the financing of corporate investments.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1948-12-16,day,https://www.kfw.de,https://www.linkedin.com/company/kfw,144,24,8
Rocket Internet,https://www.crunchbase.com/organization/rocket-internet,"Incubator, Private Equity Firm, Venture Capital",155,46,"Berlin, Berlin, Germany","Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed, Venture",Rocket Internet incubates and invests in internet and technology companies globally.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2007-01-01,year,https://www.rocket-internet.com/,https://www.linkedin.com/company/1298456,109,43,9
Bosch Ventures,https://www.crunchbase.com/organization/robert-bosch-venture-capital,Corporate Venture Capital,137,28,"Stuttgart, Baden-Wurttemberg, Germany","Early Stage Venture, Late Stage Venture, Seed, Venture",Bosch Ventures (Robert Bosch Venture Capital GmbH) is the corporate venture capital company of the Bosch Group,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2007-01-01,year,http://www.rbvc.com,https://www.linkedin.com/company/robert-bosch-venture-capital/,83,39,4
SpinLab - The HHL Accelerator,https://www.crunchbase.com/organization/spinlab---the-hhl-accelerator,"Accelerator, Co-Working Space, Entrepreneurship Program, Incubator",114,11,"Leipzig, Sachsen, Germany","Early Stage Venture, Non Equity Assistance, Seed","SpinLab - The HHL Accelerator ranks among the best European accelerators. The hybrid 6 month program focusses on energy, smart city & health","European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-01-01,year,https://spinlab.co/,https://www.linkedin.com/company/spinlab---the-hhl-accelerator/,113,14,
Axel Springer Plug and Play Accelerator,https://www.crunchbase.com/organization/axel-springer-plug-and-play-accelerator,Accelerator,113,18,"Berlin, Berlin, Germany","Early Stage Venture, Seed, Venture",Axel Springer Plug and Play is a Berlin-based pre-seed startup accelerator.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://www.axelspringerplugandplay.com,https://www.linkedin.com/company/5046044,98,18,
Leblon Capital,https://www.crunchbase.com/organization/leblon-capital,"Private Equity Firm, Venture Capital",110,9,"Munich, Bayern, Germany","Early Stage Venture, Late Stage Venture",Leblon Capital is an investment firm.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://leblon-capital.notion.site/,https://www.linkedin.com/company/leblon-capital/,109,3,3
Redstone.VC,https://www.crunchbase.com/organization/redstone-digital-gmbh,"Venture Capital, Venture Debt",109,8,"Berlin, Berlin, Germany","Debt, Early Stage Venture, Non Equity Assistance, Seed, Venture",Redstone is a European venture capital firm following selected investment strategies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-03-01,day,http://www.redstone.vc,http://www.linkedin.com/company/redstone-digital-gmbh,87,41,
Leaps by Bayer,https://www.crunchbase.com/organization/leaps-by-bayer,Corporate Venture Capital,103,10,"Leverkusen, Nordrhein-Westfalen, Germany",Early Stage Venture,"Leaps by Bayer invests in life sciences and specializes in the fields of biotechnology, agriculture, and scientific breakthrough.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://leaps.bayer.com,https://www.linkedin.com/company/leapsbybayer,63,43,7
Angel Invest,https://www.crunchbase.com/organization/angel-invest-ventures,Angel Group,101,3,"Berlin, Berlin, Germany","Early Stage Venture, Seed",Angel Invest is one of Europe's most active angel funds,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-01-01,day,https://angelinvest.ventures,https://www.linkedin.com/company/angel-invest-ventures/,84,3,
KFW DEG,https://www.crunchbase.com/organization/kfw-deg,Private Equity Firm,98,18,"Cologne, Nordrhein-Westfalen, Germany","Debt, Early Stage Venture, Grant, Late Stage Venture, Private Equity, Venture","KFW DEG offers financing, advice and support to private sector enterprises operating in developing and emerging-market countries.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1962-01-01,year,https://www.deginvest.de,https://www.linkedin.com/company/deg,89,40,11
NRW.BANK,https://www.crunchbase.com/organization/nrw-bank,"Government Office, Investment Bank",97,14,"Düsseldorf, Nordrhein-Westfalen, Germany","Early Stage Venture, Late Stage Venture, Seed",NRW.BANK is a financial group that supports investment and development in the NRW state of Germany.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2002-01-01,year,http://www.nrwbank.de,https://www.linkedin.com/company/nrw.bank/,68,20,
Hasso Plattner Ventures,https://www.crunchbase.com/organization/hasso-plattner-ventures,"Micro VC, Venture Capital",95,23,"Potsdam, Brandenburg, Germany",Late Stage Venture,"Hasso Plattner Ventures invests in fast-growing, information technology-driven companies.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2005-07-01,day,http://www.hp-ventures.com,https://www.linkedin.com/company/hasso-plattner-ventures/,60,12,3
coparion,https://www.crunchbase.com/organization/coparion,"Accelerator, Venture Capital",94,11,"Cologne, Nordrhein-Westfalen, Germany","Early Stage Venture, Late Stage Venture",Coparion provides venture capital to accelerate momentum and growth.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://www.coparion.vc/en,https://www.linkedin.com/company/coparion-gmbh-&-co.-kg,53,5,
Boehringer Ingelheim Venture Fund,https://www.crunchbase.com/organization/boehringer-ingelheim-venture-fund,Corporate Venture Capital,90,10,"Ingelheim Am Rhein, Rheinland-Pfalz, Germany","Early Stage Venture, Seed",Boehringer Ingelheim Venture Fund intends to invest in groundbreaking therapeutic approaches and technologies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2010-01-01,year,http://www.boehringer-ingelheim-venture.com,,52,44,1
