Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
Innovate UK,https://www.crunchbase.com/organization/innovate-u-k-,"Entrepreneurship Program, Venture Capital","1,087",66,"Swindon, Wiltshire, United Kingdom",Grant,"Innovate UK holds funding competitions for businesses and research organizations in sectors, including emerging technologies.","Europe, Middle East, and Africa (EMEA)",1959-07-01,day,http://www.innovateuk.gov.uk,https://www.linkedin.com/company/innovateuk,872,799,28
SFC Capital,https://www.crunchbase.com/organization/startup-funding-club,"Angel Group, Micro VC",631,18,"Northwich, Cheshire, United Kingdom","Early Stage Venture, Seed",Early-stage investor combining its own angel syndicate & seed funds to provide investors with diversified exposure to SEIS/EIS businesses.,"Europe, Middle East, and Africa (EMEA)",2012-08-24,day,http://www.sfccapital.com/,https://www.linkedin.com/company/sfccapital,472,214,2
Seedcamp,https://www.crunchbase.com/organization/seedcamp,"Accelerator, Micro VC, Venture Capital",606,68,"London, England, United Kingdom","Early Stage Venture, Seed",Seedcamp is a European seed fund that identifies and invests early in founders attacking global markets.,"Europe, Middle East, and Africa (EMEA)",2007-05-01,day,http://www.seedcamp.com,http://www.linkedin.com/company/seedcamp_2,418,82,2
Startupbootcamp,https://www.crunchbase.com/organization/startupbootcamp,Accelerator,604,45,"London, England, United Kingdom","Early Stage Venture, Grant, Initial Coin Offering, Non Equity Assistance, Seed, Venture",Startupbootcamp is a global network of industry-focused startup accelerators that provides investment and mentorship services.,"Europe, Middle East, and Africa (EMEA)",2010-01-01,year,http://www.startupbootcamp.org,https://www.linkedin.com/company/startupbootcamp,584,52,1
Entrepreneur First,https://www.crunchbase.com/organization/entrepreneur-first,"Accelerator, Venture Capital",451,33,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",Entrepreneur First brings ambitious founders together to build globally important technology companies.,"Europe, Middle East, and Africa (EMEA)",2011-09-01,day,http://www.joinef.com,https://www.linkedin.com/company/2340783,343,118,
Pitch@Palace,https://www.crunchbase.com/organization/pitchpalace,Entrepreneurship Program,401,29,"London, England, United Kingdom",Non Equity Assistance,"Pitch@Palace focuses on the benefits for entrepreneurs, as they take no stake in the participants and impose no restrictions.","Europe, Middle East, and Africa (EMEA)",2014-04-01,day,http://pitchatpalace.com,https://www.linkedin.com/company/pitch-palace,398,22,1
LocalGlobe,https://www.crunchbase.com/organization/localglobe,"Micro VC, Venture Capital",397,69,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed, Venture",LocalGlobe is a venture capital firm that focuses on seed and impact investments.,"Europe, Middle East, and Africa (EMEA)",2019-01-01,year,http://www.localglobe.vc,https://www.linkedin.com/company/localglobe,287,118,5
Outlier Ventures,https://www.crunchbase.com/organization/outlier-ventures-ltd-llp,Accelerator,327,5,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",The World's Leading Open Metaverse Accelerator and Web3 Investor,"Europe, Middle East, and Africa (EMEA)",2014-06-25,day,https://www.outlierventures.io,https://www.linkedin.com/company/outlierventures,326,52,1
Ascension,https://www.crunchbase.com/organization/ascension-ventures-limited,"Micro VC, Venture Capital",294,23,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",Ascension is an early-stage VC built by exited entrepreneurs to back the next generation of tech and impact founders.,"Europe, Middle East, and Africa (EMEA)",2012-09-01,day,https://www.ascension.vc,https://www.linkedin.com/company/ascensionvc,197,55,
Development Bank of Wales,https://www.crunchbase.com/organization/development-bank-of-wales,"Government Office, Micro VC",272,28,"Cardiff, Cardiff, United Kingdom","Debt, Early Stage Venture, Grant, Seed, Venture",Development Bank of Wales provides flexible finance for businesses based in Wales.,"Europe, Middle East, and Africa (EMEA)",2001-01-01,year,https://developmentbank.wales/,https://www.linkedin.com/company/development-bank-of-wales/,216,163,4
The FSE Group,https://www.crunchbase.com/organization/finance-south-east,Micro VC,210,9,"Camberley, Surrey, United Kingdom","Early Stage Venture, Seed",The FSE Group provides tailored funding solutions and support for ambitious and innovative small and medium enterprises.,"Europe, Middle East, and Africa (EMEA)",2002-01-01,day,http://www.thefsegroup.com,https://www.linkedin.com/company/the-fse-group/,178,159,
Bethnal Green Ventures,https://www.crunchbase.com/organization/bethnal-green-ventures,"Accelerator, Venture Capital",198,3,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",Bethnal Green Ventures (BGV) is Europe’s leading early stage tech for good VC.,"Europe, Middle East, and Africa (EMEA)",2012-01-01,year,https://bethnalgreenventures.com/apply,http://www.linkedin.com/company/bethnal-green-ventures,162,31,
DigitalHealth.London Accelerator,https://www.crunchbase.com/organization/digitalhealth-london-accelerator,Accelerator,195,24,"London, England, United Kingdom",Seed,"The Accelerator aims to speed up development of digital innovations across health and care, and pioneer their adoption by the NHS.","Europe, Middle East, and Africa (EMEA)",2016-01-01,year,http://digitalhealth.london/accelerator/,https://www.linkedin.com/company/digitalhealth.london,195,120,2
Haatch,https://www.crunchbase.com/organization/haatch,Accelerator,184,2,"Stamford, Lincolnshire, United Kingdom","Early Stage Venture, Seed",We accelerate Pre-Seed B2B SaaS companies to their first £1m ARR and build the infrastructure to get to £10m+.,"Europe, Middle East, and Africa (EMEA)",2013-09-01,day,http://www.haatch.com,http://www.linkedin.com/company/haatch,120,80,
Passion Capital,https://www.crunchbase.com/organization/passion-capital,Micro VC,183,24,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed, Venture",Passion Capital is an early stage venture capital firm based in London.,"Europe, Middle East, and Africa (EMEA)",2011-03-28,day,https://www.passioncapital.com/,http://www.linkedin.com/company/passion-capital,94,40,
Hackquarters,https://www.crunchbase.com/organization/hackquarters-startup-launchpad,"Accelerator, Corporate Venture Capital, Startup Competition",181,3,"London, England, United Kingdom",Seed,Hackquarters is an accelerator and incubator firm.,"Europe, Middle East, and Africa (EMEA)",2015-11-21,day,http://www.hackquarters.co,https://www.linkedin.com/company/hackquarters/,169,71,
7percent Ventures,https://www.crunchbase.com/organization/7-percent,"Micro VC, Venture Capital",154,12,"London, England, United Kingdom","Crowdfunding, Early Stage Venture, Seed, Venture","Ex-founders turned VCs, 7percent invests in early stage transformative and deep-tech startups and teams with moonshot ambitions.","Europe, Middle East, and Africa (EMEA)",2014-01-01,year,https://www.7pc.vc/,https://www.linkedin.com/company/7pcventures,110,15,
Pario Ventures,https://www.crunchbase.com/organization/pario-ventures,"Accelerator, Venture Capital",143,20,"London, England, United Kingdom","Crowdfunding, Debt, Early Stage Venture, Grant, Late Stage Venture, Post-Ipo, Seed, Venture","Pario works with entrepreneurs, CEOs, to identify and implement an exit strategy for the founder or shareholders including investment","Europe, Middle East, and Africa (EMEA)",2010-11-11,day,http://www.parioventures.com,https://www.linkedin.com/company/pario-ventures/,135,7,8
ACF Investors,https://www.crunchbase.com/organization/angel-cofund,"Angel Group, Government Office",141,20,"Sheffield, Sheffield, United Kingdom","Convertible Note, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",ACF Investors is a UK based venture capital fund that co-invests alongside syndicates of sector-smart angel investors.,"Europe, Middle East, and Africa (EMEA)",2011-11-01,day,https://www.acfinvestors.com,https://www.linkedin.com/company/angel-cofund/,104,42,4
Kreos Capital,https://www.crunchbase.com/organization/kreos-capital,"Venture Capital, Venture Debt",138,62,"London, England, United Kingdom","Debt, Early Stage Venture, Late Stage Venture, Private Equity",Kreos Capital is a growth debt firm that provides financing solutions for high-growth companies across Europe and Israel.,"Europe, Middle East, and Africa (EMEA)",1998-01-01,year,http://www.kreoscapital.com,https://www.linkedin.com/company/kreos-capital,117,56,30
Founders Factory,https://www.crunchbase.com/organization/founders-factory,"Accelerator, Incubator",134,16,"London, England, United Kingdom","Convertible Note, Early Stage Venture, Grant, Seed",Founders Factory builds and funds startups together with exceptional entrepreneurs and the world's leading companies.,"Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://foundersfactory.com/,https://www.linkedin.com/company/foundersfactory,128,47,
