Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
Innovate UK,https://www.crunchbase.com/organization/innovate-u-k-,"Entrepreneurship Program, Venture Capital","1,087",66,"Swindon, Wiltshire, United Kingdom",Grant,"Innovate UK holds funding competitions for businesses and research organizations in sectors, including emerging technologies.","Europe, Middle East, and Africa (EMEA)",1959-07-01,day,http://www.innovateuk.gov.uk,https://www.linkedin.com/company/innovateuk,872,799,28
Crowdcube,https://www.crunchbase.com/organization/crowdcube,Venture Capital,"1,034",32,"Exeter, Devon, United Kingdom",,Crowdcube enables individuals to invest in small companies in return for equity or an annual return.,"Europe, Middle East, and Africa (EMEA)",2010-08-01,day,https://www.crowdcube.com/,https://www.linkedin.com/company/crowdcube-limited/,815,36,5
Seedcamp,https://www.crunchbase.com/organization/seedcamp,"Accelerator, Micro VC, Venture Capital",606,68,"London, England, United Kingdom","Early Stage Venture, Seed",Seedcamp is a European seed fund that identifies and invests early in founders attacking global markets.,"Europe, Middle East, and Africa (EMEA)",2007-05-01,day,http://www.seedcamp.com,http://www.linkedin.com/company/seedcamp_2,418,82,2
Northstar Ventures,https://www.crunchbase.com/organization/northstar-ventures,Venture Capital,537,27,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom","Seed, Venture","Northstar Ventures is an early stage VC, working with mission-based founders trying to solve solve societal challenges.","Europe, Middle East, and Africa (EMEA)",2004-01-01,year,http://www.northstarventures.co.uk,http://www.linkedin.com/company/2395923,284,68,1
Eight Roads Ventures,https://www.crunchbase.com/organization/eight-roads-ventures,Venture Capital,537,115,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Venture","Eight Roads Ventures is a global venture capital firm managing $11bn of assets across offices in the UK, China, India, Japan, and the US.","Europe, Middle East, and Africa (EMEA)",1969-01-01,year,https://eightroads.com/en/,https://www.linkedin.com/company/eight-roads/?originalSubdomain=in,369,234,46
3i Group,https://www.crunchbase.com/organization/3i-group,"Private Equity Firm, Venture Capital",473,192,"London, England, United Kingdom","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture","3i is an international investment manager focused on mid-market Private Equity, Infrastructure & Debt Management.","Europe, Middle East, and Africa (EMEA)",1945-01-01,year,http://www.3i.com,http://www.linkedin.com/company/3i-group-plc,336,135,24
Business Growth Fund,https://www.crunchbase.com/organization/business-growth-fund,"Private Equity Firm, Venture Capital",463,89,"London, England, United Kingdom","Debt, Early Stage Venture, Private Equity",Business Growth Fund is an influential investor in small and mid-sized businesses.,"Europe, Middle East, and Africa (EMEA)",2011-02-02,day,https://www.bgf.co.uk,https://www.linkedin.com/company/1895032/,398,387,14
Entrepreneur First,https://www.crunchbase.com/organization/entrepreneur-first,"Accelerator, Venture Capital",451,33,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",Entrepreneur First brings ambitious founders together to build globally important technology companies.,"Europe, Middle East, and Africa (EMEA)",2011-09-01,day,http://www.joinef.com,https://www.linkedin.com/company/2340783,343,118,
SoftBank Vision Fund,https://www.crunchbase.com/organization/softbank-vision-fund,"Private Equity Firm, Venture Capital",447,66,"London, England, United Kingdom","Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",SoftBank Vision Fund specializes in growth capital and social impact investments.,"Europe, Middle East, and Africa (EMEA)",1990-01-01,year,https://visionfund.com,https://www.linkedin.com/company/softbank-investment-advisers,347,325,44
Octopus Ventures,https://www.crunchbase.com/organization/octopus-ventures,Venture Capital,435,58,"London, England, United Kingdom","Debt, Early Stage Venture, Late Stage Venture, Seed, Venture","Octopus Ventures is a venture capital firm that offers support to companies at various stages of their journey, from idea conception to IPO.","Europe, Middle East, and Africa (EMEA)",2008-01-01,year,http://www.octopusventures.com,https://www.linkedin.com/company/octopus-ventures,289,242,6
Balderton Capital,https://www.crunchbase.com/organization/balderton-capital,Venture Capital,428,84,"London, England, United Kingdom","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Secondary Market, Seed",Balderton Capital is a venture capital investor that supports technology businesses.,"Europe, Middle East, and Africa (EMEA)",2000-01-01,year,http://www.balderton.com,https://www.linkedin.com/company/balderton-capital_2,231,189,12
LocalGlobe,https://www.crunchbase.com/organization/localglobe,"Micro VC, Venture Capital",397,69,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed, Venture",LocalGlobe is a venture capital firm that focuses on seed and impact investments.,"Europe, Middle East, and Africa (EMEA)",2019-01-01,year,http://www.localglobe.vc,https://www.linkedin.com/company/localglobe,287,118,5
Future Planet Capital,https://www.crunchbase.com/organization/future-planet-capital,Venture Capital,376,22,"London, England, United Kingdom","Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",Future Planet is an impact-led venture capital firm that invests in technology and life science companies from leading research centres,"Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://futureplanetcapital.com,https://www.linkedin.com/company/future-planet-capital,173,10,2
Par Equity,https://www.crunchbase.com/organization/par-equity,Venture Capital,374,16,"Edinburgh, Edinburgh, City of, United Kingdom","Early Stage Venture, Seed, Venture","Par Equity is a leading, early-stage venture capital firm, investing in innovative, high growth technology companies.","Europe, Middle East, and Africa (EMEA)",2008-01-01,year,http://www.parequity.com,http://www.linkedin.com/company/par-equity-llp,84,186,
