Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
Techstars,https://www.crunchbase.com/organization/techstars,"Accelerator, Venture Capital","6,164",514,"Boulder, Colorado, United States","Convertible Note, Early Stage Venture, Non Equity Assistance, Seed, Venture",Techstars is an accelerator that provides pre-seed investment and mentoring for various early stage startups.,"Greater Denver Area, Western US",2006-08-01,day,https://www.techstars.com,https://www.linkedin.com/company/techstars,"4,664","3,245",15
500 Global,https://www.crunchbase.com/organization/500-startups,"Accelerator, Angel Group, Micro VC, Venture Capital","3,160",388,"San Francisco, California, United States","Early Stage Venture, Late Stage Venture, Seed, Venture",500 Global is a multi-stage venture capital firm that invests in founders building fast-growing technology companies.,"San Francisco Bay Area, West Coast, Western US",2010-07-30,day,http://500.co,https://www.linkedin.com/company/500global,"2,416",477,20
SOSV,https://www.crunchbase.com/organization/sosv,"Accelerator, Venture Capital","2,815",80,"Princeton, New Jersey, United States","Early Stage Venture, Seed",SOSV is a deep tech venture firm that invests from a startup's inception and operates the HAX and IndieBio programs.,"East Coast, Northeastern US",1994-04-19,day,https://sosv.com,https://www.linkedin.com/company/sosv,"1,413","1,127",8
New Enterprise Associates,https://www.crunchbase.com/organization/new-enterprise-associates,Venture Capital,"2,213",610,"Menlo Park, California, United States","Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Venture",New Enterprise Associates is a venture capital firm that focuses on investments in technology and healthcare startups.,"San Francisco Bay Area, Silicon Valley, West Coast",1977-01-01,day,http://www.nea.com,https://www.linkedin.com/company/new-enterprise-associates,"1,183",781,220
Accel,https://www.crunchbase.com/organization/accel,Venture Capital,"2,137",390,"Palo Alto, California, United States","Convertible Note, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",Accel is an seed and growth-stage venture capital firm that helps a global community of entrepreneurs.,"San Francisco Bay Area, Silicon Valley, West Coast",1983-01-01,year,http://www.accel.com,https://www.linkedin.com/company/accel-vc,"1,038",856,69
Sequoia Capital,https://www.crunchbase.com/organization/sequoia-capital,Venture Capital,"2,073",412,"Menlo Park, California, United States","Crowdfunding, Early Stage Venture, Initial Coin Offering, Late Stage Venture, Post-Ipo, Seed, Venture","Sequoia Capital is a VC firm that invests in startups in the energy, financial, enterprise, healthcare, internet, and mobile industries.","San Francisco Bay Area, Silicon Valley, West Coast",1972-11-01,day,http://www.sequoiacap.com,http://www.linkedin.com/company/sequoia,"1,156",771,130
Plug and Play,https://www.crunchbase.com/organization/plug-and-play-ventures,"Accelerator, Co-Working Space, University Program, Venture Capital","1,951",182,"Sunnyvale, California, United States","Early Stage Venture, Non Equity Assistance, Private Equity, Seed",Plug and Play is an innovation platform bringing together startups and large corporations.,"San Francisco Bay Area, Silicon Valley, West Coast",2006-01-01,year,https://www.plugandplaytechcenter.com,https://www.linkedin.com/company/plug-and-play-tech-center,"1,587",220,11
Alumni Ventures,https://www.crunchbase.com/organization/alumni-ventures-group,"Angel Group, Hedge Fund, Micro VC, Venture Capital","1,876",165,"Manchester, New Hampshire, United States","Convertible Note, Early Stage Venture, Initial Coin Offering, Late Stage Venture, Seed, Venture",Alumni Ventures Group is a venture capital investment firm that manages fund families that invest in a portfolio of companies.,"East Coast, New England, Northeastern US",2014-01-01,year,http://www.av.vc,https://www.linkedin.com/company/alumniventures,"1,412",315,22
Andreessen Horowitz,https://www.crunchbase.com/organization/andreessen-horowitz,Venture Capital,"1,628",240,"Menlo Park, California, United States","Early Stage Venture, Late Stage Venture, Seed, Venture",Andreessen Horowitz is a stage-agnostic venture capital firm with assets under management across multiple funds.,"San Francisco Bay Area, Silicon Valley, West Coast",2009-06-01,month,http://www.a16z.com,https://www.linkedin.com/company/a16z,911,732,39
FJ Labs,https://www.crunchbase.com/organization/fj-labs,"Micro VC, Venture Capital","1,504",99,"New York, New York, United States","Early Stage Venture, Late Stage Venture, Seed, Venture",FJ Labs is a stage-agnostic investment firm that focuses on marketplaces and consumer facing startups.,"Greater New York Area, East Coast, Northeastern US",2015-01-01,year,http://www.fjlabs.com,https://www.linkedin.com/company/fj-labs,975,56,16
