Transaction Name,Transaction Name URL,Acquiree Headquarters Location,Acquiree Name,Acquiree Name URL,Acquirer Name,Acquirer Name URL,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,Price,Price Currency,Price (in USD),Acquiree Description,Acquiree Last Funding Type,Acquiree Industries,Acquiree's Website,Acquiree Headquarters Regions,Acquiree's Estimated Revenue Range,Acquiree Funding Status,Acquiree's Number of Funding Rounds,Acquiree's Total Funding Amount,Acquiree's Total Funding Amount Currency,Acquiree's Total Funding Amount (in USD),Acquirer's Description,Acquirer Industries,Acquirer Headquarters Location,Acquirer Headquarters Regions,Acquirer's Website,Acquirer's Estimated Revenue Range,Acquirer's Total Funding Amount,Acquirer's Total Funding Amount Currency,Acquirer's Total Funding Amount (in USD),Acquirer Funding Status,Acquirer's Number of Funding Rounds,CB Rank (Acquisition)
11 Freunde acquired by Spiegel Group,https://www.crunchbase.com/acquisition/spiegel-online-acquires-11-freunde--c14ac22b,"Berlin, Berlin, Germany",11 Freunde,https://www.crunchbase.com/organization/11-freunde,Spiegel Group,https://www.crunchbase.com/organization/spiegel-online,2023-08-29,day,Acquisition,,,,,11FREUNDE has everything important and unimportant in the world of football. ,,Publishing,https://www.11freunde.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,,,,,Spiegel Group is a news magazine company.,"Internet, News, Publishing","Hamburg, Hamburg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.spiegelgruppe.de,$10M to $50M,,,,,,"145,029"
4scotty acquired by WeAreDevelopers,https://www.crunchbase.com/acquisition/wearedevelopers-acquires-4scotty-gmbh--70587c46,"Berlin, Berlin, Germany",4scotty,https://www.crunchbase.com/organization/4scotty-gmbh,WeAreDevelopers,https://www.crunchbase.com/organization/wearedevelopers,2023-03-01,day,Acquisition,,,,,4scotty is a reverse job marketplace for software and IT professionals .,Seed,"Human Resources, Information Technology, Internet, Outsourcing, Recruiting, Software",http://www.4scotty.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,2,,,,"Europe’s leading career platform providing developers with perfectly matching job offers, insightful tech content, and outstanding events.","Classifieds, Events, Human Resources, Recruiting","Vienna, Wien, Austria","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.wearedevelopers.com/,$1M to $10M,4200000,EUR,4812163,,3,"140,376"
7Mind acquired by S_dwestdeutsche Medien Holding GmbH,https://www.crunchbase.com/acquisition/s-dwestdeutsche-medien-holding-gmbh-acquires-7mind--945bf46a,"Berlin, Berlin, Germany",7Mind,https://www.crunchbase.com/organization/7mind,S_dwestdeutsche Medien Holding GmbH,https://www.crunchbase.com/organization/s-dwestdeutsche-medien-holding-gmbh,2020-01-20,day,Acquisition,,,,,"7Mind empowers people and organizations alike to lead healthy, happy and purpose-driven lives.",Seed,"Apps, Fitness, Health Care, Mobile, Wellness",https://7mind.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,1,,,,"Südwestdeutsche Medienholding (SWMH), based in Stuttgart, is one of the most important media groups in Germany.",Publishing,"Stuttgart, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.swmh.de/,,,,,,,"76,499"
7Mind acquired by 7NXT Health GmbH,https://www.crunchbase.com/acquisition/7nxt-health-gmbh-acquires-7mind--c7216cbf,"Berlin, Berlin, Germany",7Mind,https://www.crunchbase.com/organization/7mind,7NXT Health GmbH,https://www.crunchbase.com/organization/7nxt-health-gmbh,2023-12-22,day,Acquisition,,,,,"7Mind empowers people and organizations alike to lead healthy, happy and purpose-driven lives.",Seed,"Apps, Fitness, Health Care, Mobile, Wellness",https://7mind.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,1,,,,7NXT Health GmbH provides online fitness programs.,"Fitness, Health Care, Internet, Wellness","Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,,M&A,,"131,037"
8fit acquired by Withings,https://www.crunchbase.com/acquisition/withings-acquires-8fit--29508b14,"Berlin, Berlin, Germany",8fit,https://www.crunchbase.com/organization/8fit,Withings,https://www.crunchbase.com/organization/withings,2022-02-02,day,Acquisition,,,,,8fit is a app that helps to build healthy habits for life with simple solutions.,Series A,"Apps, Fitness, Health Care, Mobile Apps",http://8fit.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,6,9843359,USD,9843359,Withings is a developer of digital health and wellness smart devices such as fitness trackers and watches.,"Apps, Consumer Electronics, Health Care, Software, Wellness","Issy-les-moulineaux, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.withings.com,$50M to $100M,93846119,USD,93846119,M&A,3,"147,717"
Aaron.ai acquired by Doctolib,https://www.crunchbase.com/acquisition/doctolib-acquires-aaron-ai-2--90855206,"Berlin, Berlin, Germany",Aaron.ai,https://www.crunchbase.com/organization/aaron-ai-2,Doctolib,https://www.crunchbase.com/organization/doctolib,2024-05-22,day,Acquisition,,,,,Aaron.ai is the Doctor Assistant powered by conversational AI,Seed,"Artificial Intelligence (AI), Health Care, Internet, Machine Learning, SaaS",https://aaron.ai/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,3,3500000,EUR,3665681,Doctolib is an online and mobile booking platform that helps users find doctors and make appointments.,"Health Care, Medical, Mobile Apps, Professional Services","Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.doctolib.fr,$500M to $1B,815029943,USD,815029943,Late Stage Venture,9,"10,904"
Acatus acquired by Pactum,https://www.crunchbase.com/acquisition/pactum-8753-acquires-acatus--14fb2308,"Berlin, Berlin, Germany",Acatus,https://www.crunchbase.com/organization/acatus,Pactum,https://www.crunchbase.com/organization/pactum-8753,2021-11-11,day,Acquisition,,,,,Acatus is a financial services company that offers a debt capital markets platform for banks and other organizations.,Private Equity,"Banking, Financial Services, FinTech, Information Technology",https://acatus.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Less than $1M,M&A,2,1500000,EUR,1655220,Pactum provides working capital finance for a wide range of industry leaders.,"Business Development, Finance, Financial Services","Zürich, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)",https://www.pactum.ch/,,,,,,,"52,679"
acht+ acquired by Cushman & Wakefield,https://www.crunchbase.com/acquisition/cushman-wakefield-acquires-acht--a10fd57c,"Berlin, Berlin, Germany",acht+,https://www.crunchbase.com/organization/acht,Cushman & Wakefield,https://www.crunchbase.com/organization/cushman-wakefield,2020-01-13,day,Acquisition,,,,,"Acht+ specializes in project management, technical due diligence, project general planning and cost management.",,"Project Management, Real Estate",https://acht.plus/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,"Cushman & Wakefield is a real estate services firm that offers retail investment, energy management, and property services.","Commercial, Commercial Real Estate, Consulting, Leasing, Legal, Property Management","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",https://www.cushmanwakefield.com,$1B to $10B,734800000,USD,734800000,M&A,6,"81,242"
Adjust acquired by AppLovin,https://www.crunchbase.com/acquisition/applovin-acquires-adjust-bi--2a9292e1,"Berlin, Berlin, Germany",Adjust,https://www.crunchbase.com/organization/adjust-bi,AppLovin,https://www.crunchbase.com/organization/applovin,2021-02-03,day,Acquisition,,1000000000,USD,1000000000,"Adjust, an AppLovin (NASDAQ: APP) company, is trusted by marketers around the world to measure and grow their apps across platforms.",Series E,"Analytics, App Marketing, Apps, Marketing Automation, Mobile Advertising, Software",https://www.adjust.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$100M to $500M,M&A,6,255910525,USD,255910525,AppLovin makes technologies that help businesses of every size connect to their ideal customers.,"Advertising, Developer Tools, Mobile, Mobile Apps","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",https://www.applovin.com,$500M to $1B,5120856691,USD,5120856691,IPO,12,"17,404"
Adspert acquired by Mirakl,https://www.crunchbase.com/acquisition/mirakl-acquires-adspert--67f8ad90,"Berlin, Berlin, Germany",Adspert,https://www.crunchbase.com/organization/adspert,Mirakl,https://www.crunchbase.com/organization/mirakl,2024-12-10,day,Acquisition,,,,,"Powerful PPC optimization tool powered by best ad-tech AI. Maximize your profit with Adspert on Amazon, eBay, Google and Bing!",Non-equity Assistance,"Advertising, Internet, Marketing, Search Engine",https://www.adspert.net,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Less than $1M,M&A,3,1300000,USD,1300000,Mirakl is a SaaS solution that helps enterprises manage their marketplace and drop-ship business.,"E-Commerce, Enterprise Software, Marketplace, SaaS","Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.mirakl.com,$100M to $500M,1058076999,USD,1058076999,Late Stage Venture,6,"2,353"
