Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
123makler,https://www.crunchbase.com/organization/123makler,Active,,"Commercial Real Estate, Marketplace, Real Estate","Berlin, Berlin, Germany",123makler.de With us you find the perfect broker for your property.,"381,175","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2015-01-01,year,,,,,For Profit,https://www.123makler.de/,https://twitter.com/123Makler,https://www.facebook.com/123Makler,https://www.linkedin.com/company/123makler,"123makler is a transparent and big data marketplace for the realtor industry. It allows homeowners to find the right realtor for their property. 123makler ranks realtors according to their experience and records of accomplishment with properties. It also enables homeowners to contract realtors directly through its website. Based in Berlin, Germany, 123makler was launched in 2015.","Commerce and Shopping, Real Estate",3,11-50,"Christian Winkler, Fabian Winkler, Kai Koch",1,Seed,2016-06-01,,,,Seed,,,,Seed,,,,,,,ProSiebenSat.1 Accelerator,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
12K Research,https://www.crunchbase.com/organization/12k-research,Active,,"Artificial Intelligence (AI), Data Mining, Enterprise Software, Innovation Management, Software","Berlin, Berlin, Germany",A tech-driven research company. We combine smart algorithms with a deep understanding of the tech landscape to help companies stay ahead.,"1,123,597","European Union (EU), Europe, Middle East, and Africa (EMEA)",10179,Less than $1M,2015-10-01,month,2019-07-04,day,,,For Profit,https://12k.co/,https://www.twitter.com/12kresearch,,https://www.linkedin.com/company/12k-research-ug-haftungsbeschränkt-,12K Research is a software company operating at the intersection of artificial intelligence and data science.,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",,1-10,,1,M&A,2015-10-02,,,,Convertible Note,,,,,,,,,,,Project Flying Elephant,,1,,Was Acquired,12K Research acquired by hy - the Axel Springer ecosystem firm,https://www.crunchbase.com/acquisition/hy-acquires-12k-research--6a6e2905,hy - the Axel Springer ecosystem firm,https://www.crunchbase.com/organization/hy,2019-07-04,day,,,,Acquisition,,Private,,,,,,,,,,,
3G Proxy,https://www.crunchbase.com/organization/3g-proxy,Active,,Internet,"Berlin, Berlin, Germany","3G Proxy is enabling you to test your services, analyze competition and look for vulnerabilities.","1,058,909","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2017-01-01,year,,,,,For Profit,https://3gproxy.com/,https://twitter.com/3GProxy1,https://www.facebook.com/3GProxy,https://www.linkedin.com/company/3gproxy/,"3G Proxy is enabling you to test your services, analyze competition and look for vulnerabilities, using mobile carriers from all around the world.their web interface allows you to manage your testing using your browser with a proxy of the selected country/mobile carrier. You can also send/receive messages using the web platform in a nicely designed overview. -3G Proxy makes it possible to test mobile offers as well using your own device.",Internet Services,1,11-50,Artjom Pusch,1,Seed,2018-06-01,,,,Seed,,,,Seed,,,,,,,Langenberg Ventures,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
5thIndustry,https://www.crunchbase.com/organization/5thindustry,Active,,"Apps, Productivity Tools","Berlin, Berlin, Germany",5thIndustry is an IT services firm that provides apps for people in production to perform their daily tasks easily and transparently.,"1,178,107","European Union (EU), Europe, Middle East, and Africa (EMEA)",10245,,2018-01-01,year,,,,,For Profit,https://5thindustry.de/,,,https://www.linkedin.com/company/5thindustry/about/,5thIndustry is an IT services firm that provides apps for people in production to perform their daily tasks easily and transparently.  It allows for tasks from order management to maintenance and quality documentation.,"Apps, Software",,11-50,,1,,2021-03-09,,,,Non-equity Assistance,,,,,,,,,,,Google for Startups,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
7Fields,https://www.crunchbase.com/organization/7fields,Active,,"Artificial Intelligence (AI), E-Learning, EdTech, Human Resources, Information Technology, Machine Learning, SaaS","Berlin, Berlin, Germany","Integrated AI-enabled Development & Coaching Platform , SaaS, Mobile App","605,734","European Union (EU), Europe, Middle East, and Africa (EMEA)",13507,Less than $1M,2018-04-01,day,,,,,For Profit,https://www.7fields.io,,,https://www.linkedin.com/company/7fields/,"7Fields is a digital AI-enabled B2B-platform for Coaching & Development  We provide high quality personal development for companies at a much lower price point, via a subscription model.","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Science and Engineering, Software",1,1-10,Guido Fiolka,1,Seed,2018-04-01,,,,Pre-Seed,,,,Pre-Seed,,,,,,,Push! Founders,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
7Learnings,https://www.crunchbase.com/organization/7learnings,Active,,"B2B, E-Commerce, SaaS, Software","Berlin, Berlin, Germany",Price Optimization SaaS for online retailers,"149,333","European Union (EU), Europe, Middle East, and Africa (EMEA)",10179,$1M to $10M,2019-01-30,day,,,,,For Profit,http://7Learnings.com,,,https://www.linkedin.com/company/14038913/,"7Learnings provides a software service to help e-commerce companies optimize their prices. Thanks to our algorithm, online retailers can save up to 10% of discounts while achieving the same revenue. This works by  identifying and eliminating unnecessary discounts. At the same time, more discounts will be channeled into products with higher price elasticity. Our software also enables smaller pricing teams to use advanced retail pricing methods with our easy to use front-end.","Commerce and Shopping, Other, Software",1,11-50,Felix Hoffmann,2,Seed,2022-05-16,4000000,EUR,4175579,Seed,4000000,EUR,4175579,Seed,4000000,EUR,4175579,4000000,EUR,4175579,"HTGF | High-Tech Gruenderfonds, Ventech, Elmar Broscheit",,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
8returns,https://www.crunchbase.com/organization/8returns,Active,,"Consumer Software, E-Commerce, E-Commerce Platforms, Internet","Berlin, Berlin, Germany",8returns is a self-service returns center for eCommerce stores that want to automate returns & improve customer experience.,"56,741","European Union (EU), Europe, Middle East, and Africa (EMEA)",12345,Less than $1M,2020-01-01,year,,,,,For Profit,https://www.8returns.com,https://twitter.com/8returns,,https://www.linkedin.com/company/8returns/about/,8returns is a self-service returns center for eCommerce stores that want to automate returns & improve customer experience.,"Commerce and Shopping, Internet Services, Software",1,1-10,Amin Ben Said,2,Seed,2021-08-04,800000,EUR,947040,Angel,800000,EUR,947040,Angel,800000,EUR,947040,800000,EUR,947040,"Mario Götze, Verena Pausder, JVH Ventures, Tamaz Georgadze, Johannes Schaback",,14,,,,,,,,,,,,,,Private,,,,,,,,,,,
Aaron.ai,https://www.crunchbase.com/organization/aaron-ai-2,Active,,"Artificial Intelligence (AI), Health Care, Internet, Machine Learning, SaaS","Berlin, Berlin, Germany",Aaron.ai is the Doctor Assistant powered by conversational AI,"27,629","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2015-06-01,day,2024-05-22,day,,,For Profit,https://aaron.ai/,https://twitter.com/aarondotai,https://www.facebook.com/aarondotai/,https://www.linkedin.com/company/aaron-gmbh/,"Aaron.ai is the Doctor Assistant powered by conversational AI. The software-as-a-service product bridges the widening gap between a shortage of health care staff and an increasingly demanding, ageing population. Thousands of doctors already use our conversational phone assistant, which also supports the German Federal Ministry of Health and the National Medical Association in fighting the pandemic.","Artificial Intelligence (AI), Data and Analytics, Health Care, Internet Services, Science and Engineering, Software",3,51-100,"Iwan Lappo-Danilewski, Richard von Schaewen, Tobias Wagenführer",3,M&A,2022-05-18,3500000,EUR,3665681,Seed,3500000,EUR,3665681,Seed,3500000,EUR,3665681,3500000,EUR,3665681,"Plug and Play, IBB Ventures, BonVenture, Futury Capital, Mücke Roth & Company",,6,,Was Acquired,Aaron.ai acquired by Doctolib,https://www.crunchbase.com/acquisition/doctolib-acquires-aaron-ai-2--90855206,Doctolib,https://www.crunchbase.com/organization/doctolib,2024-05-22,day,,,,Acquisition,,Private,,,,,,,,,,,
AAZZUR,https://www.crunchbase.com/organization/aazzur,Active,,"Banking, FinTech, InsurTech, Mobile Apps, PaaS","Berlin, Berlin, Germany","Embedding financial products into user journeys for FinTechs, banks and corporates – at the point of need, without building a tech stack.","10,196","European Union (EU), Europe, Middle East, and Africa (EMEA)",10623,$1M to $10M,2017-09-01,day,,,,,For Profit,http://www.aazzur.com,https://twitter.com/aazzur_,https://www.facebook.com/aazzur/,https://www.linkedin.com/company/aazzur/about/,"AAZZUR is a fintech orchestration platform that enables our clients to build or embed fintech services.   We deliver our services at the point-of-need; contextually; without the need to invest in a fintech tech stack. If you want to offer B2B credit, for example, this requires a customer to work with 3-5 tech providers, several license providers and an integration partner.   We simplify this to one or two contracts, no platform investment and a radically quicker time to market.  We deliver front-end components that range from banking to insurance with curated best-of-class suppliers attached. They are abstracted and made interoperable. We drive conversion, revenue, reduce costs and reduce churn.","Apps, Financial Services, Lending and Investments, Mobile, Software",2,11-50,"Martin Damaske, Philipp Buschmann",5,Seed,2023-10-17,,,,Seed,,,,Seed,2225000,EUR,2678860,2225000,EUR,2678860,"Techstars, Alumni Ventures, Tenity, SIX, Generali Group",3,12,,,,,,,,,,,,,,Private,,,,,,,,,,,1
ABATONHealth,https://www.crunchbase.com/organization/abatonhealth,Active,,"Health Care, Medical, Wellness","Berlin, Berlin, Germany",ABATONHealth develops a digital application that enables patients with rheumatoid arthritis to receive high-quality therapy.,"831,495","European Union (EU), Europe, Middle East, and Africa (EMEA)",10117,,2018-01-01,year,,,,,For Profit,https://www.abaton.info/,https://twitter.com/abatonhealth,https://www.facebook.com/,https://www.linkedin.com/company/abatonhealth/,ABATONHealth develops a digital application that enables patients with rheumatoid arthritis to receive high-quality therapy.,Health Care,1,1-10,Manuel Grahammer,1,Seed,2018-07-23,,,,Seed,,,,Seed,,,,,,,Startupbootcamp,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
