Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Grant - 1000Kelvin,https://www.crunchbase.com/funding_round/1000kelvin-grant--7bc3d645,1000Kelvin,https://www.crunchbase.com/organization/1000kelvin,Grant,"Berlin, Berlin, Germany, Europe",,EUR,,2022-05-01,,,,,No,1000Kelvin solves additive manufacturing problems with artificial intelligence solutions.,"3D Printing, Artificial Intelligence (AI), Software",,https://1000kelvin.com/,,,EUR,,Seed,2,,,,,"142,723"
Pre Seed Round - 1000Kelvin,https://www.crunchbase.com/funding_round/1000kelvin-pre-seed--d4d93a09,1000Kelvin,https://www.crunchbase.com/organization/1000kelvin,Pre-Seed,"Berlin, Berlin, Germany, Europe",,EUR,,2022-01-01,Seed,,,,Yes,1000Kelvin solves additive manufacturing problems with artificial intelligence solutions.,"3D Printing, Artificial Intelligence (AI), Software",,https://1000kelvin.com/,,,EUR,,Seed,2,,,,,"474,546"
Series A - 35up,https://www.crunchbase.com/funding_round/35up-series-a--9e1c2a09,35up,https://www.crunchbase.com/organization/35up,Series A,"Berlin, Berlin, Germany, Europe",5000000,USD,5000000,2022-09-29,Early Stage Venture,,,,Yes,Bringing Embedded Cross-Selling into every online checkout.,"Artificial Intelligence (AI), E-Commerce, E-Commerce Platforms, Internet, Machine Learning, SaaS, Software",,https://35up.com,$100M to $500M,8300000,USD,8300000,Early Stage Venture,2,Capnamic Ventures,3,4,"Capnamic Ventures, coparion, DvH Ventures","536,911"
Seed Round - 7Learnings,https://www.crunchbase.com/funding_round/7learnings-seed--d645529f,7Learnings,https://www.crunchbase.com/organization/7learnings,Seed,"Berlin, Berlin, Germany, Europe",4000000,EUR,4175579,2022-05-16,Seed,,,,Yes,Price Optimization SaaS for online retailers,"B2B, E-Commerce, SaaS, Software",,http://7Learnings.com,$1M to $10M,4000000,EUR,4175579,Seed,2,,2,,"HTGF | High-Tech Gruenderfonds, Ventech","233,206"
Seed Round - Aaron.ai,https://www.crunchbase.com/funding_round/aaron-ai-2-seed--736a1743,Aaron.ai,https://www.crunchbase.com/organization/aaron-ai-2,Seed,"Berlin, Berlin, Germany, Europe",3500000,EUR,3665681,2022-05-18,Seed,,,,Yes,Aaron.ai is the Doctor Assistant powered by conversational AI,"Artificial Intelligence (AI), Health Care, Internet, Machine Learning, SaaS",,https://aaron.ai/,$1M to $10M,3500000,EUR,3665681,M&A,3,,3,3,"BonVenture, Futury Capital, IBB Ventures","422,715"
Private Equity Round - Acatus,https://www.crunchbase.com/funding_round/acatus-private-equity--41b0be29,Acatus,https://www.crunchbase.com/organization/acatus,Private Equity,"Berlin, Berlin, Germany, Europe",,,,2022-01-01,Private Equity,,,,Yes,Acatus is a financial services company that offers a debt capital markets platform for banks and other organizations.,"Banking, Financial Services, FinTech, Information Technology",,https://acatus.com/,Less than $1M,1500000,EUR,1655220,M&A,2,,1,,Platina Partners,"223,399"
Pre Seed Round - accessia,https://www.crunchbase.com/funding_round/accessia-pre-seed--c9ce541e,accessia,https://www.crunchbase.com/organization/accessia,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2022-05-01,Seed,,,,Yes,Track and manage software subscriptions,"Business Development, Productivity Tools, Software",,https://accessia.io,,,,,Seed,1,,1,,APX,"103,674"
Private Equity Round - Acrolinx,https://www.crunchbase.com/funding_round/acrolinx-gmbh-private-equity--1425e732,Acrolinx,https://www.crunchbase.com/organization/acrolinx-gmbh,Private Equity,"Berlin, Berlin, Germany, Europe",,,,2022-05-13,Private Equity,,,,Yes,Acrolinx is a leading global provider of highly scalable and proven AI software for enterprise content creation.,"Artificial Intelligence (AI), Content Marketing, Enterprise Software, Software",,http://www.acrolinx.com,$10M to $50M,60000000,USD,60000000,Private Equity,4,EMH Partners,1,1,EMH Partners,"626,463"
Series B - Ada Health,https://www.crunchbase.com/funding_round/adahealth-series-b--04ae80be,Ada Health,https://www.crunchbase.com/organization/adahealth,Series B,"Berlin, Berlin, Germany, Europe",30000000,USD,30000000,2022-02-10,Early Stage Venture,,,,Yes,Ada Health is a digital health company that helps to diagnose symptoms and offer treatment advice using an AI-enabled platform.,"Apps, Artificial Intelligence (AI), Health Care, Medical, mHealth",,https://ada.com/,$10M to $50M,189497394,USD,189497394,Early Stage Venture,5,,3,2,"Bertelsmann, Farallon Capital Management, Red River West","402,403"
Convertible Note - Adrenomed,https://www.crunchbase.com/funding_round/adrenomed-ag-convertible-note--942c20f7,Adrenomed,https://www.crunchbase.com/organization/adrenomed-ag,Convertible Note,"Berlin, Berlin, Germany, Europe",,,,2022-01-04,,,,,No,"Adrenomed is a privately-financed, clinical-stage biopharmaceutical company.","Biotechnology, Medical, Pharmaceutical",,http://www.adrenomed.com,$1M to $10M,49114581,EUR,56828268,Late Stage Venture,7,,2,,"HBM Healthcare Investments, HBM Partners","154,805"
