Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Series A - 35up,https://www.crunchbase.com/funding_round/35up-series-a--9e1c2a09,35up,https://www.crunchbase.com/organization/35up,Series A,"Berlin, Berlin, Germany, Europe",5000000,USD,5000000,2022-09-29,Early Stage Venture,,,,Yes,Bringing Embedded Cross-Selling into every online checkout.,"Artificial Intelligence (AI), E-Commerce, E-Commerce Platforms, Internet, Machine Learning, SaaS, Software",,https://35up.com,$100M to $500M,8300000,USD,8300000,Early Stage Venture,2,Capnamic Ventures,3,4,"Capnamic Ventures, coparion, DvH Ventures","536,911"
Series A - 3YOURMIND,https://www.crunchbase.com/funding_round/3yourmind-gmbh-series-a--05b7fcd9,3YOURMIND,https://www.crunchbase.com/organization/3yourmind-gmbh,Series A,"Berlin, Berlin, Germany, Europe",6900000,USD,6900000,2021-04-22,Early Stage Venture,,,,Yes,"Automation software to manage additive manufacturing part selection, ordering and production workflows for Industry 4.0.","3D Printing, 3D Technology, Enterprise Software, Industrial Manufacturing, Manufacturing, Software",,http://www.3yourmind.com,Less than $1M,27359690,USD,27359690,Early Stage Venture,6,,9,1,"AM Ventures, coparion, EnBW New Ventures, Landesbank Baden Wurttemberg, LBBW VC, Saudi Aramco Energy Ventures, TRUMPF Venture, UVC Partners, Verve Ventures","183,277"
Series A - 3YOURMIND,https://www.crunchbase.com/funding_round/3yourmind-gmbh-series-a--bcfc49a5,3YOURMIND,https://www.crunchbase.com/organization/3yourmind-gmbh,Series A,"Berlin, Berlin, Germany, Europe",5500000,USD,5500000,2020-09-07,Early Stage Venture,,,,Yes,"Automation software to manage additive manufacturing part selection, ordering and production workflows for Industry 4.0.","3D Printing, 3D Technology, Enterprise Software, Industrial Manufacturing, Manufacturing, Software",,http://www.3yourmind.com,Less than $1M,27359690,USD,27359690,Early Stage Venture,6,EnBW New Ventures,5,1,"AM Ventures, coparion, EnBW New Ventures, TRUMPF Venture, UVC Partners","229,436"
Series A - ablefy,https://www.crunchbase.com/funding_round/elopage-series-a--dcd59483,ablefy,https://www.crunchbase.com/organization/elopage,Series A,"Berlin, Berlin, Germany, Europe",32000000,EUR,37611218,2021-08-26,Early Stage Venture,,,,Yes,ablefy is a SaaS company that enables entrepreneurs to start and scale their digital business with digital products and automated sales.,"E-Commerce, Internet, Internet of Things, Mobile Payments, Payments, Small and Medium Businesses, Software",,https://ablefy.io/,$10M to $50M,32000000,EUR,37611218,Early Stage Venture,1,Target Global,3,1,"Avid Ventures, Partech, Target Global","92,558"
Private Equity Round - Acatus,https://www.crunchbase.com/funding_round/acatus-private-equity--41b0be29,Acatus,https://www.crunchbase.com/organization/acatus,Private Equity,"Berlin, Berlin, Germany, Europe",,,,2022-01-01,Private Equity,,,,Yes,Acatus is a financial services company that offers a debt capital markets platform for banks and other organizations.,"Banking, Financial Services, FinTech, Information Technology",,https://acatus.com/,Less than $1M,1500000,EUR,1655220,M&A,2,,1,,Platina Partners,"223,399"
Private Equity Round - Acrolinx,https://www.crunchbase.com/funding_round/acrolinx-gmbh-private-equity--1425e732,Acrolinx,https://www.crunchbase.com/organization/acrolinx-gmbh,Private Equity,"Berlin, Berlin, Germany, Europe",,,,2022-05-13,Private Equity,,,,Yes,Acrolinx is a leading global provider of highly scalable and proven AI software for enterprise content creation.,"Artificial Intelligence (AI), Content Marketing, Enterprise Software, Software",,http://www.acrolinx.com,$10M to $50M,60000000,USD,60000000,Private Equity,4,EMH Partners,1,1,EMH Partners,"626,463"
Series B - Ada Health,https://www.crunchbase.com/funding_round/adahealth-series-b--06062337,Ada Health,https://www.crunchbase.com/organization/adahealth,Series B,"Berlin, Berlin, Germany, Europe",74000000,EUR,90227617,2021-05-27,Early Stage Venture,,,,Yes,Ada Health is a digital health company that helps to diagnose symptoms and offer treatment advice using an AI-enabled platform.,"Apps, Artificial Intelligence (AI), Health Care, Medical, mHealth",,https://ada.com/,$10M to $50M,189497394,USD,189497394,Early Stage Venture,5,Leaps by Bayer,6,1,"F4, Inteligo, Leaps by Bayer, Mutschler Ventures AG, Samsung Catalyst Fund, Vitruvian Partners","287,813"
Series B - Ada Health,https://www.crunchbase.com/funding_round/adahealth-series-b--04ae80be,Ada Health,https://www.crunchbase.com/organization/adahealth,Series B,"Berlin, Berlin, Germany, Europe",30000000,USD,30000000,2022-02-10,Early Stage Venture,,,,Yes,Ada Health is a digital health company that helps to diagnose symptoms and offer treatment advice using an AI-enabled platform.,"Apps, Artificial Intelligence (AI), Health Care, Medical, mHealth",,https://ada.com/,$10M to $50M,189497394,USD,189497394,Early Stage Venture,5,,3,2,"Bertelsmann, Farallon Capital Management, Red River West","402,403"
Series E - Adrenomed,https://www.crunchbase.com/funding_round/adrenomed-ag-series-e--4f9a8f04,Adrenomed,https://www.crunchbase.com/organization/adrenomed-ag,Series E,"Berlin, Berlin, Germany, Europe",22200000,EUR,26501134,2020-11-30,Late Stage Venture,,,,Yes,"Adrenomed is a privately-financed, clinical-stage biopharmaceutical company.","Biotechnology, Medical, Pharmaceutical",,http://www.adrenomed.com,$1M to $10M,49114581,EUR,56828268,Late Stage Venture,7,"HBM Healthcare Investments, Wellington Partners",2,,"HBM Healthcare Investments, Wellington Partners","265,999"
Series D - Adrenomed,https://www.crunchbase.com/funding_round/adrenomed-ag-series-d--c092d3ec,Adrenomed,https://www.crunchbase.com/organization/adrenomed-ag,Series D,"Berlin, Berlin, Germany, Europe",1414581,EUR,1527584,2020-05-06,Late Stage Venture,,,,Yes,"Adrenomed is a privately-financed, clinical-stage biopharmaceutical company.","Biotechnology, Medical, Pharmaceutical",,http://www.adrenomed.com,$1M to $10M,49114581,EUR,56828268,Late Stage Venture,7,,1,,HBM Healthcare Investments,"370,040"
Series A - Advanced Blockchain,https://www.crunchbase.com/funding_round/advanced-blockchain-series-a--1b347cb8,Advanced Blockchain,https://www.crunchbase.com/organization/advanced-blockchain,Series A,"Berlin, Berlin, Germany, Europe",,,,2021-03-04,Early Stage Venture,,,,Yes,We invest in early stage companies and help them grow by providing technical and operational resources to support them.,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Finance, Information Technology, Internet, Software, Venture Capital",,https://www.advancedblockchain.com,$1M to $10M,,,,Early Stage Venture,4,,,,,"388,722"
Series A - Afilio,https://www.crunchbase.com/funding_round/afilio-af04-series-a--f7ca4b1f,Afilio,https://www.crunchbase.com/organization/afilio-af04,Series A,"Berlin, Berlin, Germany, Europe",13000000,USD,13000000,2021-08-11,Early Stage Venture,,,,Yes,Afilio is a retirement planning platform that creates and manages pension and estate documents.,"Finance, Financial Services, Insurance, InsurTech, Retirement",,https://www.afilio.de,$1B to $10B,13000000,USD,13000000,Early Stage Venture,1,CommerzVentures,6,1,"Cavalry Ventures, Cherry Ventures, CommerzVentures, eToro, Marqeta, Speedinvest","101,656"
Series B - Aignostics,https://www.crunchbase.com/funding_round/aignostics-series-b--b6931432,Aignostics,https://www.crunchbase.com/organization/aignostics,Series B,"Berlin, Berlin, Germany, Europe",34000000,USD,34000000,2024-10-29,Early Stage Venture,,,,Yes,Aignostics is an AI-powered precision diagnostics focused on pathology to assist with drug development and clinical research.,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Software",,http://www.aignostics.com,$100M to $500M,54841427,USD,54841427,Early Stage Venture,5,ATHOS,7,1,"ATHOS, Boehringer Ingelheim Venture Fund, Carma Fund, HTGF | High-Tech Gruenderfonds, IBB Ventures, Mayo Clinic, Wellington Partners","4,834"
Series A - Aignostics,https://www.crunchbase.com/funding_round/aignostics-series-a--2ae96b89,Aignostics,https://www.crunchbase.com/organization/aignostics,Series A,"Berlin, Berlin, Germany, Europe",14000000,EUR,13982494,2022-09-15,Early Stage Venture,,,,Yes,Aignostics is an AI-powered precision diagnostics focused on pathology to assist with drug development and clinical research.,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Software",,http://www.aignostics.com,$100M to $500M,54841427,USD,54841427,Early Stage Venture,5,Wellington Partners,5,,"Ascenion GmbH, Boehringer Ingelheim Venture Fund, HTGF | High-Tech Gruenderfonds, IBB Ventures, Wellington Partners","417,429"
